Gene Symbol,Gene ID,Disease Name,Disease ID,Direct Evidence,Inference Network,Inference Score,Reference Count
PTGS2,5743,Graves Ophthalmopathy,MESH:D049970,marker/mechanism,"Botulinum Toxins, Type A|Methylprednisolone|Rosiglitazone",8.48,7
SCD,6319,Graves Ophthalmopathy,MESH:D049970,marker/mechanism,Rosiglitazone,3.33,2
TSHR,7253,Graves Ophthalmopathy,MESH:D049970,marker/mechanism,,,1
FBXO32,114907,Graves Ophthalmopathy,MESH:D049970,,"Botulinum Toxins, Type A|Methylprednisolone|Rosiglitazone",14.32,6
CCL20,6364,Graves Ophthalmopathy,MESH:D049970,,"Botulinum Toxins, Type A|Methylprednisolone|Rosiglitazone",13.56,6
IL5,3567,Graves Ophthalmopathy,MESH:D049970,,Methylprednisolone|Prednisone|Rosiglitazone,12.96,6
FABP4,2167,Graves Ophthalmopathy,MESH:D049970,,Methylprednisolone|Prednisone|Rosiglitazone,12.34,6
CXCL2,2920,Graves Ophthalmopathy,MESH:D049970,,"Botulinum Toxins, Type A|Methylprednisolone|Rosiglitazone",11.93,6
CXCL1,2919,Graves Ophthalmopathy,MESH:D049970,,"Botulinum Toxins, Type A|Methylprednisolone|Rosiglitazone",11.62,6
MAPK1,5594,Graves Ophthalmopathy,MESH:D049970,,"Botulinum Toxins, Type A|Methylprednisolone|Prednisone|Rosiglitazone",11.43,7
IL4,3565,Graves Ophthalmopathy,MESH:D049970,,Methylprednisolone|Prednisone|Rosiglitazone,10.85,6
COXFA4L2,56901,Graves Ophthalmopathy,MESH:D049970,,Methylprednisolone|Rosiglitazone,10.63,5
NFKB1,4790,Graves Ophthalmopathy,MESH:D049970,,Methylprednisolone|Prednisone|Rosiglitazone,10.56,6
ABCB1,5243,Graves Ophthalmopathy,MESH:D049970,,Methylprednisolone|Prednisone|Rosiglitazone,10.47,6
TRIM63,84676,Graves Ophthalmopathy,MESH:D049970,,"Botulinum Toxins, Type A|Methylprednisolone",10.46,5
CSRP3,8048,Graves Ophthalmopathy,MESH:D049970,,"Botulinum Toxins, Type A|Rosiglitazone",9.94,2
AR,367,Graves Ophthalmopathy,MESH:D049970,,Methylprednisolone|Prednisone|Rosiglitazone,9.91,6
TNF,7124,Graves Ophthalmopathy,MESH:D049970,,"Botulinum Toxins, Type A|Methylprednisolone|Prednisone|Rosiglitazone",9.79,7
CCN5,8839,Graves Ophthalmopathy,MESH:D049970,,Methylprednisolone|Rosiglitazone,9.75,5
CCL17,6361,Graves Ophthalmopathy,MESH:D049970,,"Botulinum Toxins, Type A|Rosiglitazone",9.70,2
HTR3A,3359,Graves Ophthalmopathy,MESH:D049970,,Methylprednisolone|Rosiglitazone,9.64,5
PLA1A,51365,Graves Ophthalmopathy,MESH:D049970,,Methylprednisolone|Rosiglitazone,9.60,5
NID2,22795,Graves Ophthalmopathy,MESH:D049970,,Methylprednisolone|Rosiglitazone,9.58,5
LAMB2,3913,Graves Ophthalmopathy,MESH:D049970,,Methylprednisolone|Rosiglitazone,9.57,5
DLK1,8788,Graves Ophthalmopathy,MESH:D049970,,Prednisone|Rosiglitazone,9.55,2
AMIGO2,347902,Graves Ophthalmopathy,MESH:D049970,,Methylprednisolone|Rosiglitazone,9.52,5
PPARG,5468,Graves Ophthalmopathy,MESH:D049970,,Methylprednisolone|Prednisone|Rosiglitazone,9.51,6
CXCL3,2921,Graves Ophthalmopathy,MESH:D049970,,"Botulinum Toxins, Type A|Methylprednisolone",9.47,5
ANKRD1,27063,Graves Ophthalmopathy,MESH:D049970,,"Botulinum Toxins, Type A|Rosiglitazone",9.45,2
HILPDA,29923,Graves Ophthalmopathy,MESH:D049970,,Methylprednisolone|Rosiglitazone,9.43,5
PYGM,5837,Graves Ophthalmopathy,MESH:D049970,,Prednisone|Rosiglitazone,9.40,2
TGFB1,7040,Graves Ophthalmopathy,MESH:D049970,,Methylprednisolone|Prednisone|Rosiglitazone,9.33,6
GSDME,1687,Graves Ophthalmopathy,MESH:D049970,,Methylprednisolone|Rosiglitazone,9.30,5
GCG,2641,Graves Ophthalmopathy,MESH:D049970,,Prednisone|Rosiglitazone,9.15,2
LAMB3,3914,Graves Ophthalmopathy,MESH:D049970,,Methylprednisolone|Rosiglitazone,9.15,5
LAMB1,3912,Graves Ophthalmopathy,MESH:D049970,,Methylprednisolone|Rosiglitazone,9.13,5
ISG20,3669,Graves Ophthalmopathy,MESH:D049970,,Methylprednisolone|Rosiglitazone,9.12,5
TNFAIP2,7127,Graves Ophthalmopathy,MESH:D049970,,Methylprednisolone|Rosiglitazone,9.07,5
BCL2A1,597,Graves Ophthalmopathy,MESH:D049970,,Methylprednisolone|Rosiglitazone,9.06,5
MMP10,4319,Graves Ophthalmopathy,MESH:D049970,,Methylprednisolone|Rosiglitazone,8.99,5
MUC5AC,4586,Graves Ophthalmopathy,MESH:D049970,,Methylprednisolone|Rosiglitazone,8.95,5
RGS4,5999,Graves Ophthalmopathy,MESH:D049970,,Methylprednisolone|Rosiglitazone,8.94,5
PLPP3,8613,Graves Ophthalmopathy,MESH:D049970,,Methylprednisolone|Rosiglitazone,8.84,5
CXCL5,6374,Graves Ophthalmopathy,MESH:D049970,,"Botulinum Toxins, Type A|Rosiglitazone",8.83,2
CCL11,6356,Graves Ophthalmopathy,MESH:D049970,,Prednisone|Rosiglitazone,8.82,2
MARCKS,4082,Graves Ophthalmopathy,MESH:D049970,,Methylprednisolone|Rosiglitazone,8.81,5
ADORA2A,135,Graves Ophthalmopathy,MESH:D049970,,Methylprednisolone|Rosiglitazone,8.74,5
IFIT1,3434,Graves Ophthalmopathy,MESH:D049970,,Methylprednisolone|Rosiglitazone,8.69,5
HNF4A,3172,Graves Ophthalmopathy,MESH:D049970,,Prednisone|Rosiglitazone,8.65,2
JAK1,3716,Graves Ophthalmopathy,MESH:D049970,,Methylprednisolone|Rosiglitazone,8.65,5
AKT1,207,Graves Ophthalmopathy,MESH:D049970,,Methylprednisolone|Prednisone|Rosiglitazone,8.61,6
COL4A1,1282,Graves Ophthalmopathy,MESH:D049970,,Methylprednisolone|Rosiglitazone,8.53,5
ISG15,9636,Graves Ophthalmopathy,MESH:D049970,,Methylprednisolone|Rosiglitazone,8.48,5
CYP27A1,1593,Graves Ophthalmopathy,MESH:D049970,,Prednisone|Rosiglitazone,8.44,2
HSD11B2,3291,Graves Ophthalmopathy,MESH:D049970,,Prednisone|Rosiglitazone,8.43,2
