"Gene_Symbol","10__1_FPKM","10__2_FPKM","11__1_FPKM","11__2_FPKM","2__1_FPKM","2__2_FPKM","7__1_FPKM","7__2_FPKM","8__1_FPKM","8__2_FPKM","10__1_TPM","10__2_TPM","11__1_TPM","11__2_TPM","2__1_TPM","2__2_TPM","7__1_TPM","7__2_TPM","8__1_TPM","8__2_TPM"
"AKT1",20.601122,21.039652,20.437974,19.200522,20.793419,18.448968,21.654079,21.726004,21.331191,21.572175,19.869991,19.70862,19.358122,17.911149,18.034097,16.255052,20.391229,20.627555,23.092354,24.732127
"ARRB1",5.043738,5.323828,8.634967,8.32728,10.077163,9.647528,7.019701,7.163564,9.805485,9.810932,4.864736,4.987026,8.178733,7.76808,8.739907,8.500263,6.610318,6.801381,10.615054,11.248063
"CEBPA",38.377945,42.175339,56.827607,55.89861,48.648369,50.201894,49.318457,46.791575,54.296866,52.215367,37.015915,39.507203,53.825094,52.144856,42.19265,44.231983,46.442241,44.425833,58.779765,59.864018
"CTLA4",0.181592,0.165694,0.138006,0.147996,0.067996,0.111698,0.260169,0.545442,0.206157,0.394054,0.175148,0.155212,0.130714,0.138058,0.058973,0.098415,0.244996,0.517865,0.223178,0.451776
"FABP4",2162.114258,2015.968506,988.55304,1085.957031,1239.083374,1311.744629,1197.723999,1303.712158,1476.925293,1554.474243,2085.381104,1888.432373,936.322327,1013.031738,1074.654907,1155.754517,1127.873535,1237.797485,1598.864136,1782.177856
"FOXO1",13.292135,12.53419,9.608739,9.028953,5.988362,5.996574,8.701665,9.289777,10.861862,12.460326,12.8204,11.74124,9.101057,8.422631,5.193695,5.283473,8.194191,8.820094,11.758646,14.285548
"HAS1",2.196609,2.968487,0,0,0.061261,0,0.188086,0.197476,0.25389,0.119016,2.118652,2.780692,0,0,0.053132,0,0.177117,0.187491,0.274851,0.136449
"HAS2",10.261277,9.968102,6.350078,6.313004,5.563239,5.106031,7.753172,8.479023,5.515822,5.717197,9.897106,9.33749,6.014568,5.889068,4.824988,4.498833,7.301013,8.050331,5.971223,6.554667
"HAS3",0.0572,0.138396,0.173428,0.214123,0.070527,0.087083,0.246829,0.086947,0.141989,0.178301,0.055171,0.129641,0.164265,0.199744,0.061168,0.076728,0.232433,0.082551,0.153712,0.204419
"IGF1",9.867075,9.899914,11.647904,10.743727,15.662932,13.751883,15.522403,17.160761,17.544979,20.211593,9.516893,9.273616,11.032481,10.022254,13.584433,12.116537,14.617148,16.293127,18.993538,23.17224
"IGF1R",2.547464,2.667461,6.992545,7.051379,3.33635,3.284219,4.383891,4.567217,6.142705,6.224908,2.457054,2.498711,6.623091,6.577859,2.89361,2.893665,4.128225,4.336303,6.649864,7.13675
"INSR",7.910483,7.714227,9.633031,9.60565,6.755391,6.351581,7.359414,7.689147,8.476727,9.149313,7.62974,7.226201,9.124063,8.960602,5.858939,5.596264,6.930218,7.300391,9.176588,10.489527
"IRS1",1.284895,1.221148,2.075834,1.662583,1.431724,1.321309,1.341569,1.194337,3.084813,3.281674,1.239294,1.143894,1.966156,1.550936,1.241732,1.164181,1.26333,1.133953,3.339504,3.762383
"PDPK1",3.733492,3.479265,4.329816,4.693487,3.979402,3.617816,4.155442,4.227656,4.803335,5.284086,3.600991,3.259156,4.101047,4.378307,3.45133,3.187593,3.913101,4.01391,5.199911,6.058113
"PIK3R1",60.014667,57.851243,70.204303,67.230214,47.63481,45.87341,48.048454,53.229268,45.120249,50.576676,57.884751,54.191402,66.495023,62.715509,41.313593,40.418236,45.246301,50.53804,48.845496,57.985285
"PPARG",54.865637,54.028691,95.878555,97.772586,86.758051,89.624456,64.782342,71.085447,68.260396,71.505431,52.918459,50.610676,90.812757,91.206871,75.245113,78.966494,61.004281,67.491425,73.89616,81.979741
"TNF",0.247095,0.339867,0.065171,0.104514,0.107204,0.132226,0,0.112686,0.050383,0.164553,0.238326,0.318366,0.061727,0.097495,0.092978,0.116502,0,0.106989,0.054543,0.188657
"TSHR",0.577766,0.460242,1.130251,0.907483,0.090634,0.137222,0.631685,0.897646,0.448317,0.325567,0.557261,0.431126,1.070534,0.846543,0.078607,0.120903,0.594845,0.852262,0.485331,0.373257
"IRS2",6.130481,6.185382,10.014874,9.474408,6.217443,5.788013,8.788731,8.962388,8.238582,8.775261,5.912911,5.794077,9.485733,8.838173,5.392378,5.099713,8.276177,8.509256,8.918782,10.060685
"ADIPOQ",215.778361,206.046553,242.443023,233.932137,247.737055,245.097546,262.296247,279.090933,180.601367,193.67986,208.120406,193.011444,229.633417,218.222909,214.861943,215.951041,246.999329,264.980321,195.512317,222.050598
