"Gene","Outcome_role","Method","N_IV","Beta","SE","OR_95CI","P_value","Significance"
"AKT1","Primary","Inverse variance weighted",2,"+0.081","0.162","1.08 (0.79-1.49)","0.618",""
"AKT1","Replication","Inverse variance weighted",3,"-0.000","0.001","1.00 (1.00-1.00)","0.813",""
"AKT1","Replication","MR Egger",3,"+0.001","0.002","1.00 (1.00-1.01)","0.767",""
"AKT1","Replication","Weighted median",3,"-0.000","0.000","1.00 (1.00-1.00)","0.893",""
"AKT1","Replication","Weighted mode",3,"-0.000","0.002","1.00 (1.00-1.00)","0.962",""
"ARRB1","Primary","Inverse variance weighted",5,"-0.177","0.124","0.84 (0.66-1.07)","0.155",""
"ARRB1","Primary","MR Egger",5,"-0.314","0.195","0.73 (0.50-1.07)","0.205",""
"ARRB1","Primary","Weighted median",5,"-0.222","0.137","0.80 (0.61-1.05)","0.106",""
"ARRB1","Primary","Weighted mode",5,"-0.232","0.409","0.79 (0.36-1.77)","0.600",""
"ARRB1","Primary","Simple mode",5,"-0.194","0.290","0.82 (0.47-1.45)","0.540",""
"ARRB1","Replication","Inverse variance weighted",6,"-0.001","0.001","1.00 (1.00-1.00)","0.265",""
"ARRB1","Replication","MR Egger",6,"-0.001","0.001","1.00 (1.00-1.00)","0.551",""
"ARRB1","Replication","Weighted median",6,"-0.001","0.001","1.00 (1.00-1.00)","0.143",""
"ARRB1","Replication","Weighted mode",6,"-0.001","0.003","1.00 (0.99-1.00)","0.718",""
"ARRB1","Replication","Simple mode",6,"-0.001","0.001","1.00 (1.00-1.00)","0.195",""
"CTLA4","Primary","Inverse variance weighted",5,"-0.943","0.378","0.39 (0.19-0.82)","0.013","*"
"CTLA4","Primary","MR Egger",5,"-1.623","0.862","0.20 (0.04-1.07)","0.156",""
"CTLA4","Primary","Weighted median",5,"-0.860","0.156","0.42 (0.31-0.57)","3.72e-08","***"
"CTLA4","Primary","Weighted mode",5,"-0.980","1.022","0.38 (0.05-2.78)","0.392",""
"CTLA4","Primary","Simple mode",5,"-0.344","1.031","0.71 (0.09-5.35)","0.755",""
"CTLA4","Replication","Inverse variance weighted",7,"-0.001","0.005","1.00 (0.99-1.01)","0.907",""
"CTLA4","Replication","MR Egger",7,"-0.018","0.010","0.98 (0.96-1.00)","0.115",""
"CTLA4","Replication","Weighted median",7,"-0.005","0.001","1.00 (0.99-1.00)","1.24e-04","***"
"CTLA4","Replication","Weighted mode",7,"-0.006","0.011","0.99 (0.97-1.01)","0.572",""
"CTLA4","Replication","Simple mode",7,"-0.000","0.002","1.00 (1.00-1.00)","0.989",""
"IGF1R","Primary","Inverse variance weighted",10,"+0.200","0.118","1.22 (0.97-1.54)","0.089",""
"IGF1R","Primary","MR Egger",10,"+0.312","0.235","1.37 (0.86-2.17)","0.221",""
"IGF1R","Primary","Weighted median",10,"+0.257","0.157","1.29 (0.95-1.76)","0.103",""
"IGF1R","Primary","Weighted mode",10,"+0.257","0.502","1.29 (0.48-3.45)","0.621",""
"IGF1R","Primary","Simple mode",10,"+0.287","0.374","1.33 (0.64-2.77)","0.463",""
"IGF1R","Replication","Inverse variance weighted",10,"+0.001","0.001","1.00 (1.00-1.00)","0.094",""
"IGF1R","Replication","MR Egger",10,"+0.001","0.001","1.00 (1.00-1.00)","0.358",""
"IGF1R","Replication","Weighted median",10,"+0.002","0.001","1.00 (1.00-1.00)","0.005","*"
"IGF1R","Replication","Weighted mode",10,"+0.002","0.003","1.00 (1.00-1.01)","0.577",""
"IGF1R","Replication","Simple mode",10,"+0.002","0.003","1.00 (1.00-1.01)","0.622",""
"IRS1","Primary","Inverse variance weighted",2,"-0.138","0.090","0.87 (0.73-1.04)","0.126",""
"IRS1","Replication","Inverse variance weighted",3,"-0.000","0.000","1.00 (1.00-1.00)","0.896",""
"IRS1","Replication","MR Egger",3,"+0.001","0.001","1.00 (1.00-1.00)","0.653",""
"IRS1","Replication","Weighted median",3,"-0.000","0.001","1.00 (1.00-1.00)","0.982",""
"IRS1","Replication","Weighted mode",3,"-0.000","0.001","1.00 (1.00-1.00)","0.996",""
"PPARG","Primary","Inverse variance weighted",3,"-0.097","0.102","0.91 (0.74-1.11)","0.341",""
"PPARG","Primary","MR Egger",3,"-0.164","0.233","0.85 (0.54-1.34)","0.609",""
