"id.exposure","id.outcome","outcome","exposure","method","nsnp","b","se","pval","gene","outcome_role","n_iv"
"eqtl-a-ENSG00000165409","ebi-a-GCST90018627","outcome","exposure","Wald ratio",1,-1.40790609684873,0.181642162464132,9.11807971893016e-15,"TSHR","Primary",1
"eqtl-a-ENSG00000165409","ebi-a-GCST90038636","outcome","exposure","Wald ratio",1,-0.012444833803103,0.00114105787054671,1.07426467433965e-27,"TSHR","Replication",1
"eqtl-a-ENSG00000140443","ebi-a-GCST90018627","outcome","exposure","Inverse variance weighted",10,0.200117510323808,0.11763680066536,0.0889153556184656,"IGF1R","Primary",10
"eqtl-a-ENSG00000140443","ebi-a-GCST90018627","outcome","exposure","MR Egger",10,0.312036047466806,0.235027733023164,0.220924281004827,"IGF1R","Primary",10
"eqtl-a-ENSG00000140443","ebi-a-GCST90018627","outcome","exposure","Weighted median",10,0.256640125694142,0.15740960863977,0.103017655883956,"IGF1R","Primary",10
"eqtl-a-ENSG00000140443","ebi-a-GCST90018627","outcome","exposure","Weighted mode",10,0.256515603958122,0.501626946418412,0.621402668176361,"IGF1R","Primary",10
"eqtl-a-ENSG00000140443","ebi-a-GCST90018627","outcome","exposure","Simple mode",10,0.286666610720564,0.3741913691889,0.463237478366208,"IGF1R","Primary",10
"eqtl-a-ENSG00000140443","ebi-a-GCST90038636","outcome","exposure","Inverse variance weighted",10,0.00115773186383212,0.000691287416231692,0.093983785827104,"IGF1R","Replication",10
"eqtl-a-ENSG00000140443","ebi-a-GCST90038636","outcome","exposure","MR Egger",10,0.00136725878268338,0.00140340227066813,0.358468443706671,"IGF1R","Replication",10
"eqtl-a-ENSG00000140443","ebi-a-GCST90038636","outcome","exposure","Weighted median",10,0.00203705383785472,0.000719291571006572,0.00462538044580193,"IGF1R","Replication",10
"eqtl-a-ENSG00000140443","ebi-a-GCST90038636","outcome","exposure","Weighted mode",10,0.00185135973943333,0.00320348097996325,0.577488495711926,"IGF1R","Replication",10
"eqtl-a-ENSG00000140443","ebi-a-GCST90038636","outcome","exposure","Simple mode",10,0.00152598122984925,0.0029932381934609,0.622450766190737,"IGF1R","Replication",10
"eqtl-a-ENSG00000232810","ebi-a-GCST90018627","outcome","exposure","Inverse variance weighted",2,2.45053295680904,1.83034736469756,0.180624421878408,"TNF","Primary",2
"eqtl-a-ENSG00000232810","ebi-a-GCST90038636","outcome","exposure","Inverse variance weighted",3,-0.00435986231051671,0.000933003419151368,2.96928892931224e-06,"TNF","Replication",3
"eqtl-a-ENSG00000232810","ebi-a-GCST90038636","outcome","exposure","MR Egger",3,-0.00501639392918038,0.00347800536767455,0.385940504827803,"TNF","Replication",3
"eqtl-a-ENSG00000232810","ebi-a-GCST90038636","outcome","exposure","Weighted median",3,-0.00447315029928994,0.000654064337601776,7.97442311694127e-12,"TNF","Replication",3
