"gene","group","baseMean","log2FC_raw","lfcSE_raw","pvalue_raw","log2FC_shrunken","log2FC_TPM","samples_above_ctrl","padj_candidate_raw"
"TSHR","MR_Primary",414.911314899804,2.32844087497812,0.64597495222127,0.000312709417344632,1.8364126465047,1.91133966068015,4,0.00625418834689263
"FOXO1","Insulin_Cassette",10042.4354550862,0.658781059353497,0.36046235411587,0.0676095804000502,0.0222058327470571,1.00886464574416,4,0.579175447954169
"ARRB1","MR_Secondary",10162.5097221681,-0.564289897275654,0.350308111136612,0.10721486193524,-0.0284068604536427,-0.173094999322329,1,0.579175447954169
"CTLA4","MR_Secondary",75.0953325506746,1.27357218803309,0.809903823379652,0.115835089590834,0.00871666155490197,0.988776099353857,4,0.579175447954169
"HAS3","TED_Biology",97.402786469826,0.829961823780515,0.586581205069526,0.157093780370693,0.0118322136371695,0.581086155433847,4,0.628375121482773
"HAS1","TED_Biology",230.433285523435,4.40239497005408,3.49638846617917,0.20798468561699,0.00088394131949288,2.67697453564057,3,0.693282285389966
"PPARG","MR_Secondary",26172.0088796426,-0.419793435021976,0.370667765632215,0.257410465812713,-0.0182022489331174,-0.113997146720619,2,0.709829013130104
"IRS2","Insulin_Cassette",10908.6666471425,0.287309873044504,0.329378854532606,0.383056828234766,0.0132190406681315,0.638887042207357,4,0.709829013130104
"IGF1R","MR_Primary",9585.29192288419,0.410820049391635,0.519378538258361,0.428953400545,0.00769861180089238,0.782947997791972,3,0.709829013130104
"ADIPOQ","TED_Biology",181218.869655996,-0.284222288776364,0.370895034577723,0.44348911917841,-0.0154251877158471,0.0455314674975635,2,0.709829013130104
"HAS2","TED_Biology",5225.22491031791,0.348497574974703,0.502488824691952,0.487968890411603,0.00724203908592095,0.650906148059673,4,0.709829013130104
"IGF1","MR_Primary",17095.691305653,-0.271996911324871,0.395587987675996,0.491719658661236,-0.0169948303313259,0.134424424819449,2,0.709829013130104
"INSR","Insulin_Cassette",13015.2217474636,0.185795777760396,0.271939120143896,0.494464277093438,0.0131223552355544,0.536845577865745,4,0.709829013130104
"CEBPA","TED_Biology",22214.6627710878,-0.180864928535252,0.266210168339338,0.496880309191073,0.00152581106248176,0.180963778167582,3,0.709829013130104
"IRS1","MR_Secondary",2610.681350623,0.240221766287859,0.519321802598258,0.643673886393017,0.00480236189160657,0.636084007325243,2,0.844135442773936
"AKT1","MR_Secondary",10274.2988566745,-0.105946747169941,0.252932370494542,0.675308354219149,-0.00865795643502326,0.271231028795468,4,0.844135442773936
"PIK3R1","Insulin_Cassette",60935.9596343674,0.104291983778078,0.378938925057765,0.783146385372099,0.00400769483127521,0.440342340736147,4,0.921348688673057
"FABP4","TED_Biology",225518.879392396,0.053795983161256,0.500043355619085,0.914326770154692,0.00133958058134691,0.387378864266382,3,0.960506055968799
"PDPK1","Insulin_Cassette",5254.41529981214,0.0168770728541899,0.231864266095361,0.941974351234442,0.00168228442792864,0.368829559240117,4,0.960506055968799
"TNF","MR_Secondary",39.6030380161207,0.05875391610577,1.18650320307513,0.960506055968799,0.000281778341128714,0.188163724322156,2,0.960506055968799
