source_id,source_name,version,url,pmid,doi,access_date,local_path,citation,notes
eQTLGen_v1,eQTLGen Consortium cis-eQTL,2019-12-11 release,https://www.eqtlgen.org/cis-eqtls.html,34475573,10.1038/s41588-021-00913-z,TBD_by_Gemini,c:\ProjectTEDGWAS\2019-12-11-cis-eQTLsFDR-ProbeLevel-CohortInfoRemoved-BonferroniAdded.txt.gz,Vosa et al. 2021 Nat Genet 53:1300-1310,Whole blood cis-eQTL n=31684. Native build hg19.
BBJ_Graves_v1,BBJ Graves disease GWAS (cross-ancestry meta),2021,https://pheweb.jp/,34594039,10.1038/s41588-021-00931-x,TBD_by_Gemini,TBD_by_user,Sakaue et al. 2021 Nat Genet 53:1415-1424,EAS Graves disease 2809 cases / 172656 controls (N=175465; s=0.01600889; verified Task 4 2026-09-04 against GWAS Catalog GCST90018627 "2,809 East Asian ancestry cases, 172,656 East Asian ancestry controls"). Prior value 209644 was wrong: it came from subtracting 2809 from the total of a DIFFERENT dataset (OpenGWAS bbj-a-123, N=212453, ncase=2176). From 220-phenotype cross-population atlas. BBJ n=179000.
UKB_Hyperthyroid_v1,UKB hyperthyroidism GWAS GCST90038636,2021,https://gwas.mrcieu.ac.uk/datasets/ebi-a-GCST90038636/,33959723,10.1038/s43587-021-00051-5,TBD_by_Gemini,TBD_by_user,Donertas HM et al. 2021 Nat Aging 1:400-412 - Common genetic associations between age-related diseases,3731 cases / 480867 controls (N=484598; s=0.00769917). CORRECTED Task 4 2026-09-04: GWAS Catalog attributes GCST90038636 to Donertas 2021 Nat Aging (PMID 33959723), NOT Sakaue 2021 Nat Genet. Catalog ancestry label is "NR (U.K.)", not explicitly European. BOLT-LMM linear scale; rescale to log-odds before use.
FinnGen_R12_GO_v1,FinnGen R12 Graves ophthalmopathy,R12 release,https://www.finngen.fi/en/access_results,n/a,n/a,2026-04-23,c:\ProjectTEDGWAS\finngen_R12_GRAVES_OPHT.gz,FinnGen R12 endpoint GRAVES_OPHT (broader Graves ophthalmopathy),858 cases / 499490 controls (N=500348; s=0.001714810; verified Task 2 2026-09-04 against r12.finngen.fi/pheno/GRAVES_OPHT and file-internal allele frequencies; md5 1b26a77e1e4eb451e80ead00e4ec6f28). Local file already present. TED-specific sensitivity outcome.
UKBPPP_v1,UKB Pharma Proteomics Project Olink Explore 3072,2023 release,https://registry.opendata.aws/ukbppp,37794186,10.1038/s41586-023-06592-6,TBD_by_Gemini,TBD,Sun et al. 2023 Nature 622:329-338,~2923 unique proteins on Olink Explore 3072 in 54219 UKB participants. AWS Open Data Registry.
deCODE_proteomics_v1,deCODE plasma proteomics SOMAscan v4,2021 release,https://www.decode.com/summarydata/,34857953,10.1038/s41588-021-00978-w,TBD_by_Gemini,TBD,Ferkingstad et al. 2021 Nat Genet 53:1712-1721,4907 SOMAscan aptamers in 35559 Icelanders.
Cross_platform_Eldjarn_v1,UKB-PPP and deCODE cross-platform comparison,2023,https://www.nature.com/articles/s41586-023-06563-x,37794188,10.1038/s41586-023-06563-x,TBD_by_Gemini,TBD,Eldjarn et al. 2023 Nature 622:348-358,Reference for interpreting Olink vs SomaScan correlation. Moderate platform agreement; ~half of cis-pQTLs overlap.
GSE58331,Rosenbaum orbital adipose microarray,GSE58331,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE58331,26421828,10.1371/journal.pone.0137654,TBD_by_Gemini,TBD,Rosenbaum et al. 2015 PLoS One 10(9):e0137654,23 TED orbital adipose vs 20 normal. GPL570 Affy U133 Plus 2.0. Used in v5 Figure 3 main panel.
GSE105149,Rosenbaum lacrimal gland microarray,GSE105149,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE105149,28910444,10.1001/jamaophthalmol.2017.3458,TBD_by_Gemini,TBD,Rosenbaum et al. 2017 JAMA Ophthalmol 135(11):1156-1162,4 TED lacrimal vs 7 normal. Cross-compartment supportive.
GTEx_v8,GTEx Portal v8 thyroid eQTL,v8,https://gtexportal.org/,32913098,10.1126/science.aaz1776,TBD_by_Gemini,TBD,GTEx Consortium 2020 Science 369:1318-1330,838 donors 49 tissues. TSHR thyroid eQTL sensitivity reference.
