gene_symbol,ensembl_gene_id,chr,n_instruments_5e8,n_instruments_5e6,has_valid_instrument,single_iv,finan_tier,notes
A1BG,ENSG00000121410,19,0,0,FALSE,FALSE,Tier 3B,no SNP below 5e-8
A2M,ENSG00000175899,12,2,501,TRUE,FALSE,Tier 3B,""
A2ML1,ENSG00000166535,12,0,9,FALSE,FALSE,Tier 3A,no SNP below 5e-8
AADACL2,ENSG00000197953,3,0,0,FALSE,FALSE,Tier 3B,no cis-eQTL in window
AADAT,ENSG00000109576,4,0,0,FALSE,FALSE,Tier 2,no cis-eQTL in window
AAK1,ENSG00000115977,2,0,2,FALSE,FALSE,Tier 1,no SNP below 5e-8
AATK,ENSG00000181409,17,3,935,TRUE,FALSE,Tier 3A,""
ABAT,ENSG00000183044,16,5,1075,TRUE,FALSE,Tier 1,""
ABCA1,ENSG00000165029,9,3,782,TRUE,FALSE,Tier 1,""
ABCA12,ENSG00000144452,2,0,0,FALSE,FALSE,Tier 3B,no cis-eQTL in window
ABCA13,ENSG00000179869,7,1,394,TRUE,TRUE,Tier 3B,""
ABCA2,ENSG00000107331,9,2,756,TRUE,FALSE,Tier 3A,""
ABCA3,ENSG00000167972,16,1,217,TRUE,TRUE,Tier 3B,""
ABCA4,ENSG00000198691,1,0,0,FALSE,FALSE,Tier 1,no cis-eQTL in window
ABCA7,ENSG00000064687,19,3,532,TRUE,FALSE,Tier 2,""
ABCB1,ENSG00000085563,7,2,596,TRUE,FALSE,Tier 1,""
ABCB11,ENSG00000073734,2,0,0,FALSE,FALSE,Tier 1,no cis-eQTL in window
ABCB4,ENSG00000005471,7,2,658,TRUE,FALSE,Tier 1,""
ABCB5,ENSG00000004846,7,0,0,FALSE,FALSE,Tier 1,no cis-eQTL in window
ABCB6,ENSG00000115657,2,0,0,FALSE,FALSE,Tier 1,no SNP below 5e-8
ABCB7,ENSG00000131269,X,0,0,FALSE,FALSE,Tier 1,non-autosomal chr skipped
ABCB8,ENSG00000197150,7,1,32,TRUE,TRUE,Tier 1,""
ABCC1,ENSG00000103222,16,4,510,TRUE,FALSE,Tier 1,""
ABCC10,ENSG00000124574,6,1,181,TRUE,TRUE,Tier 1,""
