method,n_iv,beta,se,pvalue,gene_symbol,ensembl_gene_id,outcome,or,or_ci_lower,or_ci_upper,egger_intercept,egger_intercept_p,cochran_q,cochran_q_p,steiger_direction,steiger_p,n_iv_preharm,n_iv_postharm,n_palindromic,n_removed,outcome_scale_original,outcome_scale_used,ukb_rescaled
Wald ratio,1,-2.09595290577662,0.271220127645136,1.09364048102808e-14,TSHR,ENSG00000165409,BBJ_Graves,0.122953025165817,0.0722556787862222,0.209221567790582,,,,,,,1,1,0,0,log_odds,log_odds,FALSE
Wald ratio,1,-2.4362341693581,0.222999475017391,8.76922860229631e-28,TSHR,ENSG00000165409,UKB_hyperthyroid,0.0874897032786811,0.0565113859218175,0.135449663018024,,,,,,,1,1,0,0,LMM_binary,log_odds,TRUE
Wald ratio,1,-2.3314933995521,0.454022371667541,2.8185167306492e-07,TSHR,ENSG00000165409,FinnGen_GO,0.0971505541069603,0.0399000681119851,0.236546718085786,,,,,,,1,1,0,0,log_odds,log_odds,FALSE
Inverse variance weighted,4,0.446081288014413,0.193589490300506,0.0212078300317169,IGF1R,ENSG00000140443,BBJ_Graves,1.56217844775683,1.06891689380689,2.28306009267433,0.0220465692392766,0.662690490208203,0.573740932045427,0.902416580614353,,,4,4,0,0,log_odds,log_odds,FALSE
MR Egger,4,0.307185752867081,0.335574318887048,0.456613295400378,IGF1R,ENSG00000140443,BBJ_Graves,1.35959349300703,0.704307722747649,2.62455515753214,0.0220465692392766,0.662690490208203,0.573740932045427,0.902416580614353,,,4,4,0,0,log_odds,log_odds,FALSE
Weighted median,4,0.442143744062084,0.219265305764735,0.0437499788909809,IGF1R,ENSG00000140443,BBJ_Graves,1.55603939578267,1.01246074083535,2.39145924732844,0.0220465692392766,0.662690490208203,0.573740932045427,0.902416580614353,,,4,4,0,0,log_odds,log_odds,FALSE
Weighted mode,4,0.349749573184365,0.498339572912216,0.533333811874587,IGF1R,ENSG00000140443,BBJ_Graves,1.41871222051959,0.534194117733264,3.76781454126126,0.0220465692392766,0.662690490208203,0.573740932045427,0.902416580614353,,,4,4,0,0,log_odds,log_odds,FALSE
Inverse variance weighted,4,0.299218075682183,0.11870292582297,0.0117111535884687,IGF1R,ENSG00000140443,UKB_hyperthyroid,1.34880373269685,1.06882545620017,1.70212217418991,0.0308720760848984,0.56236400133199,4.10706207949617,0.250133018205968,,,4,4,0,0,LMM_binary,log_odds,TRUE
MR Egger,4,0.139709516412212,0.266060301575733,0.651915190875828,IGF1R,ENSG00000140443,UKB_hyperthyroid,1.14993971172296,0.682652949856591,1.93709166696677,0.0308720760848984,0.56236400133199,4.10706207949617,0.250133018205968,,,4,4,0,0,LMM_binary,log_odds,TRUE
Weighted median,4,0.349622855801176,0.112249668221551,0.00184138673715729,IGF1R,ENSG00000140443,UKB_hyperthyroid,1.41853245640937,1.13838831813318,1.76761681214949,0.0308720760848984,0.56236400133199,4.10706207949617,0.250133018205968,,,4,4,0,0,LMM_binary,log_odds,TRUE
Weighted mode,4,0.367634847165177,0.338650435647285,0.357103465446643,IGF1R,ENSG00000140443,UKB_hyperthyroid,1.44431454712091,0.74369817389849,2.80496118484461,0.0308720760848984,0.56236400133199,4.10706207949617,0.250133018205968,,,4,4,0,0,LMM_binary,log_odds,TRUE
Inverse variance weighted,3,0.341916999750787,0.256225539622149,0.182060477180186,IGF1R,ENSG00000140443,FinnGen_GO,1.4076434579075,0.851900913258347,2.32592790282512,-0.0980821506450389,0.432913310128032,2.34607725611658,0.3094252829686,,,4,3,0,1,log_odds,log_odds,FALSE
MR Egger,3,0.866149381666949,0.485483701146401,0.325233126152554,IGF1R,ENSG00000140443,FinnGen_GO,2.37773744381685,0.918146171723669,6.15766369870594,-0.0980821506450389,0.432913310128032,2.34607725611658,0.3094252829686,,,4,3,0,1,log_odds,log_odds,FALSE
Weighted median,3,0.377044121865058,0.24010264099771,0.116334734804811,IGF1R,ENSG00000140443,FinnGen_GO,1.45796863624753,0.910686057214973,2.33414416245939,-0.0980821506450389,0.432913310128032,2.34607725611658,0.3094252829686,,,4,3,0,1,log_odds,log_odds,FALSE
Weighted mode,3,0.37433233176807,0.739473530861425,0.662991556317548,IGF1R,ENSG00000140443,FinnGen_GO,1.45402028730443,0.341285540909652,6.19473942628161,-0.0980821506450389,0.432913310128032,2.34607725611658,0.3094252829686,,,4,3,0,1,log_odds,log_odds,FALSE
Inverse variance weighted,2,0.0250514621540004,0.279744003107395,0.928643720445993,INSR,ENSG00000171105,BBJ_Graves,1.02536788680678,0.592593398417173,1.77420016170085,,,0.741573180944642,0.389157397764661,,,2,2,0,0,log_odds,log_odds,FALSE
Inverse variance weighted,2,0.206695814172735,0.35858171785944,0.564327295627691,INSR,ENSG00000171105,UKB_hyperthyroid,1.2296084854134,0.608885919676575,2.48312036547626,,,2.1122958668861,0.146119952482939,,,2,2,0,0,LMM_binary,log_odds,TRUE
Inverse variance weighted,2,0.363510053679778,0.494738821843834,0.462490895973104,INSR,ENSG00000171105,FinnGen_GO,1.4383693177371,0.545431509451638,3.79315506778753,,,0.054608526435976,0.815229787449679,,,2,2,0,0,log_odds,log_odds,FALSE
Wald ratio,1,-1.73966280194206,0.222577324374689,5.45314198265834e-15,CTLA4,ENSG00000163599,BBJ_Graves,0.175579595734893,0.113504322655383,0.271603703869744,,,,,,,2,1,0,1,log_odds,log_odds,FALSE
Inverse variance weighted,2,-1.56944444189493,0.512618738727432,0.00220141785810304,CTLA4,ENSG00000163599,UKB_hyperthyroid,0.208160795656279,0.076216510250829,0.568524020657109,,,10.333367683301,0.00130646612322126,,,2,2,0,0,LMM_binary,log_odds,TRUE
Inverse variance weighted,2,-1.76756328228913,0.702314730831631,0.0118436767817885,CTLA4,ENSG00000163599,FinnGen_GO,0.17074854833101,0.0431056950565349,0.676362293170523,,,3.88769301292114,0.0486411953070071,,,2,2,0,0,log_odds,log_odds,FALSE
