method,n_iv,beta,se,pvalue,gene_symbol,ensembl_gene_id,outcome,or,or_ci_lower,or_ci_upper,egger_intercept,egger_intercept_p,cochran_q,cochran_q_p,steiger_direction,steiger_p,n_iv_preharm,n_iv_postharm,n_palindromic,n_removed,outcome_scale_original,outcome_scale_used,ukb_rescaled
Inverse variance weighted,2,0.0290922227021364,0.128336234395173,0.820666732107957,A2M,ENSG00000175899,BBJ_Graves,1.02951953517066,0.800557597913344,1.32396529126781,,,0.557472011676124,0.455280604453697,,,2,2,0,0,log_odds,log_odds,FALSE
Inverse variance weighted,3,0.0297953208404435,0.0633906751886133,0.638335818206911,AATK,ENSG00000181409,BBJ_Graves,1.03024364296878,0.909872860899561,1.16653876545807,-0.0374634492502302,0.606967151146856,0.732159794335993,0.69344739451339,,,3,3,0,0,log_odds,log_odds,FALSE
MR Egger,3,0.135384079668824,0.161672292223849,0.556191731275503,AATK,ENSG00000181409,BBJ_Graves,1.14497646209064,0.834023572120028,1.57186336521545,-0.0374634492502302,0.606967151146856,0.732159794335993,0.69344739451339,,,3,3,0,0,log_odds,log_odds,FALSE
Weighted median,3,0.0285860794309215,0.0636926506855985,0.653566675559556,AATK,ENSG00000181409,BBJ_Graves,1.02899858263478,0.908235551644835,1.16581880234351,-0.0374634492502302,0.606967151146856,0.732159794335993,0.69344739451339,,,3,3,0,0,log_odds,log_odds,FALSE
Weighted mode,3,0.0323462084982884,0.200383586309098,0.886594160100237,AATK,ENSG00000181409,BBJ_Graves,1.03287503352617,0.69739339151985,1.52974038448616,-0.0374634492502302,0.606967151146856,0.732159794335993,0.69344739451339,,,3,3,0,0,log_odds,log_odds,FALSE
Inverse variance weighted,4,0.125777921607071,0.0679332994822255,0.0640988869337774,ABAT,ENSG00000183044,BBJ_Graves,1.13403029669062,0.992655756355285,1.29553947134109,0.0110729169300031,0.766533957841049,0.317378322172061,0.956727630424208,,,5,4,0,1,log_odds,log_odds,FALSE
MR Egger,4,0.0849228506675818,0.138172901080603,0.601417084215471,ABAT,ENSG00000183044,BBJ_Graves,1.08863307614346,0.830359918489494,1.42723889735601,0.0110729169300031,0.766533957841049,0.317378322172061,0.956727630424208,,,5,4,0,1,log_odds,log_odds,FALSE
Weighted median,4,0.129743006976281,0.0777340342396615,0.0951048782424682,ABAT,ENSG00000183044,BBJ_Graves,1.13853574997887,0.977638117788798,1.32591357721588,0.0110729169300031,0.766533957841049,0.317378322172061,0.956727630424208,,,5,4,0,1,log_odds,log_odds,FALSE
Weighted mode,4,0.11454002306671,0.161217735742375,0.528664983183631,ABAT,ENSG00000183044,BBJ_Graves,1.1213575203327,0.817547119787212,1.53806754127392,0.0110729169300031,0.766533957841049,0.317378322172061,0.956727630424208,,,5,4,0,1,log_odds,log_odds,FALSE
Inverse variance weighted,3,-0.011724979566429,0.241127291355681,0.961217600991766,ABCA1,ENSG00000165029,BBJ_Graves,0.988343490143241,0.616107097721156,1.58547573647759,-0.252574756785417,0.73908835781301,5.58216528234841,0.0613547527631276,,,3,3,0,0,log_odds,log_odds,FALSE
MR Egger,3,1.80155484961306,4.18553598438674,0.741242213406184,ABCA1,ENSG00000165029,BBJ_Graves,6.05906107290839,0.00165807882731242,22141.4208302392,-0.252574756785417,0.73908835781301,5.58216528234841,0.0613547527631276,,,3,3,0,0,log_odds,log_odds,FALSE
Weighted median,3,-0.00663438359568005,0.171478964209617,0.969138185725958,ABCA1,ENSG00000165029,BBJ_Graves,0.993387575338999,0.709827601339056,1.39022330630185,-0.252574756785417,0.73908835781301,5.58216528234841,0.0613547527631276,,,3,3,0,0,log_odds,log_odds,FALSE
Weighted mode,3,-0.0436113995956615,0.456924139479066,0.93266295112237,ABCA1,ENSG00000165029,BBJ_Graves,0.957325902432154,0.390947220917166,2.3442368545746,-0.252574756785417,0.73908835781301,5.58216528234841,0.0613547527631276,,,3,3,0,0,log_odds,log_odds,FALSE
Wald ratio,1,-0.0137171680235839,0.416740443089392,0.973742071844553,ABCA13,ENSG00000179869,BBJ_Graves,0.986376483624871,0.435818922843685,2.23243763969636,,,,,,,1,1,1,0,log_odds,log_odds,FALSE
