method,n_iv,beta,se,pvalue,gene_symbol,ensembl_gene_id,outcome,or,or_ci_lower,or_ci_upper,egger_intercept,egger_intercept_p,cochran_q,cochran_q_p,steiger_direction,steiger_p,n_iv_preharm,n_iv_postharm,n_palindromic,n_removed,outcome_scale_original,outcome_scale_used,ukb_rescaled
Inverse variance weighted,2,-0.155350236888685,0.205001289100842,0.448569962983133,A2M,ENSG00000175899,UKB_hyperthyroid,0.856115281816758,0.572837748654606,1.27947813753823,,,3.06632405730995,0.0799300215005516,,,2,2,0,0,LMM_binary,log_odds,TRUE
Inverse variance weighted,3,-0.0575125129228966,0.0560963928205733,0.305247880370872,AATK,ENSG00000181409,UKB_hyperthyroid,0.944110076735915,0.845809228652408,1.05383555392796,0.0194054431168958,0.813667833966728,2.2780219559203,0.320135486347045,,,3,3,0,0,LMM_binary,log_odds,TRUE
MR Egger,3,-0.11284879821257,0.198721208238106,0.671209355014189,AATK,ENSG00000181409,UKB_hyperthyroid,0.893285716302381,0.605111605320923,1.31869784669996,0.0194054431168958,0.813667833966728,2.2780219559203,0.320135486347045,,,3,3,0,0,LMM_binary,log_odds,TRUE
Weighted median,3,-0.0742832912746127,0.0572109389006395,0.194146267966769,AATK,ENSG00000181409,UKB_hyperthyroid,0.928408646514707,0.829927665889576,1.03857558959597,0.0194054431168958,0.813667833966728,2.2780219559203,0.320135486347045,,,3,3,0,0,LMM_binary,log_odds,TRUE
Weighted mode,3,-0.0756378073387053,0.159888952112369,0.682770494524856,AATK,ENSG00000181409,UKB_hyperthyroid,0.927151953386615,0.677720611448262,1.26838512824874,0.0194054431168958,0.813667833966728,2.2780219559203,0.320135486347045,,,3,3,0,0,LMM_binary,log_odds,TRUE
Inverse variance weighted,5,-0.0446244223269617,0.0625594781854151,0.475652754833312,ABAT,ENSG00000183044,UKB_hyperthyroid,0.956356600577027,0.845995702166403,1.08111417720577,0.000384081847337137,0.99014708334879,0.564502042399433,0.966925453003047,,,5,5,0,0,LMM_binary,log_odds,TRUE
MR Egger,5,-0.0460288140772578,0.12203026252369,0.731132784176983,ABAT,ENSG00000183044,UKB_hyperthyroid,0.95501444393429,0.751857754914203,1.21306534668542,0.000384081847337137,0.99014708334879,0.564502042399433,0.966925453003047,,,5,5,0,0,LMM_binary,log_odds,TRUE
Weighted median,5,-0.0358958275919502,0.0659452091460097,0.586215742730198,ABAT,ENSG00000183044,UKB_hyperthyroid,0.964740787619664,0.847767854191498,1.09785336008597,0.000384081847337137,0.99014708334879,0.564502042399433,0.966925453003047,,,5,5,0,0,LMM_binary,log_odds,TRUE
Weighted mode,5,-0.0453505310173985,0.21453689354339,0.84291778552887,ABAT,ENSG00000183044,UKB_hyperthyroid,0.955662433788959,0.627605909359309,1.45519771840225,0.000384081847337137,0.99014708334879,0.564502042399433,0.966925453003047,,,5,5,0,0,LMM_binary,log_odds,TRUE
Inverse variance weighted,3,0.0819862931214617,0.195018646978695,0.674191568003003,ABCA1,ENSG00000165029,UKB_hyperthyroid,1.08544093172057,0.740632850445796,1.59077742169451,0.452025888840049,0.309765957133989,3.63412399199223,0.162502483216611,,,3,3,0,0,LMM_binary,log_odds,TRUE
