method,n_iv,beta,se,pvalue,gene_symbol,ensembl_gene_id,outcome,or,or_ci_lower,or_ci_upper,egger_intercept,egger_intercept_p,cochran_q,cochran_q_p,steiger_direction,steiger_p,n_iv_preharm,n_iv_postharm,n_palindromic,n_removed,outcome_scale_original,outcome_scale_used,ukb_rescaled
Inverse variance weighted,2,0.335589137695058,0.250190831758017,0.17981246547614,A2M,ENSG00000175899,FinnGen_GO,1.39876420724732,0.856599418583128,2.28407965850885,,,0.0199328365728219,0.887724824207235,,,2,2,0,0,log_odds,log_odds,FALSE
Inverse variance weighted,3,0.145123190242932,0.108579460434954,0.181365621469459,AATK,ENSG00000181409,FinnGen_GO,1.15618199183582,0.934547754055105,1.43037826846739,-0.0573834599555739,0.665726077510874,0.394311941265013,0.821062561678138,,,3,3,0,0,log_odds,log_odds,FALSE
MR Egger,3,0.303890981770732,0.294783433657574,0.490315941625648,AATK,ENSG00000181409,FinnGen_GO,1.35512131511037,0.760419862036478,2.41492084879074,-0.0573834599555739,0.665726077510874,0.394311941265013,0.821062561678138,,,3,3,0,0,log_odds,log_odds,FALSE
Weighted median,3,0.145453581138525,0.108253169755096,0.179063955065536,AATK,ENSG00000181409,FinnGen_GO,1.15656404694986,0.935454630927919,1.42993615133442,-0.0573834599555739,0.665726077510874,0.394311941265013,0.821062561678138,,,3,3,0,0,log_odds,log_odds,FALSE
Weighted mode,3,0.171676764747152,0.271583549363471,0.591925541394301,AATK,ENSG00000181409,FinnGen_GO,1.1872939959074,0.697239025698577,2.02178446811033,-0.0573834599555739,0.665726077510874,0.394311941265013,0.821062561678138,,,3,3,0,0,log_odds,log_odds,FALSE
Inverse variance weighted,4,0.212442010064724,0.227237638334048,0.349845412184149,ABAT,ENSG00000183044,FinnGen_GO,1.23669439565789,0.792198124646419,1.93059410350693,0.105099841376905,0.330559428258495,2.07540890270242,0.556903707469611,,,5,4,0,1,log_odds,log_odds,FALSE
MR Egger,4,-0.351172985762948,0.497212368773021,0.553203005570593,ABAT,ENSG00000183044,FinnGen_GO,0.703861985221281,0.265614510873849,1.86519062008227,0.105099841376905,0.330559428258495,2.07540890270242,0.556903707469611,,,5,4,0,1,log_odds,log_odds,FALSE
Weighted median,4,0.17721184305069,0.239126115393367,0.458644272493436,ABAT,ENSG00000183044,FinnGen_GO,1.19388398236477,0.747160436020831,1.90770133779866,0.105099841376905,0.330559428258495,2.07540890270242,0.556903707469611,,,5,4,0,1,log_odds,log_odds,FALSE
Weighted mode,4,0.071556053377372,0.825069219183635,0.936352609404208,ABAT,ENSG00000183044,FinnGen_GO,1.07417836033882,0.213188268026561,5.41239515898893,0.105099841376905,0.330559428258495,2.07540890270242,0.556903707469611,,,5,4,0,1,log_odds,log_odds,FALSE
Inverse variance weighted,3,0.805330930745297,0.28560700742779,0.00480660212387905,ABCA1,ENSG00000165029,FinnGen_GO,2.23743681294894,1.27831294412493,3.91619557241208,0.179106852525027,0.795959762444265,0.6954005737152,0.706310535044302,,,3,3,0,0,log_odds,log_odds,FALSE
MR Egger,3,-0.482781002403304,3.8909280179343,0.921410757839747,ABCA1,ENSG00000165029,FinnGen_GO,0.617064944317237,0.000300819567175283,1265.77253295284,0.179106852525027,0.795959762444265,0.6954005737152,0.706310535044302,,,3,3,0,0,log_odds,log_odds,FALSE
Weighted median,3,0.818735395546992,0.306189019921682,0.00749627032256871,ABCA1,ENSG00000165029,FinnGen_GO,2.26763036808164,1.24433956153111,4.13243108651055,0.179106852525027,0.795959762444265,0.6954005737152,0.706310535044302,,,3,3,0,0,log_odds,log_odds,FALSE
