method,n_iv,beta,se,pvalue,gene_symbol,ensembl_gene_id,outcome,or,or_ci_lower,or_ci_upper,egger_intercept,egger_intercept_p,cochran_q,cochran_q_p,steiger_direction,steiger_p,n_iv_preharm,n_iv_postharm,n_palindromic,n_removed,outcome_scale_original,outcome_scale_used,ukb_rescaled
Inverse variance weighted,2,0.0290922227021364,0.128336234395173,0.820666732107957,A2M,ENSG00000175899,BBJ_Graves,1.02951953517066,0.800557597913344,1.32396529126781,,,0.557472011676124,0.455280604453697,,,2,2,0,0,log_odds,log_odds,FALSE
Inverse variance weighted,2,-0.155350236888685,0.205001289100842,0.448569962983133,A2M,ENSG00000175899,UKB_hyperthyroid,0.856115281816758,0.572837748654606,1.27947813753823,,,3.06632405730995,0.0799300215005516,,,2,2,0,0,LMM_binary,log_odds,TRUE
Inverse variance weighted,2,0.335589137695058,0.250190831758017,0.17981246547614,A2M,ENSG00000175899,FinnGen_GO,1.39876420724732,0.856599418583128,2.28407965850885,,,0.0199328365728219,0.887724824207235,,,2,2,0,0,log_odds,log_odds,FALSE
Inverse variance weighted,3,0.0297953208404435,0.0633906751886133,0.638335818206911,AATK,ENSG00000181409,BBJ_Graves,1.03024364296878,0.909872860899561,1.16653876545807,-0.0374634492502302,0.606967151146856,0.732159794335993,0.69344739451339,,,3,3,0,0,log_odds,log_odds,FALSE
MR Egger,3,0.135384079668824,0.161672292223849,0.556191731275503,AATK,ENSG00000181409,BBJ_Graves,1.14497646209064,0.834023572120028,1.57186336521545,-0.0374634492502302,0.606967151146856,0.732159794335993,0.69344739451339,,,3,3,0,0,log_odds,log_odds,FALSE
Weighted median,3,0.0285860794309215,0.0636926506855985,0.653566675559556,AATK,ENSG00000181409,BBJ_Graves,1.02899858263478,0.908235551644835,1.16581880234351,-0.0374634492502302,0.606967151146856,0.732159794335993,0.69344739451339,,,3,3,0,0,log_odds,log_odds,FALSE
Weighted mode,3,0.0323462084982884,0.200383586309098,0.886594160100237,AATK,ENSG00000181409,BBJ_Graves,1.03287503352617,0.69739339151985,1.52974038448616,-0.0374634492502302,0.606967151146856,0.732159794335993,0.69344739451339,,,3,3,0,0,log_odds,log_odds,FALSE
Inverse variance weighted,3,-0.0575125129228966,0.0560963928205733,0.305247880370872,AATK,ENSG00000181409,UKB_hyperthyroid,0.944110076735915,0.845809228652408,1.05383555392796,0.0194054431168958,0.813667833966728,2.2780219559203,0.320135486347045,,,3,3,0,0,LMM_binary,log_odds,TRUE
MR Egger,3,-0.11284879821257,0.198721208238106,0.671209355014189,AATK,ENSG00000181409,UKB_hyperthyroid,0.893285716302381,0.605111605320923,1.31869784669996,0.0194054431168958,0.813667833966728,2.2780219559203,0.320135486347045,,,3,3,0,0,LMM_binary,log_odds,TRUE
Weighted median,3,-0.0742832912746127,0.0572109389006395,0.194146267966769,AATK,ENSG00000181409,UKB_hyperthyroid,0.928408646514707,0.829927665889576,1.03857558959597,0.0194054431168958,0.813667833966728,2.2780219559203,0.320135486347045,,,3,3,0,0,LMM_binary,log_odds,TRUE
Weighted mode,3,-0.0756378073387053,0.159888952112369,0.682770494524856,AATK,ENSG00000181409,UKB_hyperthyroid,0.927151953386615,0.677720611448262,1.26838512824874,0.0194054431168958,0.813667833966728,2.2780219559203,0.320135486347045,,,3,3,0,0,LMM_binary,log_odds,TRUE
Inverse variance weighted,3,0.145123190242932,0.108579460434954,0.181365621469459,AATK,ENSG00000181409,FinnGen_GO,1.15618199183582,0.934547754055105,1.43037826846739,-0.0573834599555739,0.665726077510874,0.394311941265013,0.821062561678138,,,3,3,0,0,log_odds,log_odds,FALSE
MR Egger,3,0.303890981770732,0.294783433657574,0.490315941625648,AATK,ENSG00000181409,FinnGen_GO,1.35512131511037,0.760419862036478,2.41492084879074,-0.0573834599555739,0.665726077510874,0.394311941265013,0.821062561678138,,,3,3,0,0,log_odds,log_odds,FALSE
Weighted median,3,0.145453581138525,0.108253169755096,0.179063955065536,AATK,ENSG00000181409,FinnGen_GO,1.15656404694986,0.935454630927919,1.42993615133442,-0.0573834599555739,0.665726077510874,0.394311941265013,0.821062561678138,,,3,3,0,0,log_odds,log_odds,FALSE
Weighted mode,3,0.171676764747152,0.271583549363471,0.591925541394301,AATK,ENSG00000181409,FinnGen_GO,1.1872939959074,0.697239025698577,2.02178446811033,-0.0573834599555739,0.665726077510874,0.394311941265013,0.821062561678138,,,3,3,0,0,log_odds,log_odds,FALSE
Inverse variance weighted,4,0.125777921607071,0.0679332994822255,0.0640988869337774,ABAT,ENSG00000183044,BBJ_Graves,1.13403029669062,0.992655756355285,1.29553947134109,0.0110729169300031,0.766533957841049,0.317378322172061,0.956727630424208,,,5,4,0,1,log_odds,log_odds,FALSE
MR Egger,4,0.0849228506675818,0.138172901080603,0.601417084215471,ABAT,ENSG00000183044,BBJ_Graves,1.08863307614346,0.830359918489494,1.42723889735601,0.0110729169300031,0.766533957841049,0.317378322172061,0.956727630424208,,,5,4,0,1,log_odds,log_odds,FALSE
