gene_symbol,outcome,method,n_iv_preharm,n_iv_postharm,n_palindromic,n_removed
A2M,BBJ_Graves,Inverse variance weighted,2,2,0,0
A2M,UKB_hyperthyroid,Inverse variance weighted,2,2,0,0
A2M,FinnGen_GO,Inverse variance weighted,2,2,0,0
AATK,BBJ_Graves,Inverse variance weighted,3,3,0,0
AATK,BBJ_Graves,MR Egger,3,3,0,0
AATK,BBJ_Graves,Weighted median,3,3,0,0
AATK,BBJ_Graves,Weighted mode,3,3,0,0
AATK,UKB_hyperthyroid,Inverse variance weighted,3,3,0,0
AATK,UKB_hyperthyroid,MR Egger,3,3,0,0
AATK,UKB_hyperthyroid,Weighted median,3,3,0,0
AATK,UKB_hyperthyroid,Weighted mode,3,3,0,0
AATK,FinnGen_GO,Inverse variance weighted,3,3,0,0
AATK,FinnGen_GO,MR Egger,3,3,0,0
AATK,FinnGen_GO,Weighted median,3,3,0,0
AATK,FinnGen_GO,Weighted mode,3,3,0,0
ABAT,BBJ_Graves,Inverse variance weighted,5,4,0,1
ABAT,BBJ_Graves,MR Egger,5,4,0,1
ABAT,BBJ_Graves,Weighted median,5,4,0,1
ABAT,BBJ_Graves,Weighted mode,5,4,0,1
ABAT,UKB_hyperthyroid,Inverse variance weighted,5,5,0,0
ABAT,UKB_hyperthyroid,MR Egger,5,5,0,0
ABAT,UKB_hyperthyroid,Weighted median,5,5,0,0
ABAT,UKB_hyperthyroid,Weighted mode,5,5,0,0
ABAT,FinnGen_GO,Inverse variance weighted,5,4,0,1
ABAT,FinnGen_GO,MR Egger,5,4,0,1
ABAT,FinnGen_GO,Weighted median,5,4,0,1
ABAT,FinnGen_GO,Weighted mode,5,4,0,1
ABCA1,BBJ_Graves,Inverse variance weighted,3,3,0,0
ABCA1,BBJ_Graves,MR Egger,3,3,0,0
ABCA1,BBJ_Graves,Weighted median,3,3,0,0
ABCA1,BBJ_Graves,Weighted mode,3,3,0,0
ABCA1,UKB_hyperthyroid,Inverse variance weighted,3,3,0,0
ABCA1,UKB_hyperthyroid,MR Egger,3,3,0,0
ABCA1,UKB_hyperthyroid,Weighted median,3,3,0,0
ABCA1,UKB_hyperthyroid,Weighted mode,3,3,0,0
ABCA1,FinnGen_GO,Inverse variance weighted,3,3,0,0
ABCA1,FinnGen_GO,MR Egger,3,3,0,0
ABCA1,FinnGen_GO,Weighted median,3,3,0,0
ABCA1,FinnGen_GO,Weighted mode,3,3,0,0
ABCA13,BBJ_Graves,Wald ratio,1,1,1,0
ABCA13,UKB_hyperthyroid,Wald ratio,1,1,1,0
ABCA13,FinnGen_GO,Wald ratio,1,1,1,0
ABCA2,BBJ_Graves,Wald ratio,2,1,0,1
ABCA2,UKB_hyperthyroid,Inverse variance weighted,2,2,0,0
ABCA2,FinnGen_GO,Inverse variance weighted,2,2,0,0
ABCA3,BBJ_Graves,Wald ratio,1,1,0,0
ABCA3,UKB_hyperthyroid,Wald ratio,1,1,0,0
ABCA3,FinnGen_GO,Wald ratio,1,1,0,0
ABCA7,UKB_hyperthyroid,Inverse variance weighted,3,3,0,0
ABCA7,UKB_hyperthyroid,MR Egger,3,3,0,0
ABCA7,UKB_hyperthyroid,Weighted median,3,3,0,0
ABCA7,UKB_hyperthyroid,Weighted mode,3,3,0,0
ABCA7,FinnGen_GO,Inverse variance weighted,3,3,0,0
ABCA7,FinnGen_GO,MR Egger,3,3,0,0
ABCA7,FinnGen_GO,Weighted median,3,3,0,0
ABCA7,FinnGen_GO,Weighted mode,3,3,0,0
ABCB1,BBJ_Graves,Wald ratio,2,1,0,1
ABCB1,UKB_hyperthyroid,Inverse variance weighted,2,2,1,0
ABCB1,FinnGen_GO,Inverse variance weighted,2,2,1,0
ABCB4,BBJ_Graves,Wald ratio,2,1,0,1
ABCB4,UKB_hyperthyroid,Inverse variance weighted,2,2,0,0
ABCB4,FinnGen_GO,Inverse variance weighted,2,2,0,0
ABCB8,BBJ_Graves,Wald ratio,1,1,0,0
ABCB8,UKB_hyperthyroid,Wald ratio,1,1,0,0
ABCB8,FinnGen_GO,Wald ratio,1,1,0,0
ABCC1,BBJ_Graves,Inverse variance weighted,4,3,0,1
ABCC1,BBJ_Graves,MR Egger,4,3,0,1
ABCC1,BBJ_Graves,Weighted median,4,3,0,1
ABCC1,BBJ_Graves,Weighted mode,4,3,0,1
ABCC1,UKB_hyperthyroid,Inverse variance weighted,4,4,1,0
ABCC1,UKB_hyperthyroid,MR Egger,4,4,1,0
ABCC1,UKB_hyperthyroid,Weighted median,4,4,1,0
ABCC1,UKB_hyperthyroid,Weighted mode,4,4,1,0
ABCC1,FinnGen_GO,Inverse variance weighted,4,4,1,0
ABCC1,FinnGen_GO,MR Egger,4,4,1,0
ABCC1,FinnGen_GO,Weighted median,4,4,1,0
ABCC1,FinnGen_GO,Weighted mode,4,4,1,0
ABCC10,BBJ_Graves,Wald ratio,1,1,0,0
ABCC10,UKB_hyperthyroid,Wald ratio,1,1,0,0
ABCC10,FinnGen_GO,Wald ratio,1,1,0,0
ABCC2,BBJ_Graves,Wald ratio,1,1,0,0
ABCC2,UKB_hyperthyroid,Wald ratio,1,1,0,0
ABCC2,FinnGen_GO,Wald ratio,1,1,0,0
ABCC3,BBJ_Graves,Inverse variance weighted,4,2,0,2
ABCC3,UKB_hyperthyroid,Inverse variance weighted,4,4,0,0
ABCC3,UKB_hyperthyroid,MR Egger,4,4,0,0
ABCC3,UKB_hyperthyroid,Weighted median,4,4,0,0
ABCC3,UKB_hyperthyroid,Weighted mode,4,4,0,0
ABCC3,FinnGen_GO,Inverse variance weighted,4,4,0,0
ABCC3,FinnGen_GO,MR Egger,4,4,0,0
ABCC3,FinnGen_GO,Weighted median,4,4,0,0
ABCC3,FinnGen_GO,Weighted mode,4,4,0,0
ABCC4,BBJ_Graves,Inverse variance weighted,4,2,2,2
ABCC4,UKB_hyperthyroid,Inverse variance weighted,4,4,2,0
ABCC4,UKB_hyperthyroid,MR Egger,4,4,2,0
ABCC4,UKB_hyperthyroid,Weighted median,4,4,2,0
ABCC4,UKB_hyperthyroid,Weighted mode,4,4,2,0
ABCC4,FinnGen_GO,Inverse variance weighted,4,4,2,0
ABCC4,FinnGen_GO,MR Egger,4,4,2,0
ABCC4,FinnGen_GO,Weighted median,4,4,2,0
ABCC4,FinnGen_GO,Weighted mode,4,4,2,0
ABCC5,BBJ_Graves,Inverse variance weighted,6,3,0,3
ABCC5,BBJ_Graves,MR Egger,6,3,0,3
ABCC5,BBJ_Graves,Weighted median,6,3,0,3
ABCC5,BBJ_Graves,Weighted mode,6,3,0,3
ABCC5,UKB_hyperthyroid,Inverse variance weighted,6,6,0,0
ABCC5,UKB_hyperthyroid,MR Egger,6,6,0,0
ABCC5,UKB_hyperthyroid,Weighted median,6,6,0,0
ABCC5,UKB_hyperthyroid,Weighted mode,6,6,0,0
ABCC5,FinnGen_GO,Inverse variance weighted,6,6,0,0
ABCC5,FinnGen_GO,MR Egger,6,6,0,0
ABCC5,FinnGen_GO,Weighted median,6,6,0,0
ABCC5,FinnGen_GO,Weighted mode,6,6,0,0
ABCC6,UKB_hyperthyroid,Wald ratio,1,1,0,0
ABCC6,FinnGen_GO,Wald ratio,1,1,0,0
ABCG1,BBJ_Graves,Wald ratio,3,1,0,2
ABCG1,UKB_hyperthyroid,Inverse variance weighted,3,3,0,0
ABCG1,UKB_hyperthyroid,MR Egger,3,3,0,0
ABCG1,UKB_hyperthyroid,Weighted median,3,3,0,0
ABCG1,UKB_hyperthyroid,Weighted mode,3,3,0,0
ABCG1,FinnGen_GO,Inverse variance weighted,3,3,0,0
ABCG1,FinnGen_GO,MR Egger,3,3,0,0
ABCG1,FinnGen_GO,Weighted median,3,3,0,0
ABCG1,FinnGen_GO,Weighted mode,3,3,0,0
ABCG2,BBJ_Graves,Inverse variance weighted,2,2,0,0
ABCG2,UKB_hyperthyroid,Inverse variance weighted,2,2,0,0
ABCG2,FinnGen_GO,Inverse variance weighted,2,2,0,0
ABHD12,BBJ_Graves,Inverse variance weighted,6,3,0,3
ABHD12,BBJ_Graves,MR Egger,6,3,0,3
ABHD12,BBJ_Graves,Weighted median,6,3,0,3
ABHD12,BBJ_Graves,Weighted mode,6,3,0,3
ABHD12,UKB_hyperthyroid,Inverse variance weighted,6,2,0,4
ABHD12,FinnGen_GO,Inverse variance weighted,6,2,0,4
ABHD16A,BBJ_Graves,Wald ratio,1,1,0,0
ABHD16A,UKB_hyperthyroid,Wald ratio,1,1,0,0
ABHD16A,FinnGen_GO,Wald ratio,1,1,0,0
ABI3BP,UKB_hyperthyroid,Wald ratio,1,1,1,0
ABI3BP,FinnGen_GO,Wald ratio,1,1,1,0
ABL1,UKB_hyperthyroid,Wald ratio,1,1,0,0
ABL1,FinnGen_GO,Wald ratio,1,1,0,0
ABL2,BBJ_Graves,Wald ratio,1,1,0,0
ABL2,UKB_hyperthyroid,Wald ratio,1,1,0,0
ACACA,BBJ_Graves,Wald ratio,2,1,0,1
ACACA,UKB_hyperthyroid,Inverse variance weighted,2,2,0,0
ACACA,FinnGen_GO,Inverse variance weighted,2,2,0,0
ACACB,BBJ_Graves,Inverse variance weighted,4,3,1,1
ACACB,BBJ_Graves,MR Egger,4,3,1,1
ACACB,BBJ_Graves,Weighted median,4,3,1,1
ACACB,BBJ_Graves,Weighted mode,4,3,1,1
ACACB,UKB_hyperthyroid,Inverse variance weighted,4,4,1,0
ACACB,UKB_hyperthyroid,MR Egger,4,4,1,0
ACACB,UKB_hyperthyroid,Weighted median,4,4,1,0
ACACB,UKB_hyperthyroid,Weighted mode,4,4,1,0
ACACB,FinnGen_GO,Inverse variance weighted,4,4,1,0
ACACB,FinnGen_GO,MR Egger,4,4,1,0
ACACB,FinnGen_GO,Weighted median,4,4,1,0
ACACB,FinnGen_GO,Weighted mode,4,4,1,0
ACE,BBJ_Graves,Wald ratio,1,1,0,0
ACE,UKB_hyperthyroid,Wald ratio,1,1,0,0
ACE,FinnGen_GO,Wald ratio,1,1,0,0
ACKR2,BBJ_Graves,Wald ratio,1,1,0,0
ACKR2,UKB_hyperthyroid,Wald ratio,1,1,0,0
ACKR3,BBJ_Graves,Inverse variance weighted,5,2,0,3
ACKR3,UKB_hyperthyroid,Inverse variance weighted,5,4,0,1
ACKR3,UKB_hyperthyroid,MR Egger,5,4,0,1
ACKR3,UKB_hyperthyroid,Weighted median,5,4,0,1
ACKR3,UKB_hyperthyroid,Weighted mode,5,4,0,1
ACKR3,FinnGen_GO,Inverse variance weighted,5,4,0,1
ACKR3,FinnGen_GO,MR Egger,5,4,0,1
ACKR3,FinnGen_GO,Weighted median,5,4,0,1
ACKR3,FinnGen_GO,Weighted mode,5,4,0,1
ACLY,BBJ_Graves,Wald ratio,1,1,0,0
ACLY,UKB_hyperthyroid,Wald ratio,1,1,0,0
ACLY,FinnGen_GO,Wald ratio,1,1,0,0
ACP1,BBJ_Graves,Wald ratio,3,1,0,2
ACP1,UKB_hyperthyroid,Wald ratio,3,1,0,2
ACP1,FinnGen_GO,Wald ratio,3,1,0,2
ACP2,BBJ_Graves,Inverse variance weighted,11,3,0,8
ACP2,BBJ_Graves,MR Egger,11,3,0,8
ACP2,BBJ_Graves,Weighted median,11,3,0,8
ACP2,BBJ_Graves,Weighted mode,11,3,0,8
ACP2,UKB_hyperthyroid,Inverse variance weighted,11,4,0,7
ACP2,UKB_hyperthyroid,MR Egger,11,4,0,7
ACP2,UKB_hyperthyroid,Weighted median,11,4,0,7
ACP2,UKB_hyperthyroid,Weighted mode,11,4,0,7
ACP2,FinnGen_GO,Inverse variance weighted,11,6,0,5
ACP2,FinnGen_GO,MR Egger,11,6,0,5
ACP2,FinnGen_GO,Weighted median,11,6,0,5
ACP2,FinnGen_GO,Weighted mode,11,6,0,5
ACP5,BBJ_Graves,Inverse variance weighted,4,3,0,1
ACP5,BBJ_Graves,MR Egger,4,3,0,1
ACP5,BBJ_Graves,Weighted median,4,3,0,1
ACP5,BBJ_Graves,Weighted mode,4,3,0,1
ACP5,UKB_hyperthyroid,Inverse variance weighted,4,4,0,0
ACP5,UKB_hyperthyroid,MR Egger,4,4,0,0
ACP5,UKB_hyperthyroid,Weighted median,4,4,0,0
ACP5,UKB_hyperthyroid,Weighted mode,4,4,0,0
ACP5,FinnGen_GO,Inverse variance weighted,4,4,0,0
ACP5,FinnGen_GO,MR Egger,4,4,0,0
ACP5,FinnGen_GO,Weighted median,4,4,0,0
ACP5,FinnGen_GO,Weighted mode,4,4,0,0
ACP6,BBJ_Graves,Inverse variance weighted,3,2,1,1
ACP6,UKB_hyperthyroid,Inverse variance weighted,3,3,1,0
ACP6,UKB_hyperthyroid,MR Egger,3,3,1,0
ACP6,UKB_hyperthyroid,Weighted median,3,3,1,0
ACP6,UKB_hyperthyroid,Weighted mode,3,3,1,0
ACP6,FinnGen_GO,Inverse variance weighted,3,3,1,0
ACP6,FinnGen_GO,MR Egger,3,3,1,0
ACP6,FinnGen_GO,Weighted median,3,3,1,0
ACP6,FinnGen_GO,Weighted mode,3,3,1,0
ACPP,BBJ_Graves,Inverse variance weighted,11,3,0,8
ACPP,BBJ_Graves,MR Egger,11,3,0,8
ACPP,BBJ_Graves,Weighted median,11,3,0,8
ACPP,BBJ_Graves,Weighted mode,11,3,0,8
ACPP,UKB_hyperthyroid,Inverse variance weighted,11,5,0,6
ACPP,UKB_hyperthyroid,MR Egger,11,5,0,6
ACPP,UKB_hyperthyroid,Weighted median,11,5,0,6
ACPP,UKB_hyperthyroid,Weighted mode,11,5,0,6
ACPP,FinnGen_GO,Inverse variance weighted,11,9,0,2
ACPP,FinnGen_GO,MR Egger,11,9,0,2
ACPP,FinnGen_GO,Weighted median,11,9,0,2
ACPP,FinnGen_GO,Weighted mode,11,9,0,2
ACRBP,BBJ_Graves,Wald ratio,1,1,0,0
ACRBP,UKB_hyperthyroid,Wald ratio,1,1,0,0
ACRBP,FinnGen_GO,Wald ratio,1,1,0,0
ACTN1,BBJ_Graves,Inverse variance weighted,2,2,1,0
ACTN1,UKB_hyperthyroid,Inverse variance weighted,2,2,1,0
ACTN1,FinnGen_GO,Inverse variance weighted,2,2,1,0
ACTN4,BBJ_Graves,Wald ratio,2,1,1,1
ACTN4,UKB_hyperthyroid,Wald ratio,2,1,1,1
ACTN4,FinnGen_GO,Inverse variance weighted,2,2,1,0
ACVR1,UKB_hyperthyroid,Inverse variance weighted,2,2,0,0
ACVR1,FinnGen_GO,Inverse variance weighted,2,2,0,0
ACVR1B,BBJ_Graves,Wald ratio,1,1,0,0
ACVR1B,UKB_hyperthyroid,Wald ratio,1,1,0,0
ACVR1B,FinnGen_GO,Wald ratio,1,1,0,0
ACVR1C,BBJ_Graves,Wald ratio,1,1,0,0
ACVR1C,UKB_hyperthyroid,Wald ratio,1,1,0,0
ACVR1C,FinnGen_GO,Wald ratio,1,1,0,0
ACVR2A,BBJ_Graves,Wald ratio,1,1,0,0
ACVR2A,UKB_hyperthyroid,Wald ratio,1,1,0,0
ACVR2A,FinnGen_GO,Wald ratio,1,1,0,0
ACVR2B,BBJ_Graves,Wald ratio,2,1,1,1
ACVR2B,UKB_hyperthyroid,Inverse variance weighted,2,2,1,0
ACVR2B,FinnGen_GO,Inverse variance weighted,2,2,1,0
ACVRL1,BBJ_Graves,Inverse variance weighted,4,4,0,0
ACVRL1,BBJ_Graves,MR Egger,4,4,0,0
ACVRL1,BBJ_Graves,Weighted median,4,4,0,0
ACVRL1,BBJ_Graves,Weighted mode,4,4,0,0
ACVRL1,UKB_hyperthyroid,Inverse variance weighted,4,3,0,1
ACVRL1,UKB_hyperthyroid,MR Egger,4,3,0,1
ACVRL1,UKB_hyperthyroid,Weighted median,4,3,0,1
ACVRL1,UKB_hyperthyroid,Weighted mode,4,3,0,1
ACVRL1,FinnGen_GO,Inverse variance weighted,4,3,0,1
ACVRL1,FinnGen_GO,MR Egger,4,3,0,1
ACVRL1,FinnGen_GO,Weighted median,4,3,0,1
ACVRL1,FinnGen_GO,Weighted mode,4,3,0,1
ADA,BBJ_Graves,Inverse variance weighted,3,3,0,0
ADA,BBJ_Graves,MR Egger,3,3,0,0
ADA,BBJ_Graves,Weighted median,3,3,0,0
ADA,BBJ_Graves,Weighted mode,3,3,0,0
ADA,UKB_hyperthyroid,Inverse variance weighted,3,3,0,0
ADA,UKB_hyperthyroid,MR Egger,3,3,0,0
ADA,UKB_hyperthyroid,Weighted median,3,3,0,0
ADA,UKB_hyperthyroid,Weighted mode,3,3,0,0
ADA,FinnGen_GO,Inverse variance weighted,3,3,0,0
ADA,FinnGen_GO,MR Egger,3,3,0,0
