gene_symbol,outcome,observed_beta,se,min_detectable_beta_80pct,min_detectable_OR_80pct,powered_for_observed
C4A,BBJ_Graves,-0.803,0.1265,0.646,1.91,yes
C4A,UKB_hyperthyroid,-0.140,0.1186,0.332,1.39,no
C4A,FinnGen_GO,-1.019,0.1509,0.423,1.53,yes
CTLA4,BBJ_Graves,-1.740,0.2226,1.137,3.12,yes
CTLA4,UKB_hyperthyroid,-1.569,0.5126,1.436,4.20,yes
CTLA4,FinnGen_GO,-1.768,0.7023,1.968,7.15,no
HLA-A,BBJ_Graves,+0.685,0.0688,0.352,1.42,yes
HLA-A,UKB_hyperthyroid,-0.168,0.2320,0.650,1.92,no
HLA-A,FinnGen_GO,+0.182,0.2285,0.640,1.90,no
HLA-DQA2,BBJ_Graves,+0.870,0.1045,0.534,1.71,yes
HLA-DQA2,UKB_hyperthyroid,-0.249,0.3325,0.932,2.54,no
HLA-DQA2,FinnGen_GO,+0.832,0.1595,0.447,1.56,yes
HSD3B7,BBJ_Graves,-1.227,0.2362,1.207,3.34,yes
HSD3B7,UKB_hyperthyroid,-0.279,0.1198,0.336,1.40,no
HSD3B7,FinnGen_GO,+0.272,0.2464,0.690,1.99,no
IFNGR1,BBJ_Graves,+0.741,0.1672,0.855,2.35,no
IFNGR1,UKB_hyperthyroid,+0.301,0.1660,0.465,1.59,no
IFNGR1,FinnGen_GO,+0.145,0.3488,0.977,2.66,no
IGF1R,BBJ_Graves,+0.446,0.1936,0.989,2.69,no
IGF1R,UKB_hyperthyroid,+0.299,0.1187,0.333,1.39,no
IGF1R,FinnGen_GO,+0.342,0.2562,0.718,2.05,no
MAPKAPK5,BBJ_Graves,-0.023,0.0051,0.026,1.03,no
MAPKAPK5,UKB_hyperthyroid,-0.194,0.1103,0.309,1.36,no
MAPKAPK5,FinnGen_GO,-0.098,0.0707,0.198,1.22,no
PRSS36,BBJ_Graves,+1.792,0.3772,1.928,6.87,no
PRSS36,UKB_hyperthyroid,+0.452,0.1832,0.513,1.67,no
PRSS36,FinnGen_GO,+0.442,0.3650,1.023,2.78,no
PSMB8,BBJ_Graves,+0.222,0.0493,0.252,1.29,no
PSMB8,UKB_hyperthyroid,-0.044,0.0731,0.205,1.23,no
PSMB8,FinnGen_GO,-0.075,0.1308,0.367,1.44,no
TNFSF14,BBJ_Graves,-0.468,0.0972,0.497,1.64,no
TNFSF14,UKB_hyperthyroid,-0.298,0.1075,0.301,1.35,no
TNFSF14,FinnGen_GO,+0.034,0.1880,0.527,1.69,no
TSHR,BBJ_Graves,-2.096,0.2712,1.386,4.00,yes
TSHR,UKB_hyperthyroid,-2.436,0.2230,0.625,1.87,yes
TSHR,FinnGen_GO,-2.331,0.4540,1.272,3.57,yes
TUBB,BBJ_Graves,+0.399,0.0781,0.399,1.49,yes
TUBB,UKB_hyperthyroid,+1.040,0.2230,0.625,1.87,yes
TUBB,FinnGen_GO,+1.241,0.3090,0.866,2.38,yes
VKORC1,BBJ_Graves,-2.017,0.4050,2.070,7.92,no
VKORC1,UKB_hyperthyroid,-0.371,0.2066,0.579,1.78,no
