file_name,relative_path,file_size_bytes.size,file_size_bytes.isdir,file_size_bytes.mode,file_size_bytes.mtime,file_size_bytes.ctime,file_size_bytes.atime,file_size_bytes.exe,created_at.size,created_at.isdir,created_at.mode,created_at.mtime,created_at.ctime,created_at.atime,created_at.exe,md5_hash
WEEK4_MANIFEST.md,TrackA_MR/v5_upgrade/WEEK4_MANIFEST.md,3351,FALSE,666,2026-05-26 18:55:58,2026-05-26 17:58:49.187033,2026-05-26 17:58:49.18858,no,3351,FALSE,666,2026-05-26 18:55:58,2026-05-26 17:58:49.187033,2026-05-26 17:58:49.18858,no,a587c447bc86d774c5886e86636996aa
WEEK4_TASK_SPEC_v1.0.md,TrackA_MR/v5_upgrade/WEEK4_TASK_SPEC_v1.0.md,7997,FALSE,666,2026-05-26 17:51:02,2026-05-26 18:01:54.184349,2026-05-26 18:01:54.186371,no,7997,FALSE,666,2026-05-26 17:51:02,2026-05-26 18:01:54.184349,2026-05-26 18:01:54.186371,no,226f9bb8a71f94876349b966404612bf
TaskF_01_backbone_tissue_inhouse_v1.csv,TrackA_MR/v5_upgrade/06_tissue_integration/TaskF_01_backbone_tissue_inhouse_v1.csv,459,FALSE,666,2026-05-26 18:40:39,2026-05-26 17:51:43.489281,2026-05-26 17:58:00.719969,no,459,FALSE,666,2026-05-26 18:40:39,2026-05-26 17:51:43.489281,2026-05-26 17:58:00.719969,no,cd678a6363eb35ffe866a6bbad28fa85
TaskF_02_genetic_tissue_integration_v1.csv,TrackA_MR/v5_upgrade/06_tissue_integration/TaskF_02_genetic_tissue_integration_v1.csv,500,FALSE,666,2026-05-26 18:40:44,2026-05-26 17:58:34.77524,2026-05-26 17:58:34.77626,no,500,FALSE,666,2026-05-26 18:40:44,2026-05-26 17:58:34.77524,2026-05-26 17:58:34.77626,no,f711e65210323bc731a05e788efc90b6
TaskF_03_directionality_note.md,TrackA_MR/v5_upgrade/06_tissue_integration/TaskF_03_directionality_note.md,5250,FALSE,666,2026-05-26 18:12:23,2026-05-26 17:58:42.247019,2026-05-26 18:13:57.109787,no,5250,FALSE,666,2026-05-26 18:12:23,2026-05-26 17:58:42.247019,2026-05-26 18:13:57.109787,no,9c6c11ae4043b4d5a4829bb7d5df4107
TaskF_03_directionality_note_v0.md,TrackA_MR/v5_upgrade/06_tissue_integration/TaskF_03_directionality_note_v0.md,5416,FALSE,666,2026-05-26 17:58:42,2026-05-26 18:13:44.48188,2026-05-26 18:13:44.482882,no,5416,FALSE,666,2026-05-26 17:58:42,2026-05-26 18:13:44.48188,2026-05-26 18:13:44.482882,no,3759ec4a9d1e0063a4953ebd1aa2cf93
TaskF_03_directionality_note_v1.md,TrackA_MR/v5_upgrade/06_tissue_integration/TaskF_03_directionality_note_v1.md,5250,FALSE,666,2026-05-26 18:12:23,2026-05-26 18:13:57.095989,2026-05-26 18:13:57.101492,no,5250,FALSE,666,2026-05-26 18:12:23,2026-05-26 18:13:57.095989,2026-05-26 18:13:57.101492,no,9c6c11ae4043b4d5a4829bb7d5df4107
taskF_01_tissue_confirm.R,TrackA_MR/v5_upgrade/scripts/taskF_01_tissue_confirm.R,4971,FALSE,666,2026-05-26 18:39:46,2026-05-26 17:51:32.840109,2026-05-26 17:57:40.908159,no,4971,FALSE,666,2026-05-26 18:39:46,2026-05-26 17:51:32.840109,2026-05-26 17:57:40.908159,no,22343f52d09ab456af05c6802b33457b
build_tables.R,build_tables.R,6320,False,33206,2026-05-26 19:17:36,,,False,6320,False,33206,2026-05-26 19:17:36,,,False,f2a58afee84638daa97f5894bd2a5fe2
build_figure2_volcano.R,build_figure2_volcano.R,4166,False,33206,2026-05-26 19:22:03,,,False,4166,False,33206,2026-05-26 19:22:03,,,False,f6fa59bc7e0ab77e5dd2161dd615a13a
build_figure3_composite.R,build_figure3_composite.R,6009,False,33206,2026-05-26 10:15:26,,,False,6009,False,33206,2026-05-26 10:15:26,,,False,bea325f4a387bde03585a2c9166321f4
MAIN_CAPTIONS.md,TrackA_MR/v5_upgrade/07_manuscript/MAIN_CAPTIONS.md,4941,False,33206,2026-05-26 10:15:26,,,False,4941,False,33206,2026-05-26 10:15:26,,,False,14291a6b0f1bba61e1ca7ff097d37b75
MANUSCRIPT_ASSETS_LOCKED.md,TrackA_MR/v5_upgrade/07_manuscript/MANUSCRIPT_ASSETS_LOCKED.md,4955,False,33206,2026-05-26 19:23:20,,,False,4955,False,33206,2026-05-26 19:23:20,,,False,99842383767512bff0180d6dd938cf9d
Table1_VALUES.csv,TrackA_MR/v5_upgrade/07_manuscript/tables/Table1_VALUES.csv,425,False,33206,2026-05-26 19:17:47,,,False,425,False,33206,2026-05-26 19:17:47,,,False,879a58cfdf85c39d3ece905a1918185a
Table1_study_design.html,TrackA_MR/v5_upgrade/07_manuscript/tables/Table1_study_design.html,12274,False,33206,2026-05-26 19:17:44,,,False,12274,False,33206,2026-05-26 19:17:44,,,False,f595d88bc2485c08dd935ba383bc978a
Table1_study_design.png,TrackA_MR/v5_upgrade/07_manuscript/tables/Table1_study_design.png,82986,False,33206,2026-05-26 19:17:47,,,False,82986,False,33206,2026-05-26 19:17:47,,,False,a07958406e016140ed816a386067bfcb
Table2_VALUES.csv,TrackA_MR/v5_upgrade/07_manuscript/tables/Table2_VALUES.csv,568,False,33206,2026-05-26 19:17:48,,,False,568,False,33206,2026-05-26 19:17:48,,,False,923db5eeb5f225e319563e22eac9bb22
Table2_integrated_evidence.html,TrackA_MR/v5_upgrade/07_manuscript/tables/Table2_integrated_evidence.html,13430,False,33206,2026-05-26 19:17:47,,,False,13430,False,33206,2026-05-26 19:17:47,,,False,7b45adcbfe6b49fa47c874bd6a5891dd
Table2_integrated_evidence.png,TrackA_MR/v5_upgrade/07_manuscript/tables/Table2_integrated_evidence.png,92296,False,33206,2026-05-26 19:17:48,,,False,92296,False,33206,2026-05-26 19:17:48,,,False,e948f45ae01fa9d0d6e7080be8574a98
Figure2_MR_volcano.png,TrackA_MR/v5_upgrade/07_manuscript/figures/Figure2_MR_volcano.png,220210,False,33206,2026-05-26 19:22:52,,,False,220210,False,33206,2026-05-26 19:22:52,,,False,ecfa7368a8a20826fe1ae05634bbe919
Figure2_MR_volcano.pdf,TrackA_MR/v5_upgrade/07_manuscript/figures/Figure2_MR_volcano.pdf,129913,False,33206,2026-05-26 19:22:52,,,False,129913,False,33206,2026-05-26 19:22:52,,,False,0e8cd58e099f17b0971041b90794f67c
Figure3_TSHR_vs_IGF1R_composite.png,TrackA_MR/v5_upgrade/07_manuscript/figures/Figure3_TSHR_vs_IGF1R_composite.png,233142,False,33206,2026-05-26 19:18:26,,,False,233142,False,33206,2026-05-26 19:18:26,,,False,b388760c8f7468c1274121c6d4b10d13
Figure3_TSHR_vs_IGF1R_composite.pdf,TrackA_MR/v5_upgrade/07_manuscript/figures/Figure3_TSHR_vs_IGF1R_composite.pdf,9713,False,33206,2026-05-26 19:18:27,,,False,9713,False,33206,2026-05-26 19:18:27,,,False,2892925f9785012e921228e84015df59
