"File","Path","Size_Bytes.size","Size_Bytes.isdir","Size_Bytes.mode","Size_Bytes.mtime","Size_Bytes.ctime","Size_Bytes.atime","Size_Bytes.exe","Modified.size","Modified.isdir","Modified.mode","Modified.mtime","Modified.ctime","Modified.atime","Modified.exe"
"TaskD_01_druggable_gene_master_v1.csv","04_druggable_mr/results/TaskD_01_druggable_gene_master_v1.csv",274630,FALSE,666,2026-05-22 16:20:15.884068,2026-05-22 16:20:15.882559,2026-05-22 16:20:15.884068,"no",274630,FALSE,666,2026-05-22 16:20:15.884068,2026-05-22 16:20:15.882559,2026-05-22 16:20:15.884068,"no"
"TaskD_02_denominator_note.txt","04_druggable_mr/results/TaskD_02_denominator_note.txt",624,FALSE,666,2026-05-23 02:07:16.499388,2026-05-23 02:07:16.497877,2026-05-23 02:07:16.499388,"no",624,FALSE,666,2026-05-23 02:07:16.499388,2026-05-23 02:07:16.497877,2026-05-23 02:07:16.499388,"no"
"TaskD_02a_eqtl_instruments_snp_level_v1.csv","04_druggable_mr/results/TaskD_02a_eqtl_instruments_snp_level_v1.csv",507772,FALSE,666,2026-05-23 02:07:16.492121,2026-05-23 02:07:16.480764,2026-05-23 02:07:16.492121,"no",507772,FALSE,666,2026-05-23 02:07:16.492121,2026-05-23 02:07:16.480764,2026-05-23 02:07:16.492121,"no"
"TaskD_02b_eqtl_instrument_gene_summary_v1.csv","04_druggable_mr/results/TaskD_02b_eqtl_instrument_gene_summary_v1.csv",270178,FALSE,666,2026-05-23 02:07:16.49312,2026-05-23 02:07:16.49312,2026-05-23 02:07:16.49312,"no",270178,FALSE,666,2026-05-23 02:07:16.49312,2026-05-23 02:07:16.49312,2026-05-23 02:07:16.49312,"no"
"TaskD_03_DRYRUN_5gene_v1.csv","04_druggable_mr/results/TaskD_03_DRYRUN_5gene_v1.csv",5476,FALSE,666,2026-05-26 12:08:54.185347,2026-05-26 08:43:32.468077,2026-05-26 12:08:54.185347,"no",5476,FALSE,666,2026-05-26 12:08:54.185347,2026-05-26 08:43:32.468077,2026-05-26 12:08:54.185347,"no"
"TaskD_03a_MR_BBJ_discovery_v1.csv","04_druggable_mr/results/TaskD_03a_MR_BBJ_discovery_v1.csv",786130,FALSE,666,2026-05-26 15:47:45.630257,2026-05-26 15:47:45.625111,2026-05-26 15:47:45.630257,"no",786130,FALSE,666,2026-05-26 15:47:45.630257,2026-05-26 15:47:45.625111,2026-05-26 15:47:45.630257,"no"
"TaskD_03b_MR_UKB_replication_v1.csv","04_druggable_mr/results/TaskD_03b_MR_UKB_replication_v1.csv",1228372,FALSE,666,2026-05-26 15:47:45.644463,2026-05-26 15:47:45.640421,2026-05-26 15:47:45.644463,"no",1228372,FALSE,666,2026-05-26 15:47:45.644463,2026-05-26 15:47:45.640421,2026-05-26 15:47:45.644463,"no"
"TaskD_03c_MR_FinnGen_GO_sensitivity_v1.csv","04_druggable_mr/results/TaskD_03c_MR_FinnGen_GO_sensitivity_v1.csv",1200172,FALSE,666,2026-05-26 15:47:45.653069,2026-05-26 15:47:45.649008,2026-05-26 15:47:45.653069,"no",1200172,FALSE,666,2026-05-26 15:47:45.653069,2026-05-26 15:47:45.649008,2026-05-26 15:47:45.653069,"no"
"TaskD_03d_MR_all_outcomes_merged_v1.csv","04_druggable_mr/results/TaskD_03d_MR_all_outcomes_merged_v1.csv",3214112,FALSE,666,2026-05-26 15:47:45.666025,2026-05-26 15:47:45.654099,2026-05-26 15:47:45.666025,"no",3214112,FALSE,666,2026-05-26 15:47:45.666025,2026-05-26 15:47:45.654099,2026-05-26 15:47:45.666025,"no"
"TaskD_03e_harmonization_qc_v1.csv","04_druggable_mr/results/TaskD_03e_harmonization_qc_v1.csv",584354,FALSE,666,2026-05-26 15:47:45.670256,2026-05-26 15:47:45.668751,2026-05-26 15:47:45.670256,"no",584354,FALSE,666,2026-05-26 15:47:45.670256,2026-05-26 15:47:45.668751,2026-05-26 15:47:45.670256,"no"
"TaskD_04_Hit_Classification_Report_v1.md","04_druggable_mr/results/TaskD_04_Hit_Classification_Report_v1.md",3866,FALSE,666,2026-05-26 16:09:55.507015,2026-05-26 16:09:55.505476,2026-05-26 16:09:55.507015,"no",3866,FALSE,666,2026-05-26 16:09:55.507015,2026-05-26 16:09:55.505476,2026-05-26 16:09:55.507015,"no"
"check_range.R","scripts/check_range.R",320,FALSE,666,2026-05-22 08:27:04.902298,2026-05-22 08:27:04.90127,2026-05-22 08:27:04.902298,"no",320,FALSE,666,2026-05-22 08:27:04.902298,2026-05-22 08:27:04.90127,2026-05-22 08:27:04.902298,"no"
"check_surfsara.R","scripts/check_surfsara.R",987,FALSE,666,2026-05-22 14:39:48.40115,2026-05-22 14:39:48.400116,2026-05-22 14:39:48.40115,"no",987,FALSE,666,2026-05-22 14:39:48.40115,2026-05-22 14:39:48.400116,2026-05-22 14:39:48.40115,"no"
"copy_files.R","scripts/copy_files.R",1454,FALSE,666,2026-05-22 13:38:16.065027,2026-05-22 13:38:16.064507,2026-05-22 13:38:16.065027,"no",1454,FALSE,666,2026-05-22 13:38:16.065027,2026-05-22 13:38:16.064507,2026-05-22 13:38:16.065027,"no"
"download_prereqs.R","scripts/download_prereqs.R",2830,FALSE,666,2026-05-22 13:42:04.660444,2026-05-22 13:42:04.659927,2026-05-22 13:42:04.660444,"no",2830,FALSE,666,2026-05-22 13:42:04.660444,2026-05-22 13:42:04.659927,2026-05-22 13:42:04.660444,"no"
"download_prereqs_v2.R","scripts/download_prereqs_v2.R",3163,FALSE,666,2026-05-22 13:51:42.634537,2026-05-22 13:51:42.633892,2026-05-22 13:51:42.634537,"no",3163,FALSE,666,2026-05-22 13:51:42.634537,2026-05-22 13:51:42.633892,2026-05-22 13:51:42.634537,"no"
"fix_paths.R","scripts/fix_paths.R",1074,FALSE,666,2026-05-22 14:34:27.728893,2026-05-22 14:34:20.047695,2026-05-22 14:34:27.728893,"no",1074,FALSE,666,2026-05-22 14:34:27.728893,2026-05-22 14:34:20.047695,2026-05-22 14:34:27.728893,"no"
"taskA_01_pqtl_check.R","scripts/taskA_01_pqtl_check.R",11771,FALSE,666,2026-05-22 15:02:04.620787,2026-05-22 08:24:36.200352,2026-05-22 15:02:04.620787,"no",11771,FALSE,666,2026-05-22 15:02:04.620787,2026-05-22 08:24:36.200352,2026-05-22 15:02:04.620787,"no"
"taskB_01_locus_extract.R","scripts/taskB_01_locus_extract.R",7769,FALSE,666,2026-05-22 08:27:21.831726,2026-05-22 08:24:36.201359,2026-05-22 08:27:21.831726,"no",7769,FALSE,666,2026-05-22 08:27:21.831726,2026-05-22 08:24:36.201359,2026-05-22 08:27:21.831726,"no"
"taskB_02_ld_clumping.R","scripts/taskB_02_ld_clumping.R",6059,FALSE,666,2026-05-22 14:34:27.740133,2026-05-22 08:24:36.202364,2026-05-22 14:34:27.740133,"no",6059,FALSE,666,2026-05-22 14:34:27.740133,2026-05-22 08:24:36.202364,2026-05-22 14:34:27.740133,"no"
"taskB_03_helper_make_ma.R","scripts/taskB_03_helper_make_ma.R",3791,FALSE,666,2026-05-22 14:34:27.743143,2026-05-22 08:24:36.203871,2026-05-22 14:34:27.743143,"no",3791,FALSE,666,2026-05-22 14:34:27.743143,2026-05-22 08:24:36.203871,2026-05-22 14:34:27.743143,"no"
"taskB_03_helper_parse_cojo.R","scripts/taskB_03_helper_parse_cojo.R",5524,FALSE,666,2026-05-22 15:15:04.001711,2026-05-22 08:24:36.203871,2026-05-22 15:15:04.001711,"no",5524,FALSE,666,2026-05-22 15:15:04.001711,2026-05-22 08:24:36.203871,2026-05-22 15:15:04.001711,"no"
"taskB_04_susie_finemap.R","scripts/taskB_04_susie_finemap.R",9804,FALSE,666,2026-05-22 14:49:54.550455,2026-05-22 08:24:36.204882,2026-05-22 14:49:54.550455,"no",9804,FALSE,666,2026-05-22 14:49:54.550455,2026-05-22 08:24:36.204882,2026-05-22 14:49:54.550455,"no"
"taskB_05_integration.R","scripts/taskB_05_integration.R",8054,FALSE,666,2026-05-22 14:55:16.030872,2026-05-22 08:24:36.206385,2026-05-22 14:55:16.030872,"no",8054,FALSE,666,2026-05-22 14:55:16.030872,2026-05-22 08:24:36.206385,2026-05-22 14:55:16.030872,"no"
"taskD_01_druggable_list.R","scripts/taskD_01_druggable_list.R",5659,FALSE,666,2026-05-22 16:19:55.295229,2026-05-22 15:58:15.469591,2026-05-22 16:19:55.295229,"no",5659,FALSE,666,2026-05-22 16:19:55.295229,2026-05-22 15:58:15.469591,2026-05-22 16:19:55.295229,"no"
"taskD_02_extract_instruments.R","scripts/taskD_02_extract_instruments.R",9576,FALSE,666,2026-05-22 16:43:36.765072,2026-05-22 15:58:11.080284,2026-05-22 16:43:36.765072,"no",9576,FALSE,666,2026-05-22 16:43:36.765072,2026-05-22 15:58:11.080284,2026-05-22 16:43:36.765072,"no"
"taskD_03_mr_3outcomes.R","scripts/taskD_03_mr_3outcomes.R",12057,FALSE,666,2026-05-26 12:12:07.225376,2026-05-22 16:41:46.499889,2026-05-26 12:12:07.225376,"no",12057,FALSE,666,2026-05-26 12:12:07.225376,2026-05-22 16:41:46.499889,2026-05-26 12:12:07.225376,"no"
"test_downloads.R","scripts/test_downloads.R",1214,FALSE,666,2026-05-22 13:47:25.020411,2026-05-22 13:47:25.018814,2026-05-22 13:47:25.020411,"no",1214,FALSE,666,2026-05-22 13:47:25.020411,2026-05-22 13:47:25.018814,2026-05-22 13:47:25.020411,"no"
"update_taskA.R","scripts/update_taskA.R",803,FALSE,666,2026-05-22 16:32:29.143524,2026-05-22 16:29:48.12079,2026-05-22 16:32:29.143524,"no",803,FALSE,666,2026-05-22 16:32:29.143524,2026-05-22 16:29:48.12079,2026-05-22 16:32:29.143524,"no"
