source_id,source_name,version,url,pmid,doi,access_date,local_path,citation,notes
eQTLGen_v1,eQTLGen Consortium cis-eQTL,2019-12-11 release,https://www.eqtlgen.org/cis-eqtls.html,34475573,10.1038/s41588-021-00913-z,TBD_by_Gemini,c:\ProjectTEDGWAS\2019-12-11-cis-eQTLsFDR-ProbeLevel-CohortInfoRemoved-BonferroniAdded.txt.gz,Vosa et al. 2021 Nat Genet 53:1300-1310,Whole blood cis-eQTL n=31684. Native build hg19.
BBJ_Graves_v1,BBJ Graves disease GWAS (cross-ancestry meta),2021,https://pheweb.jp/,34594039,10.1038/s41588-021-00931-x,TBD_by_Gemini,TBD_by_user,Sakaue et al. 2021 Nat Genet 53:1415-1424,EAS Graves disease 2809 cases / 209644 controls. From 220-phenotype cross-population atlas. BBJ n=179000.
UKB_Hyperthyroid_v1,UKB hyperthyroidism GWAS GCST90038636,2021,https://gwas.mrcieu.ac.uk/datasets/ebi-a-GCST90038636/,34594039,10.1038/s41588-021-00931-x,TBD_by_Gemini,TBD_by_user,Sakaue et al. 2021 Nat Genet 53:1415-1424 - UKB hyperthyroid endpoint,EUR ancestry 3731 cases / 480867 controls. Same Sakaue paper UKB arm.
FinnGen_R12_GO_v1,FinnGen R12 Graves ophthalmopathy,R12 release,https://www.finngen.fi/en/access_results,n/a,n/a,TBD_by_Gemini,c:\ProjectTEDGWAS\finngen_R12_GRAVES_OPHT.gz,FinnGen R12 endpoint E4_GRAVES_OPHT_STRICT,858 cases / 376419 controls. Local file already present. TED-specific sensitivity outcome.
UKBPPP_v1,UKB Pharma Proteomics Project Olink Explore 3072,2023 release,https://registry.opendata.aws/ukbppp,37794186,10.1038/s41586-023-06592-6,TBD_by_Gemini,TBD,Sun et al. 2023 Nature 622:329-338,~2923 unique proteins on Olink Explore 3072 in 54219 UKB participants. AWS Open Data Registry.
deCODE_proteomics_v1,deCODE plasma proteomics SOMAscan v4,2021 release,https://www.decode.com/summarydata/,34857953,10.1038/s41588-021-00978-w,TBD_by_Gemini,TBD,Ferkingstad et al. 2021 Nat Genet 53:1712-1721,4907 SOMAscan aptamers in 35559 Icelanders.
Cross_platform_Eldjarn_v1,UKB-PPP and deCODE cross-platform comparison,2023,https://www.nature.com/articles/s41586-023-06563-x,37794188,10.1038/s41586-023-06563-x,TBD_by_Gemini,TBD,Eldjarn et al. 2023 Nature 622:348-358,Reference for interpreting Olink vs SomaScan correlation. Moderate platform agreement; ~half of cis-pQTLs overlap.
GSE58331,Rosenbaum orbital adipose microarray,GSE58331,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE58331,26421828,10.1371/journal.pone.0137654,TBD_by_Gemini,TBD,Rosenbaum et al. 2015 PLoS One 10(9):e0137654,23 TED orbital adipose vs 20 normal. GPL570 Affy U133 Plus 2.0. Used in v5 Figure 3 main panel.
GSE105149,Rosenbaum lacrimal gland microarray,GSE105149,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE105149,28910444,10.1001/jamaophthalmol.2017.3458,TBD_by_Gemini,TBD,Rosenbaum et al. 2017 JAMA Ophthalmol 135(11):1156-1162,4 TED lacrimal vs 7 normal. Cross-compartment supportive.
GTEx_v8,GTEx Portal v8 thyroid eQTL,v8,https://gtexportal.org/,32913098,10.1126/science.aaz1776,TBD_by_Gemini,TBD,GTEx Consortium 2020 Science 369:1318-1330,838 donors 49 tissues. TSHR thyroid eQTL sensitivity reference.
1000G_EUR_reference,1000 Genomes Project Phase 3 EUR LD reference,Phase 3,https://ctg.cncr.nl/software/MAGMA/ref_data/,26432245,10.1038/nature15393,TBD_by_Gemini,TBD,1000 Genomes Project Consortium 2015 Nature 526:68-74,EUR LD reference for clumping and COJO. n=503.
1000G_EAS_reference,1000 Genomes Project Phase 3 EAS LD reference,Phase 3,https://ctg.cncr.nl/software/MAGMA/ref_data/,26432245,10.1038/nature15393,TBD_by_Gemini,TBD,1000 Genomes Project Consortium 2015 Nature 526:68-74,EAS LD reference for BBJ outcome. n=504.
Finan_druggable_2017,Finan et al. druggable genome list,2017,https://www.science.org/doi/10.1126/scitranslmed.aag1166,28356508,10.1126/scitranslmed.aag1166,TBD_by_Gemini,TBD,Finan et al. 2017 Sci Transl Med 9:eaag1166,4479 druggable protein-coding genes. Tier 1/2/3A/3B classification. Base list for v5 Week 2-3 druggable-genome-wide MR.
DGIdb_v5_2024,Drug-Gene Interaction Database 5.0,5.0 (2024),https://www.dgidb.org/,37953380,10.1093/nar/gkad1040,TBD_by_Gemini,TBD,Cannon et al. 2024 Nucleic Acids Res 52(D1):D1227-D1235,DGIdb v5.0. Latest comprehensive drug-gene interaction database. New normalization 88.58% drug / 94.91% gene. To be merged with Finan 2017 list for v5 druggable gene definition.
DGIdb_v4_2021_legacy,Drug-Gene Interaction Database 4.0,4.0 (2021),https://www.dgidb.org/,33237278,10.1093/nar/gkaa1084,TBD_by_Gemini,TBD,Freshour et al. 2021 NAR 49:D1144-D1151,Legacy v4.0 reference if comparison with prior literature needed.
