Gene,Source,Evidence_Type,Reference
TSHR,Manual,GWAS,Known
HLA-DRB1,Manual,GWAS,Known
CTLA4,Manual,GWAS,Known
CD40,Manual,GWAS,Known
PTPN22,Manual,GWAS,Known
ARID5B,Manual,GWAS,Known
TG,Manual,GWAS,Known
FOXP3,Manual,GWAS,Known
CD34,Manual,OF_Marker,Known
THY1,Manual,OF_Marker,Known
SLIT2,Manual,OF_Marker,Known
ROBO1,Manual,OF_Marker,Known
HAS1,Manual,HA_Metabolism,Known
HAS2,Manual,HA_Metabolism,Known
HAS3,Manual,HA_Metabolism,Known
UGDH,Manual,HA_Metabolism,Known
HYAL1,Manual,HA_Metabolism,Known
HYAL2,Manual,HA_Metabolism,Known
PPARG,Manual,Adipogenesis,Known
CEBPA,Manual,Adipogenesis,Known
CEBPB,Manual,Adipogenesis,Known
FABP4,Manual,Adipogenesis,Known
ADIPOQ,Manual,Adipogenesis,Known
DLK1,Manual,Adipogenesis,Known
TGFB1,Manual,Fibrosis,Known
CTGF,Manual,Fibrosis,Known
COL1A1,Manual,Fibrosis,Known
COL3A1,Manual,Fibrosis,Known
FN1,Manual,Fibrosis,Known
MMP2,Manual,Fibrosis,Known
MMP9,Manual,Fibrosis,Known
LOX,Manual,Fibrosis,Known
TIMP1,Manual,Fibrosis,Known
ACTA2,Manual,Fibrosis,Known
IL6,Manual,Inflammation,Known
TNF,Manual,Inflammation,Known
IL1B,Manual,Inflammation,Known
IFNG,Manual,Inflammation,Known
IL17A,Manual,Inflammation,Known
IL4,Manual,Inflammation,Known
IL13,Manual,Inflammation,Known
CXCL8,Manual,Inflammation,Known
CCL2,Manual,Inflammation,Known
CCL5,Manual,Inflammation,Known
CD4,Manual,Immune_Cells,Known
CD8A,Manual,Immune_Cells,Known
CD40LG,Manual,Immune_Cells,Known
ICOS,Manual,Immune_Cells,Known
PDCD1,Manual,Immune_Cells,Known
SOD2,Manual,Oxidative_Stress,Known
NOS2,Manual,Oxidative_Stress,Known
HIF1A,Manual,Oxidative_Stress,Known
NFE2L2,Manual,Oxidative_Stress,Known
CTNNB1,Manual,Wnt_Pathway,Known
SFRP1,Manual,Wnt_Pathway,Known
WNT5A,Manual,Wnt_Pathway,Known
IGF1R,Manual,Signaling,Known
IGF1,Manual,Signaling,Known
ARRB1,Manual,Signaling,Known
