Gene,Source,Evidence_Type,Reference
IGF1R,Manual,Direct,Known
IGF1,Manual,Direct,Known
IGF2,Manual,Direct,Known
IRS1,Manual,Direct,Known
IRS2,Manual,Direct,Known
SHC1,Manual,Direct,Known
GRB2,Manual,Direct,Known
SOS1,Manual,Direct,Known
PIK3CA,Manual,Direct,Known
PIK3CB,Manual,Direct,Known
PIK3R1,Manual,Direct,Known
AKT1,Manual,Direct,Known
AKT2,Manual,Direct,Known
MTOR,Manual,Direct,Known
RPS6KB1,Manual,Direct,Known
KRAS,Manual,Direct,Known
BRAF,Manual,Direct,Known
MAP2K1,Manual,Direct,Known
MAP2K2,Manual,Direct,Known
MAPK1,Manual,Direct,Known
MAPK3,Manual,Direct,Known
JAK1,Manual,Direct,Known
JAK2,Manual,Direct,Known
STAT3,Manual,Direct,Known
STAT5A,Manual,Direct,Known
ARRB1,Manual,Direct,Known
ARRB2,Manual,Direct,Known
HAS1,Manual,TED_shared,Known
HAS2,Manual,TED_shared,Known
HAS3,Manual,TED_shared,Known
PPARG,Manual,TED_shared,Known
CEBPA,Manual,TED_shared,Known
IL6,Manual,TED_shared,Known
CXCL8,Manual,TED_shared,Known
TNF,Manual,TED_shared,Known
IL1B,Manual,TED_shared,Known
