Rank,Term,P-value,Z-score,Combined Score,Overlapping Genes,Adjusted P-value,Old P-value,Old Adjusted P-value
1,CPC018 HEPG2 6H-papaverine hydrochloride-10.0,1.0512322127357134e-05,798.84,9157.072925888271,"['IL1B', 'IGF1R']",0.02168692054873777,0,0
2,CPC006 NCIH1694 6H-bx-795-10.0,6.213851458725652e-05,316.3968253968254,3064.665388668721,"['IL1B', 'IGF1R']",0.031920747159299316,0,0
3,LJP009 PC3 24H-XMD-892-3.33,8.284599327123829e-05,272.9178082191781,2565.025437499164,"['IL1B', 'IGF1']",0.031920747159299316,0,0
4,"CPC006 HCC515 24H-l-690,488-10.0",8.734237745695949e-05,265.61333333333334,2482.3358331058284,"['IL1B', 'IGF1R']",0.031920747159299316,0,0
5,LJP008 HCC515 24H-(+)-JQ1-0.04,0.00014459231219741042,205.1443298969072,1813.8025513292723,"['IGF1', 'IGF1R']",0.031920747159299316,0,0
6,CPC006 MDST8 6H-BRD-K49371609-0.09,0.00015959146051261374,195.0392156862745,1705.2070676522392,"['IL1B', 'IGF1R']",0.031920747159299316,0,0
7,LJP006 MCF10A 3H-A443654-3.33,0.0001785600901861422,184.14814814814815,1589.3063140007469,"['IL1B', 'IGF1R']",0.031920747159299316,0,0
8,CPC002 HCC515 24H-u-0126-10.0,0.000181824286999244,182.44954128440367,1571.3411631112633,"['IL1B', 'IGF1R']",0.031920747159299316,0,0
9,LJP008 PC3 24H-I-BET151-0.12,0.00018844070582833773,179.14414414414415,1536.4704463672817,"['IL1B', 'IGF1']",0.031920747159299316,0,0
10,LJP009 PC3 24H-BI-2536-10,0.00021966582875807412,165.63333333333333,1395.1963378678631,"['IGF1', 'IGF1R']",0.031920747159299316,0,0
11,LJP006 MCF10A 24H-AZD-5438-1.11,0.000272950455124263,148.22388059701493,1216.3578123135405,"['IL1B', 'IGF1R']",0.031920747159299316,0,0
12,CPC016 A549 24H-cucurbitacin i-10.0,0.00029336829388270904,142.85611510791367,1162.0033205710083,"['IL1B', 'IGF1R']",0.031920747159299316,0,0
13,CPC017 NPC 24H-digitoxin-10.0,0.00030596902992034974,139.81690140845072,1131.4020951900786,"['IL1B', 'IGF1R']",0.031920747159299316,0,0
14,LJP009 PC3 24H-XMD-892-10,0.0003636015168011833,128.00645161290322,1013.740952317167,"['IL1B', 'IGF1']",0.031920747159299316,0,0
15,LJP009 PC3 24H-JWE-035-10,0.0003729044372617842,126.36305732484077,997.533777722959,"['IL1B', 'IGF1']",0.031920747159299316,0,0
16,LJP006 LNCAP 24H-XMD-1150-10,0.00048823046235107705,110.08888888888889,839.3972836701254,"['IGF1', 'IGF1R']",0.031920747159299316,0,0
17,LJP008 HCC515 24H-I-BET151-10,0.0005044025015081611,108.26775956284153,821.9835544222173,"['IGF1', 'IGF1R']",0.031920747159299316,0,0
18,CPC006 HCC515 24H-niclosamide-10.0,0.0005375268462646837,104.7989417989418,788.9821714595263,"['IL1B', 'IGF1R']",0.031920747159299316,0,0
19,CPC011 VCAP 24H-levonorgestrel-10.0,0.0005716904815197441,101.54358974358975,758.217132986024,"['IL1B', 'IGF1R']",0.031920747159299316,0,0
20,CPC004 HCC515 24H-geldanamycin-10.0,0.0006309359397081324,96.54146341463415,711.3470656009248,"['IL1B', 'IGF1R']",0.031920747159299316,0,0
21,LJP006 MCF7 24H-radicicol-10,0.0006867172497734811,92.4392523364486,673.2894219144127,"['IGF1', 'IGF1R']",0.031920747159299316,0,0
22,LJP005 MCF7 24H-radicicol-10,0.0007058282187599493,91.14746543778801,661.3786482966684,"['IGF1', 'IGF1R']",0.031920747159299316,0,0
23,CPC006 HCC515 24H-dg-041-40.0,0.0007382538298725524,89.07207207207207,642.3185613857293,"['IL1B', 'IGF1R']",0.031920747159299316,0,0
24,CPC006 A375 6H-abt-751-10.0,0.0009996772392850861,1666.0,11508.858100931304,['IGF1R'],0.031920747159299316,0,0
25,CPC014 MCF7 6H-ct-incb-10.0,0.0009996772392850861,1666.0,11508.858100931304,['IL1B'],0.031920747159299316,0,0
26,CPC006 HCC515 24H-imd 0354-10.0,0.0011996552799307752,69.40845070422536,466.82187657372623,"['IL1B', 'IGF1R']",0.031920747159299316,0,0
