Rank,Term,P-value,Z-score,Combined Score,Overlapping Genes,Adjusted P-value,Old P-value,Old Adjusted P-value
1,LJP006 HME1 3H-OSI-027-3.33,5.5177564413592516e-08,1301.0869565217392,21744.68821897277,"['IL1B', 'IGF1', 'IGF1R']",0.00011145868011545689,0,0
2,LJP005 MCF10A 3H-mitoxantrone-1.11,2.7015923961477764e-05,486.7073170731707,5119.715195247491,"['IL1B', 'IGF1R']",0.01085980756861759,0,0
3,LJP006 HEPG2 24H-palbociclib-3.33,3.095893658502646e-05,453.45454545454544,4708.15000936484,"['IGF1', 'IGF1R']",0.01085980756861759,0,0
4,LJP006 MDAMB231 3H-JW-7-24-1-1.11,3.3736277593922475e-05,433.69565217391306,4465.73672656637,"['IL1B', 'IGF1R']",0.01085980756861759,0,0
5,LJP005 MDAMB231 3H-WZ-3105-1.11,3.66324956178569e-05,415.5833333333333,4245.007066016978,"['IL1B', 'IGF1']",0.01085980756861759,0,0
6,LJP005 A375 24H-BYL719-10,5.8352241306954365e-05,326.8032786885246,3186.0093432709573,"['IL1B', 'IGF1R']",0.01085980756861759,0,0
7,LJP009 HCC515 24H-ON-01910-0.37,5.8352241306954365e-05,326.8032786885246,3186.0093432709573,"['IGF1', 'IGF1R']",0.01085980756861759,0,0
8,LJP006 MCF10A 3H-MK-2206-10,6.213851458725652e-05,316.3968253968254,3064.665388668721,"['IGF1', 'IGF1R']",0.01085980756861759,0,0
9,LJP006 HME1 3H-JW-7-24-1-1.11,6.407608088156329e-05,311.4375,3007.065913385334,"['IL1B', 'IGF1R']",0.01085980756861759,0,0
10,LJP006 HME1 24H-WZ-4-145-0.04,6.604325898644189e-05,306.6307692307692,2951.3826613585425,"['IL1B', 'IGF1R']",0.01085980756861759,0,0
11,LJP006 HME1 3H-WYE-125132-0.04,6.804004293678513e-05,301.969696969697,2897.5243060081402,"['IGF1', 'IGF1R']",0.01085980756861759,0,0
12,LJP006 HME1 24H-WYE-125132-0.12,7.006642678144477e-05,297.44776119402985,2845.4051566222,"['IL1B', 'IGF1R']",0.01085980756861759,0,0
13,LJP006 HME1 24H-sirolimus-1.11,8.064213541052665e-05,276.72222222222223,2608.2423372134276,"['IL1B', 'IGF1R']",0.01085980756861759,0,0
14,LJP005 MCF10A 24H-BYL719-10,8.064213541052665e-05,276.72222222222223,2608.2423372134276,"['IL1B', 'IGF1R']",0.01085980756861759,0,0
15,LJP007 HEPG2 24H-DCC-2036-0.12,8.064213541052665e-05,276.72222222222223,2608.2423372134276,"['IGF1', 'IGF1R']",0.01085980756861759,0,0
16,LJP006 MCF10A 3H-HG-5-88-01-10,8.734237745695949e-05,265.61333333333334,2482.3358331058284,"['IL1B', 'IGF1R']",0.011026975153941136,0,0
17,LJP005 A375 24H-AZD-6482-10,9.668965258161824e-05,252.1139240506329,2330.542164379715,"['IL1B', 'IGF1R']",0.01132361877505584,0,0
18,LJP005 A375 24H-GSK-1059615-10,0.00010154044817667041,245.8641975308642,2260.734409379799,"['IL1B', 'IGF1R']",0.01132361877505584,0,0
19,LJP006 HME1 3H-KIN001-043-3.33,0.00010650928550795097,239.9156626506024,2194.575356085855,"['IL1B', 'IGF1']",0.01132361877505584,0,0
20,LJP006 MDAMB231 24H-BMS-387032-0.37,0.00013879851713065886,209.4842105263158,1860.740817229006,"['IL1B', 'IGF1']",0.014018650230196545,0,0
21,LJP005 MCF10A 24H-WZ-3105-0.12,0.00019517445193881731,175.95575221238937,1502.9466045812414,"['IL1B', 'IGF1R']",0.017630479113659656,0,0
22,LJP006 HME1 24H-AZD-8055-0.12,0.00020202547774519997,172.87826086956522,1470.6955472096774,"['IL1B', 'IGF1R']",0.017630479113659656,0,0
23,LJP006 HME1 24H-AZD-8055-0.37,0.00022328175763850045,164.25619834710744,1380.9143588857514,"['IL1B', 'IGF1R']",0.017630479113659656,0,0
24,LJP006 HME1 24H-HG-5-88-01-10,0.00022328175763850045,164.25619834710744,1380.9143588857514,"['IL1B', 'IGF1R']",0.017630479113659656,0,0
25,LJP006 HME1 24H-OSI-027-10,0.00022328175763850045,164.25619834710744,1380.9143588857514,"['IL1B', 'IGF1R']",0.017630479113659656,0,0
26,LJP006 HME1 24H-OSI-027-1.11,0.00022692695888868865,162.9016393442623,1366.888491870124,"['IL1B', 'IGF1R']",0.017630479113659656,0,0
27,LJP006 HME1 24H-torin-1-0.37,0.000272950455124263,148.22388059701493,1216.3578123135405,"['IL1B', 'IGF1R']",0.020420737753741154,0,0
28,LJP008 PC3 24H-entinostat-10,0.00029336829388270904,142.85611510791367,1162.0033205710083,"['IL1B', 'IGF1R']",0.020888656949612026,0,0
29,LJP006 MDAMB231 24H-A443654-3.33,0.00030173962905218434,140.81560283687944,1141.443682116756,"['IL1B', 'IGF1']",0.020888656949612026,0,0
30,LJP006 HME1 24H-WYE-125132-10,0.0003102275784595846,138.83216783216784,1121.5146298429142,"['IL1B', 'IGF1R']",0.020888656949612026,0,0
31,LJP006 HME1 24H-torin-1-1.11,0.0003589936594012709,128.84415584415584,1022.0183643374388,"['IL1B', 'IGF1R']",0.023245051825171406,0,0
32,LJP006 HME1 24H-torin-1-3.33,0.0003682384447551906,127.17948717948718,1005.5802106234812,"['IL1B', 'IGF1R']",0.023245051825171406,0,0
33,CPC006 A375 6H-pd 98059-10.0,0.0003999583196692972,6665.0,52147.96119705369,['IGF1R'],0.02414373485020132,0,0
34,LJP008 PC3 24H-pracinostat-1.11,0.00040637969549843804,120.92682926829268,944.223604239487,"['IL1B', 'IGF1R']",0.02414373485020132,0,0
35,LJP006 HA1E 24H-mitoxantrone-1.11,0.0006009531587006614,98.98,734.1340231033387,"['IL1B', 'IGF1R']",0.03237098733630562,0,0
36,LJP006 PC3 24H-CGP-60474-0.37,0.0007187123932379675,90.30593607305936,653.638816446872,"['IGF1', 'IGF1R']",0.03237098733630562,0,0
37,LJP005 A549 24H-CGP-60474-3.33,0.0007713962973944469,87.08810572687224,624.1873040571883,"['IL1B', 'IGF1']",0.03237098733630562,0,0
38,CPC001 PC3 24H-ro 60-0175-10.0,0.0007998005910496073,2221.4444444444443,15841.44937936039,['IGF1R'],0.03237098733630562,0,0
39,CPC009 PC3 6H-BRD-K89546934-10.0,0.0009996772392850861,1666.0,11508.858100931304,['IGF1R'],0.03237098733630562,0,0
40,CPC006 A375 6H-r406-10.0,0.0013993412035435105,1110.5555555555557,7298.29760572189,['IGF1R'],0.03237098733630562,0,0
41,LJP007 A549 24H-everolimus-0.04,0.0013993412035435105,1110.5555555555557,7298.29760572189,['IGF1R'],0.03237098733630562,0,0
42,CPC006 A375 6H-necrostatin-1-160.0,0.0019986133767566044,740.2592592592592,4600.934595868677,['IGF1R'],0.03237098733630562,0,0
43,LJP007 A549 24H-GDC-0068-10,0.002198311030839341,666.2,4077.18792037783,['IGF1R'],0.03237098733630562,0,0
44,CPC001 PC3 24H-nsc 693868-10.0,0.0023979788011638326,605.6060606060606,3653.699524747979,['IGF1R'],0.03237098733630562,0,0
45,CPC001 VCAP 6H-sch 58261-10.0,0.002797224668801086,512.3846153846154,3012.3745049521203,['IGF1R'],0.03237098733630562,0,0
46,CPC014 MCF7 6H-BRD-K32927008-10.0,0.0029968027587318545,475.76190476190476,2764.2762463526265,['IGF1R'],0.03237098733630562,0,0
47,CPC018 A375 6H-tomoxetine hydrochloride-10.0,0.0029968027587318545,475.76190476190476,2764.2762463526265,['IGF1R'],0.03237098733630562,0,0
48,CPC012 ASC 24H-BRD-K01614657-10.0,0.0031963509494465996,444.02222222222224,2551.238662207853,['IGF1R'],0.03237098733630562,0,0
