Rank,Term,P-value,Z-score,Combined Score,Overlapping Genes,Adjusted P-value,Old P-value,Old Adjusted P-value
1,LJP005 HCC515 24H-torin-2-0.37,1.4220357644402094e-06,209.8421052631579,2825.192622652705,"['IL6', 'HAS2', 'PPARG']",0.001773278598256941,0,0
2,LJP006 HME1 3H-CGP-60474-10,1.1831049980657975e-05,101.0542372881356,1146.438406214617,"['IL6', 'HAS2', 'TNF']",0.007376659662940247,0,0
3,CPC006 HT29 24H-narciclasine-10.0,7.154740750583378e-05,54.423853211009174,519.4838580390174,"['CEBPA', 'IL6', 'ARRB1']",0.029739872386591575,0,0
4,LJP006 HME1 3H-HG-6-64-01-10,0.0003240717098843516,99.12935323383084,796.4593227197103,"['IL6', 'HAS2']",0.05404566359536801,0,0
5,LJP006 MCF10A 3H-dasatinib-3.33,0.00033353652023114023,97.66666666666667,781.8957168168002,"['IL6', 'HAS2']",0.05404566359536801,0,0
6,LJP006 HA1E 24H-PHA-793887-3.33,0.0003931424461075261,89.72072072072072,703.5305464332449,"['IL6', 'HAS2']",0.05404566359536801,0,0
7,LJP006 HT29 24H-CHIR-99021-10,0.0004035455145886058,88.52,691.8033874523933,"['CEBPA', 'PPARG']",0.05404566359536801,0,0
8,LJP006 HME1 3H-PD-0325901-1.11,0.0004575648751437902,82.96666666666667,637.9798062865145,"['IL6', 'HAS2']",0.05404566359536801,0,0
9,LJP006 HME1 3H-KIN001-043-10,0.0005755910882831092,73.71111111111111,549.893223076455,"['IL6', 'TNF']",0.05404566359536801,0,0
10,LJP006 HT29 24H-BMS-387032-0.12,0.0005755910882831092,73.71111111111111,549.893223076455,"['CEBPA', 'HAS2']",0.05404566359536801,0,0
11,CPC018 SKB 24H-strophanthidin-10.0,0.0006135861820645458,71.3225806451613,527.5153454470864,"['CEBPA', 'IL6']",0.05404566359536801,0,0
12,LJP006 HME1 3H-PD-0325901-10,0.0006660973651765811,68.36769759450172,500.0464475569458,"['IL6', 'HAS2']",0.05404566359536801,0,0
13,LJP009 HT29 24H-ponatinib-10,0.0007630677920775641,63.743589743589745,457.56192080967276,"['CEBPA', 'PPARG']",0.05404566359536801,0,0
14,LJP006 HME1 3H-dasatinib-10,0.0008362746588173516,60.80428134556575,430.8927903267901,"['IL6', 'HAS2']",0.05404566359536801,0,0
15,LJP006 HME1 3H-WZ-4-145-10,0.0008362746588173516,60.80428134556575,430.8927903267901,"['IL6', 'HAS2']",0.05404566359536801,0,0
16,LJP006 HME1 3H-AT-7519-10,0.0008817708468325254,59.166666666666664,416.1533855048973,"['IL6', 'HAS2']",0.05404566359536801,0,0
17,LJP006 HME1 3H-AZD-7762-3.33,0.0008971977706181275,58.640117994100294,411.4328037162224,"['IL6', 'HAS2']",0.05404566359536801,0,0
18,LJP006 HME1 3H-BMS-387032-10,0.0009602109582574733,56.623931623931625,393.44332277917397,"['IL6', 'HAS2']",0.05404566359536801,0,0
19,LJP006 LNCAP 3H-CGP-60474-0.37,0.0009602109582574733,56.623931623931625,393.44332277917397,"['CEBPA', 'HAS2']",0.05404566359536801,0,0
20,CPC017 SKB 24H-digoxin-10.0,0.0009762902262832263,56.14124293785311,389.15709738120336,"['CEBPA', 'IL6']",0.05404566359536801,0,0
21,LJP006 MCF7 3H-AZD-5438-10,0.0010586383756776604,53.84552845528455,368.8834250894531,"['CEBPA', 'HAS2']",0.05404566359536801,0,0
22,LJP005 HCC515 24H-buparlisib-10,0.0010586383756776604,53.84552845528455,368.8834250894531,"['IL6', 'PPARG']",0.05404566359536801,0,0
23,LJP006 HA1E 24H-A443654-0.12,0.0010586383756776604,53.84552845528455,368.8834250894531,"['IL6', 'HAS2']",0.05404566359536801,0,0
24,LJP006 MCF7 3H-CGP-60474-1.11,0.0010586383756776604,53.84552845528455,368.8834250894531,"['CEBPA', 'HAS2']",0.05404566359536801,0,0
25,LJP006 HME1 3H-dasatinib-3.33,0.0010924869820753854,52.97866666666667,361.2773446106595,"['IL6', 'HAS2']",0.05404566359536801,0,0
26,CPC017 SKB 24H-digitoxin-10.0,0.0011268542529908328,52.13910761154855,353.93722724376994,"['CEBPA', 'IL6']",0.05404566359536801,0,0
27,LJP006 HME1 3H-canertinib-10,0.0013064481687192053,48.30900243309002,320.79318407986983,"['IL6', 'HAS2']",0.05778830155435314,0,0
28,LJP006 HME1 3H-AZD-7762-10,0.0013064481687192053,48.30900243309002,320.79318407986983,"['IL6', 'HAS2']",0.05778830155435314,0,0
29,LJP006 HME1 3H-CGP-60474-3.33,0.0013439139896361195,47.60911270983213,314.7995008311823,"['IL6', 'HAS2']",0.05778830155435314,0,0
30,LJP006 HME1 3H-linifanib-10,0.0014010766280144373,46.5962441314554,306.16128922585807,"['IL6', 'TNF']",0.05823808517113345,0,0
31,CPC018 SKB 24H-cymarin-10.0,0.0016620979247651978,42.660215053763444,273.0114974595554,"['CEBPA', 'IL6']",0.0656190840137791,0,0
32,LJP006 HME1 3H-AT-7519-1.11,0.0018115683055966176,40.80246913580247,257.6089325837686,"['IL6', 'HAS2']",0.0656190840137791,0,0
33,LJP006 HME1 3H-CGP-60474-1.11,0.0018334287399551076,40.55010224948875,255.5292038938971,"['IL6', 'HAS2']",0.0656190840137791,0,0
34,CPC006 HA1E 6H-tg101348-11.1,0.002105609594064709,37.74666666666667,232.6383784955949,"['PPARG', 'TNF']",0.0656190840137791,0,0
35,CPC004 HCC515 24H-proscillaridin a-10.0,0.0021527365166767467,37.31638418079096,229.16049170690178,"['CEBPA', 'IL6']",0.0656190840137791,0,0
36,CPC014 A375 6H-hy-10459-10.0,0.002395891036357118,35.303030303030305,213.01848756951705,"['HAS1', 'TNF']",0.0656190840137791,0,0
37,CPC020 MCF7 24H-digoxin-10.0,0.0024966504284859555,34.55671902268761,207.0916880142869,"['CEBPA', 'IL6']",0.0656190840137791,0,0
38,LJP006 HME1 3H-alvocidib-3.33,0.002522151583098621,34.375,205.65335102551873,"['IL6', 'HAS2']",0.0656190840137791,0,0
39,CPC009 A549 6H-BRD-K83670234-10.0,0.0027839903939959804,32.65676567656766,192.14816343516293,"['IL6', 'PPARG']",0.0656190840137791,0,0
40,CPC012 HT29 6H-BRD-K73418978-10.0,0.0031960315919264243,407.85714285714283,2343.4840743955892,['ARRB1'],0.0656190840137791,0,0
41,CPC004 HCC515 24H-ouabain-10.0,0.00337398679315392,29.550074738415546,168.18898456650322,"['CEBPA', 'IL6']",0.0656190840137791,0,0
42,CPC004 HCC515 24H-digoxin-10.0,0.003403429085842103,29.416666666666668,167.17408714461624,"['CEBPA', 'IL6']",0.0656190840137791,0,0
43,CPC017 MCF7 24H-cinobufagin-10.0,0.0034924869486352393,29.023494860499266,164.19000865387758,"['CEBPA', 'IL6']",0.0656190840137791,0,0
44,CPC017 ASC 24H-mg-132-10.0,0.0035524672410490524,28.767103347889375,162.2497112465806,"['CEBPA', 'IL6']",0.0656190840137791,0,0
45,CPC005 HA1E 24H-digitoxigenin-10.0,0.004081859427044101,26.75609756097561,147.19071487197914,"['IL6', 'TNF']",0.0656190840137791,0,0
46,CPC017 MCF7 24H-digoxin-10.0,0.004244190451062779,26.216467463479415,143.19969826528373,"['CEBPA', 'IL6']",0.0656190840137791,0,0
47,CPC020 VCAP 24H-s(-)-timolol-10.0,0.004392244396163033,285.45714285714286,1549.43708775113,['PPARG'],0.0656190840137791,0,0
48,CPC016 NPC 24H-ag 82-10.0,0.005189022379499861,237.85714285714286,1251.416370420653,['CEBPA'],0.0656190840137791,0,0
49,CPC017 MCF7 24H-digitoxin-10.0,0.005649869390810577,22.567010309278352,116.80961773523,"['CEBPA', 'IL6']",0.0656190840137791,0,0
50,CPC007 PC3 6H-BRD-K67941506-10.0,0.0059852428364459065,203.85714285714286,1043.434298452164,['IL6'],0.0656190840137791,0,0
51,LJP006 BT20 3H-BMS-345541-0.37,0.0059852428364459065,203.85714285714286,1043.434298452164,['PPARG'],0.0656190840137791,0,0
52,CPC009 VCAP 6H-cetirizine dihydrochloride-10.0,0.006383144070851652,190.25714285714287,961.5775796687342,['CEBPA'],0.0656190840137791,0,0
53,CPC020 PC3 6H-BRD-K06009608-10.0,0.006383144070851652,190.25714285714287,961.5775796687342,['IL6'],0.0656190840137791,0,0
54,LJP005 BT20 3H-pelitinib-0.37,0.00678090602009761,178.35714285714286,890.6521752159383,['HAS2'],0.0656190840137791,0,0
55,LJP005 MCF7 24H-nilotinib-10,0.007178528720410204,167.85714285714286,828.6537822644398,['IL6'],0.0656190840137791,0,0
56,LJP005 HS578T 3H-GSK-690693-3.33,0.0075760122063041925,158.52380952380952,774.0350338275504,['PPARG'],0.0656190840137791,0,0
57,LJP006 BT20 3H-OSI-027-0.37,0.0075760122063041925,158.52380952380952,774.0350338275504,['HAS2'],0.0656190840137791,0,0
58,CPC018 A375 6H-sib 1893-10.0,0.0079733565142536,150.17293233082708,725.5830081396662,['HAS1'],0.0656190840137791,0,0
59,LJP008 HA1E 24H-UNC0638-10,0.008370561681605555,142.65714285714284,682.3340060288631,['IL6'],0.0656190840137791,0,0
60,LJP007 HEPG2 24H-tivozanib-3.33,0.008370561681605555,142.65714285714284,682.3340060288631,['CEBPA'],0.0656190840137791,0,0
61,CPC012 HA1E 6H-11k-629s-10.0,0.008370561681605555,142.65714285714284,682.3340060288631,['CEBPA'],0.0656190840137791,0,0
62,LJP005 MCF7 24H-XMD16-144-0.37,0.008370561681605555,142.65714285714284,682.3340060288631,['PPARG'],0.0656190840137791,0,0
63,LJP008 MCF7 24H-veliparib-1.11,0.008767627745742801,135.85714285714286,643.5130349149837,['IL6'],0.0656190840137791,0,0
64,LJP006 MCF7 3H-GDC-0941-10,0.009164554745730224,129.67532467532467,608.4900471331728,['CEBPA'],0.0656190840137791,0,0
65,LJP006 HEPG2 24H-AT-7519-0.04,0.009164554745730224,129.67532467532467,608.4900471331728,['CEBPA'],0.0656190840137791,0,0
66,LJP006 MCF7 3H-A443654-0.12,0.009164554745730224,129.67532467532467,608.4900471331728,['CEBPA'],0.0656190840137791,0,0
67,LJP007 HEPG2 24H-everolimus-0.37,0.009164554745730224,129.67532467532467,608.4900471331728,['CEBPA'],0.0656190840137791,0,0
68,CPC005 MCF7 6H-dubinidine-10.0,0.009164554745730224,129.67532467532467,608.4900471331728,['HAS1'],0.0656190840137791,0,0
69,LJP005 MCF7 24H-AZD-8330-0.37,0.009164554745730224,129.67532467532467,608.4900471331728,['PPARG'],0.0656190840137791,0,0
70,LJP005 MCF7 24H-BX-912-10,0.009164554745730224,129.67532467532467,608.4900471331728,['CEBPA'],0.0656190840137791,0,0
71,LJP006 MCF7 3H-A443654-0.37,0.009164554745730224,129.67532467532467,608.4900471331728,['CEBPA'],0.0656190840137791,0,0
72,LJP005 HCC515 24H-PHA-665752-10,0.009561342717827156,124.03105590062111,576.7477724354015,['PPARG'],0.0656190840137791,0,0
73,LJP008 HA1E 24H-methylstat-3.33,0.009561342717827156,124.03105590062111,576.7477724354015,['IL6'],0.0656190840137791,0,0
74,LJP005 SKBR3 3H-buparlisib-3.33,0.009561342717827156,124.03105590062111,576.7477724354015,['HAS2'],0.0656190840137791,0,0
75,CPC019 HT29 6H-BRD-K96076993-10.0,0.009561342717827156,124.03105590062111,576.7477724354015,['IL6'],0.0656190840137791,0,0
76,CPC002 PC3 6H-cymarin-10.0,0.009561342717827156,124.03105590062111,576.7477724354015,['IL6'],0.0656190840137791,0,0
77,LJP008 HEPG2 24H-dasatinib-3.33,0.009561342717827156,124.03105590062111,576.7477724354015,['CEBPA'],0.0656190840137791,0,0
78,LJP009 HEPG2 24H-SB-203580-1.11,0.009561342717827156,124.03105590062111,576.7477724354015,['CEBPA'],0.0656190840137791,0,0
