Rank,Term,P-value,Z-score,Combined Score,Overlapping Genes,Adjusted P-value,Old P-value,Old Adjusted P-value
1,LJP005 HS578T 3H-nilotinib-10,9.259012932333438e-05,190.06666666666666,1765.2114783882112,"['CEBPA', 'IL6']",0.07065056884822421,0,0
2,LJP005 MCF10A 3H-mitoxantrone-3.33,0.0001631010776661564,141.45390070921985,1233.639334007275,"['CEBPA', 'IL6']",0.07065056884822421,0,0
3,LJP005 HEPG2 24H-SB590885-1.11,0.00016986300982591541,138.5,1202.2517804391236,"['CEBPA', 'PPARG']",0.07065056884822421,0,0
4,LJP005 BT20 24H-withaferin-a-3.33,0.00046876897992289884,81.93827160493827,628.0896673919547,"['IL6', 'PPARG']",0.07065056884822421,0,0
5,LJP005 MCF10A 24H-crizotinib-10,0.0007347039673000961,65.0,469.0427888549896,"['CEBPA', 'PPARG']",0.07065056884822421,0,0
6,LJP005 BT20 3H-nilotinib-10,0.0007347039673000961,65.0,469.0427888549896,"['IL6', 'TNF']",0.07065056884822421,0,0
7,LJP005 SKBR3 3H-LDN-193189-3.33,0.0007488201616434291,64.36569579288026,463.2406662079546,"['IL6', 'TNF']",0.07065056884822421,0,0
8,LJP007 HA1E 24H-dinaciclib-0.37,0.0009924997219719256,55.666666666666664,384.9507996212819,"['IL6', 'PPARG']",0.07065056884822421,0,0
9,LJP008 A549 24H-mitoxantrone-10,0.0011268542529908328,52.13910761154855,353.93722724376994,"['CEBPA', 'IL6']",0.07065056884822421,0,0
10,LJP006 HME1 3H-QL-XII-47-3.33,0.0012330616485366672,49.771929824561404,333.3850806557954,"['IL6', 'TNF']",0.07065056884822421,0,0
11,CPC006 A549 6H-curcubitacin i-10.0,0.0015188640882368835,44.693693693693696,290.05279964440666,"['HAS1', 'PPARG']",0.07065056884822421,0,0
12,"CPC006 HEPG2 6H-ingenol 3, 20-dibenzoate-10.0",0.0015591500746101818,44.093333333333334,285.00230560714556,"['HAS1', 'PPARG']",0.07065056884822421,0,0
13,LJP006 MDAMB231 24H-celastrol-3.33,0.0015591500746101818,44.093333333333334,285.00230560714556,"['CEBPA', 'IL6']",0.07065056884822421,0,0
14,CPC006 NCIH2073 6H-curcubitacin i-10.0,0.0016412534852413947,42.93939393939394,275.34006143936904,"['HAS1', 'PPARG']",0.07065056884822421,0,0
15,LJP005 MCF10A 3H-LDN-193189-10,0.00176822768380326,41.31666666666667,261.85584213618347,"['IL6', 'TNF']",0.07065056884822421,0,0
16,LJP006 BT20 24H-mitoxantrone-0.37,0.0018334287399551076,40.55010224948875,255.5292038938971,"['CEBPA', 'IL6']",0.07065056884822421,0,0
17,LJP006 MCF10A 24H-celastrol-3.33,0.001855415818156856,40.300813008130085,253.47786536035218,"['CEBPA', 'IL6']",0.07065056884822421,0,0
18,LJP008 A375 24H-mocetinostat-10,0.0019446289871887304,39.333333333333336,245.54557350634758,"['CEBPA', 'IL6']",0.07065056884822421,0,0
19,LJP005 MCF10A 24H-LDN-193189-3.33,0.0019672480994032482,39.09861932938856,243.62817388799616,"['IL6', 'PPARG']",0.07065056884822421,0,0
20,CPC019 HEPG2 6H-BRD-K91145395-10.0,0.002058985464212148,38.1868978805395,236.2066572757307,"['HAS1', 'PPARG']",0.07065056884822421,0,0
21,LJP006 A549 24H-mitoxantrone-10,0.002248496226181967,36.484346224677715,222.46306870429467,"['CEBPA', 'IL6']",0.07065056884822421,0,0
22,LJP006 BT20 3H-selumetinib-0.12,0.002397858969227747,571.0571428571428,3445.2899826083253,['CEBPA'],0.07065056884822421,0,0
23,LJP005 HS578T 24H-withaferin-a-10,0.002547777103680094,34.19516407599309,204.23178090119762,"['IL6', 'PPARG']",0.07065056884822421,0,0
24,LJP006 A549 24H-celastrol-3.33,0.002625399081853126,33.666666666666664,200.0649195648365,"['CEBPA', 'IL6']",0.07065056884822421,0,0
25,LJP006 LNCAP 24H-celastrol-3.33,0.0026777674677022855,33.323232323232325,197.36590289038227,"['CEBPA', 'IL6']",0.07065056884822421,0,0
