Rank,Term,P-value,Z-score,Combined Score,Overlapping Genes,Adjusted P-value,Old P-value,Old Adjusted P-value
1,LJP006 LNCAP 3H-WYE-125132-0.12,6.084403864684326e-06,1479.2592592592594,17765.580935738268,"['FABP4', 'ADIPOQ']",0.002003041540301704,0,0
2,LJP006 HME1 3H-BI-2536-0.12,7.432436142121351e-06,1331.1333333333334,15720.22791997129,"['FABP4', 'ADIPOQ']",0.002003041540301704,0,0
3,LJP009 HA1E 24H-dabrafenib-10,1.3526351288293768e-05,973.4634146341464,10913.372597064745,"['FABP4', 'ADIPOQ']",0.002033205330376012,0,0
4,LJP008 HT29 24H-CX-5461-10,1.6190543832870734e-05,886.7555555555556,9781.874311549509,"['FABP4', 'ADIPOQ']",0.002033205330376012,0,0
5,LJP005 BT20 24H-SB590885-10,1.9093637390518517e-05,814.204081632653,8847.26807778433,"['FABP4', 'ADIPOQ']",0.002033205330376012,0,0
6,LJP005 HCC515 24H-PIK-93-3.33,2.561614466815671e-05,699.6491228070175,7396.891853258425,"['FABP4', 'ADIPOQ']",0.002033205330376012,0,0
7,LJP006 MDAMB231 3H-THZ-2-98-01-10,2.830819651680155e-05,664.5666666666667,6959.580822872518,"['FABP4', 'ADIPOQ']",0.002033205330376012,0,0
8,LJP005 MCF10A 3H-NVP-AUY922-3.33,3.0177444606694054e-05,643.0645161290323,6693.282857207068,"['FABP4', 'ADIPOQ']",0.002033205330376012,0,0
9,LJP007 PC3 24H-tanespimycin-10,4.152375826331664e-05,545.8630136986301,5507.345575890424,"['FABP4', 'ADIPOQ']",0.0020559781224331795,0,0
10,LJP005 MCF10A 3H-radicicol-1.11,4.378034510024077e-05,531.2533333333333,5331.831420546913,"['FABP4', 'ADIPOQ']",0.0020559781224331795,0,0
11,LJP005 SKBR3 24H-geldanamycin-0.04,4.493096888169805e-05,524.2368421052631,5247.811714182106,"['FABP4', 'ADIPOQ']",0.0020559781224331795,0,0
12,LJP006 MCF10A 3H-geldanamycin-3.33,4.7276869704343406e-05,510.7435897435897,5086.745365444516,"['FABP4', 'ADIPOQ']",0.0020559781224331795,0,0
13,LJP006 LNCAP 24H-BI-2536-0.37,5.0907331593975564e-05,491.75308641975306,4861.226908870382,"['FABP4', 'ADIPOQ']",0.0020559781224331795,0,0
14,LJP008 A375 24H-I-BET151-0.37,5.340202915410856e-05,479.855421686747,4720.655357966782,"['FABP4', 'ADIPOQ']",0.0020559781224331795,0,0
15,LJP005 SKBR3 3H-TG-101348-3.33,8.161940220777009e-05,386.29126213592235,3636.3309907873154,"['FABP4', 'ADIPOQ']",0.002687641558248852,0,0
16,LJP006 HS578T 24H-radicicol-1.11,8.318623739974671e-05,382.5576923076923,3593.9109409484317,"['FABP4', 'ADIPOQ']",0.002687641558248852,0,0
17,LJP008 HT29 24H-azacitidine-10,8.476791556629031e-05,378.8952380952381,3552.367709085901,"['FABP4', 'ADIPOQ']",0.002687641558248852,0,0
18,LJP006 SKBR3 24H-WZ-4-145-10,9.456960297262452e-05,358.3063063063063,3320.1287426267386,"['FABP4', 'ADIPOQ']",0.002831834222346923,0,0
19,LJP006 SKBR3 24H-CHIR-99021-10,0.00012331707297803986,312.9133858267717,2816.4556864304986,"['FABP4', 'ADIPOQ']",0.0034983106492191304,0,0
20,LJP006 HME1 24H-geldanamycin-0.12,0.00019941027450811173,244.87654320987653,2086.3839428892074,"['FABP4', 'ADIPOQ']",0.005374106897993611,0,0
21,LJP005 BT20 3H-NVP-AUY922-0.04,0.001049661432299498,1665.9166666666667,11427.001554688255,['FABP4'],0.016227775065112863,0,0
22,LJP008 A549 24H-NPK76-II-72-1-10,0.0013494318923464072,1249.3125,8255.5464452602,['ADIPOQ'],0.016227775065112863,0,0
23,LJP007 A549 24H-PHA-767491-3.33,0.0014992947695318503,1110.4444444444443,7220.954198683598,['FABP4'],0.016227775065112863,0,0
24,LJP006 MDAMB231 3H-celastrol-3.33,0.0022483852857590027,713.6785714285714,4351.685756891909,['FABP4'],0.016227775065112863,0,0
25,LJP005 BT20 3H-geldanamycin-0.12,0.0023981585785517907,666.0666666666667,4018.4162309154813,['FABP4'],0.016227775065112863,0,0
26,LJP005 BT20 3H-NVP-AUY922-0.12,0.0023981585785517907,666.0666666666667,4018.4162309154813,['FABP4'],0.016227775065112863,0,0
27,LJP006 LNCAP 3H-geldanamycin-0.12,0.0026976603266888493,587.6470588235294,3476.150033460634,['FABP4'],0.016227775065112863,0,0
28,LJP005 BT20 3H-PF-477736-10,0.0026976603266888493,587.6470588235294,3476.150033460634,['FABP4'],0.016227775065112863,0,0
29,LJP005 HS578T 3H-GSK-690693-3.33,0.002847388777574066,554.9722222222222,3252.888056951129,['FABP4'],0.016227775065112863,0,0
30,LJP005 HS578T 3H-NVP-AUY922-0.04,0.0029971022769704784,525.7368421052631,3054.5885497256336,['FABP4'],0.016227775065112863,0,0
31,LJP006 BT20 3H-NVP-TAE684-10,0.0029971022769704784,525.7368421052631,3054.5885497256336,['FABP4'],0.016227775065112863,0,0
32,LJP005 BT20 3H-NVP-AUY922-3.33,0.0029971022769704784,525.7368421052631,3054.5885497256336,['FABP4'],0.016227775065112863,0,0
33,LJP009 PC3 24H-KIN001-055-1.11,0.0031468008242819096,499.425,2877.3716896348615,['FABP4'],0.016227775065112863,0,0
34,LJP006 MCF7 24H-HG-6-64-01-10,0.0031468008242819096,499.425,2877.3716896348615,['FABP4'],0.016227775065112863,0,0
35,LJP005 HS578T 3H-NVP-AUY922-1.11,0.0032964844175520022,475.6190476190476,2718.114679972292,['FABP4'],0.016227775065112863,0,0
36,LJP007 PC3 24H-tivozanib-10,0.0032964844175520022,475.6190476190476,2718.114679972292,['FABP4'],0.016227775065112863,0,0
37,LJP005 BT20 3H-erlotinib-3.33,0.0034461530563075866,453.97727272727275,2574.27663877793,['FABP4'],0.016227775065112863,0,0
38,LJP009 MCF7 24H-KIN001-055-0.37,0.0034461530563075866,453.97727272727275,2574.27663877793,['FABP4'],0.016227775065112863,0,0
39,LJP006 MCF7 3H-GSK-1059615-10,0.0034461530563075866,453.97727272727275,2574.27663877793,['FABP4'],0.016227775065112863,0,0
40,LJP007 HA1E 24H-AST1306-3.33,0.0035958067387344135,434.2173913043478,2443.7697931466887,['FABP4'],0.016227775065112863,0,0
41,LJP006 BT20 3H-PHA-793887-3.33,0.0035958067387344135,434.2173913043478,2443.7697931466887,['FABP4'],0.016227775065112863,0,0
42,LJP005 BT20 3H-LDN-193189-10,0.0035958067387344135,434.2173913043478,2443.7697931466887,['FABP4'],0.016227775065112863,0,0
43,LJP005 BT20 3H-LDN-193189-0.37,0.0035958067387344135,434.2173913043478,2443.7697931466887,['FABP4'],0.016227775065112863,0,0
44,LJP008 MCF7 24H-UNC0638-0.12,0.0035958067387344135,434.2173913043478,2443.7697931466887,['FABP4'],0.016227775065112863,0,0
45,LJP006 HS578T 3H-geldanamycin-0.12,0.0035958067387344135,434.2173913043478,2443.7697931466887,['FABP4'],0.016227775065112863,0,0
46,LJP006 MCF7 24H-PD-0325901-10,0.0035958067387344135,434.2173913043478,2443.7697931466887,['FABP4'],0.016227775065112863,0,0
47,LJP005 HCC515 24H-TGX-221-0.37,0.0037454454654532016,416.1041666666667,2324.8633249285726,['FABP4'],0.016227775065112863,0,0
48,LJP006 LNCAP 3H-geldanamycin-10,0.0037454454654532016,416.1041666666667,2324.8633249285726,['FABP4'],0.016227775065112863,0,0
49,LJP006 PC3 24H-AZD-7762-3.33,0.0037454454654532016,416.1041666666667,2324.8633249285726,['FABP4'],0.016227775065112863,0,0
50,LJP006 LNCAP 3H-WYE-125132-0.37,0.003895069234369013,399.44,2216.1106253087632,['FABP4'],0.016227775065112863,0,0
51,LJP006 LNCAP 3H-withaferin-a-1.11,0.003895069234369013,399.44,2216.1106253087632,['FABP4'],0.016227775065112863,0,0
52,LJP005 BT20 3H-mitoxantrone-0.12,0.003895069234369013,399.44,2216.1106253087632,['FABP4'],0.016227775065112863,0,0
53,LJP005 SKBR3 24H-CYT387-3.33,0.003895069234369013,399.44,2216.1106253087632,['FABP4'],0.016227775065112863,0,0
54,LJP005 SKBR3 24H-dovitinib-3.33,0.004044678046227062,384.0576923076923,2116.2935816693675,['FABP4'],0.016227775065112863,0,0
55,LJP005 SKBR3 3H-AS-601245-0.37,0.004044678046227062,384.0576923076923,2116.2935816693675,['FABP4'],0.016227775065112863,0,0
56,LJP006 HCC515 24H-BMS-387032-0.12,0.004044678046227062,384.0576923076923,2116.2935816693675,['FABP4'],0.016227775065112863,0,0
57,LJP007 PC3 24H-ALW-II-49-7-10,0.004044678046227062,384.0576923076923,2116.2935816693675,['FABP4'],0.016227775065112863,0,0
58,LJP007 PC3 24H-sutent-3.33,0.004044678046227062,384.0576923076923,2116.2935816693675,['FABP4'],0.016227775065112863,0,0
59,LJP006 SKBR3 3H-withaferin-a-0.37,0.004194271900919973,369.81481481481484,2024.379431258311,['FABP4'],0.016227775065112863,0,0
60,LJP006 MCF7 24H-HG-5-88-01-3.33,0.004194271900919973,369.81481481481484,2024.379431258311,['FABP4'],0.016227775065112863,0,0
61,LJP006 MCF7 3H-MK-2206-10,0.00434385079686094,356.5892857142857,1939.4870011141588,['FABP4'],0.016227775065112863,0,0
62,LJP005 HCC515 24H-CYT387-10,0.00434385079686094,356.5892857142857,1939.4870011141588,['FABP4'],0.016227775065112863,0,0
63,LJP006 LNCAP 3H-OSI-027-0.04,0.00434385079686094,356.5892857142857,1939.4870011141588,['FABP4'],0.016227775065112863,0,0
64,LJP009 A375 24H-KIN001-260;-10,0.00434385079686094,356.5892857142857,1939.4870011141588,['FABP4'],0.016227775065112863,0,0
