Rank,Term,P-value,Z-score,Combined Score,Overlapping Genes,Adjusted P-value,Old P-value,Old Adjusted P-value
1,LJP005 MCF7 24H-YM-201636-3.33,4.4964492309455275e-06,1736.8695652173913,21384.724596795186,"['FABP4', 'ADIPOQ']",0.0020456146264428206,0,0
2,LJP006 MCF7 24H-HG-5-88-01-10,8.915051928328421e-06,1209.939393939394,14068.896359724004,"['FABP4', 'ADIPOQ']",0.0020456146264428206,0,0
3,LJP007 HA1E 24H-BIX-02189-3.33,1.289764264982172e-05,997.85,11234.26030171181,"['FABP4', 'ADIPOQ']",0.0020456146264428206,0,0
4,LJP009 MCF7 24H-sirolimus-10,1.550209498802395e-05,906.9545454545455,10044.100204095928,"['FABP4', 'ADIPOQ']",0.0020456146264428206,0,0
5,LJP009 MCF7 24H-ALW-II-38-3-0.37,1.7612233966572682e-05,848.936170212766,9293.23361165719,"['FABP4', 'ADIPOQ']",0.0020456146264428206,0,0
6,LJP006 MCF10A 3H-JW-7-24-1-1.11,1.7612233966572682e-05,848.936170212766,9293.23361165719,"['FABP4', 'ADIPOQ']",0.0020456146264428206,0,0
7,LJP009 A375 24H-PF-3758309-0.37,1.9093637390518517e-05,814.204081632653,8847.26807778433,"['FABP4', 'ADIPOQ']",0.0020456146264428206,0,0
8,LJP007 A549 24H-dinaciclib-10,1.985672784850136e-05,797.88,8638.620967589939,"['FABP4', 'ADIPOQ']",0.0020456146264428206,0,0
9,LJP007 HA1E 24H-GSK-1059615-0.12,2.1427678773293076e-05,767.1153846153846,8247.1248435323,"['FABP4', 'ADIPOQ']",0.0020456146264428206,0,0
10,LJP008 PC3 24H-decitabine-3.33,2.223553625089906e-05,752.6037735849056,8063.260471080951,"['FABP4', 'ADIPOQ']",0.0020456146264428206,0,0
11,LJP007 MCF7 24H-SB-525334-3.33,2.3896007749647264e-05,725.1636363636363,7717.045771054736,"['FABP4', 'ADIPOQ']",0.0020456146264428206,0,0
12,LJP005 HEPG2 24H-linsitinib-1.11,2.6498583919701545e-05,687.551724137931,7245.708334233761,"['FABP4', 'ADIPOQ']",0.0020456146264428206,0,0
13,LJP006 PC3 24H-QL-X-138-3.33,3.4094799344218043e-05,603.969696969697,6212.653173060806,"['FABP4', 'ADIPOQ']",0.0020456146264428206,0,0
14,LJP008 HEPG2 24H-mocetinostat-0.37,3.825055232969356e-05,569.3428571428572,5790.986926267435,"['FABP4', 'ADIPOQ']",0.0020456146264428206,0,0
15,LJP006 MCF7 24H-NVP-TAE684-10,3.825055232969356e-05,569.3428571428572,5790.986926267435,"['FABP4', 'ADIPOQ']",0.0020456146264428206,0,0
16,LJP008 HEPG2 24H-mocetinostat-0.04,4.041779821754755e-05,553.4722222222222,5599.058010484021,"['FABP4', 'ADIPOQ']",0.0020456146264428206,0,0
17,LJP006 MCF10A 3H-QL-XII-47-3.33,4.264460772896206e-05,538.4594594594595,5418.307392068358,"['FABP4', 'ADIPOQ']",0.0020456146264428206,0,0
18,LJP006 SKBR3 3H-GSK-2126458-3.33,4.378034510024077e-05,531.2533333333333,5331.831420546913,"['FABP4', 'ADIPOQ']",0.0020456146264428206,0,0
19,LJP006 HA1E 24H-GDC-0941-0.37,4.378034510024077e-05,531.2533333333333,5331.831420546913,"['FABP4', 'ADIPOQ']",0.0020456146264428206,0,0
20,LJP009 MCF7 24H-PF-3758309-1.11,4.7276869704343406e-05,510.7435897435897,5086.745365444516,"['FABP4', 'ADIPOQ']",0.0020456146264428206,0,0
21,LJP008 HEPG2 24H-sirolimus-10,4.847214374373583e-05,504.253164556962,5009.513794214779,"['FABP4', 'ADIPOQ']",0.0020456146264428206,0,0
22,LJP007 MCF7 24H-pazopanib-10,4.847214374373583e-05,504.253164556962,5009.513794214779,"['FABP4', 'ADIPOQ']",0.0020456146264428206,0,0
23,LJP007 HA1E 24H-AZD4547-10,4.96822982135004e-05,497.925,4934.367967174708,"['FABP4', 'ADIPOQ']",0.0020456146264428206,0,0
24,LJP005 HS578T 24H-WZ-3105-3.33,6.536427952109822e-05,432.7173913043478,4169.463410390574,"['FABP4', 'ADIPOQ']",0.0025791655294366677,0,0
25,LJP006 MCF10A 24H-OSI-027-0.12,8.006741147426652e-05,390.0980392156863,3679.655006315536,"['FABP4', 'ADIPOQ']",0.0030329535466452158,0,0
26,LJP009 HA1E 24H-CGP-60474-3.33,9.289889847012991e-05,361.58181818181816,3356.9251550271506,"['FABP4', 'ADIPOQ']",0.0031583145598381044,0,0
27,LJP008 HA1E 24H-CGP-60474-0.37,9.625513996271163e-05,355.0892857142857,3284.046164983631,"['FABP4', 'ADIPOQ']",0.0031583145598381044,0,0
28,LJP005 HA1E 24H-GSK-1059615-1.11,9.625513996271163e-05,355.0892857142857,3284.046164983631,"['FABP4', 'ADIPOQ']",0.0031583145598381044,0,0
29,LJP006 BT20 24H-AZD-5438-10,0.0001049052595911315,339.8290598290598,3113.667756340163,"['FABP4', 'ADIPOQ']",0.0031583145598381044,0,0
30,LJP007 HA1E 24H-dinaciclib-0.37,0.00010846908233814793,334.0840336134454,3049.8683039246866,"['FABP4', 'ADIPOQ']",0.0031583145598381044,0,0
31,LJP005 HS578T 24H-CGP-60474-0.37,0.00011392596638677496,325.8196721311475,2958.4301565012893,"['FABP4', 'ADIPOQ']",0.0031583145598381044,0,0
32,LJP006 MCF10A 24H-BMS-387032-3.33,0.00011951619436298228,317.952,2871.761120816879,"['FABP4', 'ADIPOQ']",0.0031583145598381044,0,0
