Rank,Term,P-value,Z-score,Combined Score,Overlapping Genes,Adjusted P-value,Old P-value,Old Adjusted P-value
1,regulation of cell adhesion molecule production (GO:0060353),1.0794527804927066e-06,2855.5714285714284,39232.85671138207,"['CXCL8', 'IL1B']",0.00021710124250730792,0,0
2,insulin-like growth factor receptor signaling pathway (GO:0048009),1.6489530189998619e-06,2220.777777777778,29570.477810865817,"['IGF1', 'IGF1R']",0.00021710124250730792,0,0
3,regulation of cell population proliferation (GO:0042127),2.1131604644789074e-06,76944.0,1005452.3225623844,"['CXCL8', 'IL1B', 'IGF1', 'IGF1R']",0.00021710124250730792,0,0
4,regulation of MAPK cascade (GO:0043408),2.2324035219260454e-06,365.02453987730064,4749.856908721465,"['IL1B', 'IGF1', 'IGF1R']",0.00021710124250730792,0,0
5,positive regulation of cellular biosynthetic process (GO:0031328),2.848748774852791e-06,335.91525423728814,4289.177823301377,"['CXCL8', 'IL1B', 'IGF1']",0.00022163265468354713,0,0
6,regulation of neuroinflammatory response (GO:0150077),5.124080440206225e-06,1175.235294117647,14316.19863281264,"['IL1B', 'IGF1']",0.00029346046589820337,0,0
7,positive regulation of cell motility (GO:2000147),5.2807795919985185e-06,272.1743119266055,3307.308955714915,"['IL1B', 'IGF1', 'IGF1R']",0.00029346046589820337,0,0
8,positive regulation of phosphorylation (GO:0042327),7.927019177044291e-06,236.952,2783.0565647155395,"['IL1B', 'IGF1', 'IGF1R']",0.0003407744422951604,0,0
9,protein kinase B signaling (GO:0043491),8.267732298134542e-06,907.9090909090909,10625.396544866984,"['IL1B', 'IGF1']",0.0003407744422951604,0,0
10,positive regulation of cell migration (GO:0030335),9.529084587248965e-06,222.5187969924812,2572.5758380045163,"['IL1B', 'IGF1', 'IGF1R']",0.0003407744422951604,0,0
11,negative regulation of cell development (GO:0010721),9.734272886653031e-06,832.1666666666666,9603.08484325714,"['IL1B', 'IGF1']",0.0003407744422951604,0,0
