Rank,Term,P-value,Z-score,Combined Score,Overlapping Genes,Adjusted P-value,Old P-value,Old Adjusted P-value
1,Transcriptional misregulation in cancer,3.459401841265484e-06,314.3968253968254,3953.3561138627433,"['CXCL8', 'IGF1', 'IGF1R']",0.0002802115491425042,0,0
2,MAPK signaling pathway,1.244057325689666e-05,203.1443298969072,2294.4232610244944,"['IL1B', 'IGF1', 'IGF1R']",0.0005038432169043147,0,0
3,Malaria,3.66324956178569e-05,415.5833333333333,4245.007066016978,"['CXCL8', 'IL1B']",0.0006155670619772245,0,0
4,Ovarian steroidogenesis,3.8125168581861895e-05,407.0816326530612,4141.907394321997,"['IGF1', 'IGF1R']",0.0006155670619772245,0,0
5,Legionellosis,4.7704725543026005e-05,362.56363636363636,3607.682247528292,"['CXCL8', 'IL1B']",0.0006155670619772245,0,0
6,Long-term depression,5.289506914983997e-05,343.7586206896552,3385.060038922896,"['IGF1', 'IGF1R']",0.0006155670619772245,0,0
7,Pathways in cancer,7.297189287944264e-05,110.61363636363636,1053.6431382449018,"['CXCL8', 'IGF1', 'IGF1R']",0.0006155670619772245,0,0
8,Melanoma,7.632311792468519e-05,284.65714285714284,2698.7019142965614,"['IGF1', 'IGF1R']",0.0006155670619772245,0,0
9,Glioma,8.284599327123829e-05,272.9178082191781,2565.025437499164,"['IGF1', 'IGF1R']",0.0006155670619772245,0,0
10,Pertussis,8.507940928313934e-05,269.2162162162162,2523.0743246594466,"['CXCL8', 'IL1B']",0.0006155670619772245,0,0
11,Rheumatoid arthritis,0.00012756409906586723,218.73626373626374,1961.384361958338,"['CXCL8', 'IL1B']",0.0006155670619772245,0,0
12,IL-17 signaling pathway,0.00013032854218989194,216.34782608695653,1935.3291039529583,"['CXCL8', 'IL1B']",0.0006155670619772245,0,0
13,Prostate cancer,0.00013879851713065886,209.4842105263158,1860.740817229006,"['IGF1', 'IGF1R']",0.0006155670619772245,0,0
14,Inflammatory mediator regulation of TRP channels,0.0001416807041241792,207.29166666666666,1837.005192022513,"['IL1B', 'IGF1']",0.0006155670619772245,0,0
15,AGE-RAGE signaling pathway in diabetic complications,0.00014753333541886297,203.0408163265306,1791.1157096356244,"['CXCL8', 'IL1B']",0.0006155670619772245,0,0
16,Progesterone-mediated oocyte maturation,0.00014753333541886297,203.0408163265306,1791.1157096356244,"['IGF1', 'IGF1R']",0.0006155670619772245,0,0
17,Amoebiasis,0.0001535036034265559,198.96,1747.2242452474318,"['CXCL8', 'IL1B']",0.0006155670619772245,0,0
18,Longevity regulating pathway,0.0001535036034265559,198.96,1747.2242452474318,"['IGF1', 'IGF1R']",0.0006155670619772245,0,0
19,Chagas disease,0.0001535036034265559,198.96,1747.2242452474318,"['CXCL8', 'IL1B']",0.0006155670619772245,0,0
20,Toll-like receptor signaling pathway,0.00015959146051261374,195.0392156862745,1705.2070676522392,"['CXCL8', 'IL1B']",0.0006155670619772245,0,0
21,NF-kappa B signaling pathway,0.00015959146051261374,195.0392156862745,1705.2070676522392,"['CXCL8', 'IL1B']",0.0006155670619772245,0,0
22,HIF-1 signaling pathway,0.00017532524303600028,185.8785046728972,1607.638609565469,"['IGF1', 'IGF1R']",0.0006455156675416374,0,0
