Rank,Term,P-value,Z-score,Combined Score,Overlapping Genes,Adjusted P-value,Old P-value,Old Adjusted P-value
1,hyaluronan biosynthetic process (GO:0030213),1.4688281257060127e-09,2998.2,60979.79300073654,"['HAS1', 'HAS3', 'HAS2']",8.07855469138307e-07,0,0
2,negative regulation of lipid storage (GO:0010888),4.7728239303791916e-08,705.0,11884.70852967154,"['IL6', 'PPARG', 'TNF']",1.0582502964660299e-05,0,0
3,hyaluronan metabolic process (GO:0030212),7.410502797066537e-08,599.16,9836.878534594127,"['HAS1', 'HAS3', 'HAS2']",1.0582502964660299e-05,0,0
4,extracellular matrix assembly (GO:0085029),8.467574531021557e-08,570.6,9291.899544656286,"['HAS1', 'HAS3', 'HAS2']",1.0582502964660299e-05,0,0
5,cellular polysaccharide biosynthetic process (GO:0033692),9.620457240600272e-08,544.6363636363636,8799.574781875119,"['HAS1', 'HAS3', 'HAS2']",1.0582502964660299e-05,0,0
6,positive regulation of leukocyte cell-cell adhesion (GO:1903039),1.878074917829953e-07,427.8,6625.701536373512,"['IL6', 'HAS2', 'TNF']",1.721568674677457e-05,0,0
7,regulation of inflammatory response (GO:0050727),7.40839537423581e-07,97.97029702970298,1382.8979430749253,"['CEBPA', 'IL6', 'PPARG', 'TNF']",5.274494570009152e-05,0,0
8,regulation of smooth muscle cell proliferation (GO:0048660),7.671992101831494e-07,260.16521739130434,3663.2613758169728,"['IL6', 'PPARG', 'TNF']",5.274494570009152e-05,0,0
9,"positive regulation of transcription, DNA-templated (GO:0045893)",1.068341794411768e-06,47.956669498725574,659.3755676303099,"['CEBPA', 'IL6', 'HAS3', 'ARRB1', 'PPARG', 'TNF']",6.528755410294137e-05,0,0
10,positive regulation of glial cell proliferation (GO:0060252),1.3991087462114677e-06,2221.0,29938.358472423224,"['IL6', 'TNF']",7.695098104163073e-05,0,0
