Rank,Term,P-value,Z-score,Combined Score,Overlapping Genes,Adjusted P-value,Old P-value,Old Adjusted P-value
1,Non-alcoholic fatty liver disease,2.3709598821305547e-07,131.39735099337747,2004.4404103541917,"['CEBPA', 'IL6', 'PPARG', 'TNF']",2.2287022892027214e-05,0,0
2,Transcriptional misregulation in cancer,4.707568169450221e-05,62.86666666666667,626.3880016235561,"['CEBPA', 'IL6', 'PPARG']",0.0020656870891689037,0,0
3,Lipid and atherosclerosis,6.592618369687991e-05,55.9811320754717,538.928951722855,"['IL6', 'PPARG', 'TNF']",0.0020656870891689037,0,0
4,African trypanosomiasis,9.259012932333438e-05,190.06666666666666,1765.2114783882112,"['IL6', 'TNF']",0.002175868039098358,0,0
5,Graft-versus-host disease,0.00011958039723947946,166.26666666666668,1501.6409967738412,"['IL6', 'TNF']",0.002248111468102214,0,0
6,Malaria,0.00016986300982591541,138.5,1202.2517804391236,"['IL6', 'TNF']",0.0026611871539393415,0,0
7,Legionellosis,0.0002209978321123756,120.83030303030303,1017.0718774900829,"['IL6', 'TNF']",0.0029676851740804725,0,0
8,Inflammatory bowel disease,0.0002875569288187182,105.44444444444444,859.8034587933385,"['IL6', 'TNF']",0.0033787939136199385,0,0
9,Pertussis,0.0003931424461075261,89.72072072072072,703.5305464332449,"['IL6', 'TNF']",0.003634851206642581,0,0
10,Hypertrophic cardiomyopathy,0.0005509233346307726,75.39393939393939,565.7497049687215,"['IL6', 'TNF']",0.003634851206642581,0,0
11,Rheumatoid arthritis,0.0005881237389662702,72.8974358974359,542.2529124166269,"['IL6', 'TNF']",0.003634851206642581,0,0
12,IL-17 signaling pathway,0.0006007887973136999,72.10144927536231,534.7957078587294,"['IL6', 'TNF']",0.003634851206642581,0,0
13,Hematopoietic cell lineage,0.0006660973651765811,68.36769759450172,500.0464475569458,"['IL6', 'TNF']",0.003634851206642581,0,0
14,AGE-RAGE signaling pathway in diabetic complications,0.0006795551666861537,67.66666666666667,493.5655481733249,"['IL6', 'TNF']",0.003634851206642581,0,0
15,Viral protein interaction with cytokine and cytokine receptor,0.0006795551666861537,67.66666666666667,493.5655481733249,"['IL6', 'TNF']",0.003634851206642581,0,0
16,Amoebiasis,0.0007068662099163871,66.30666666666667,481.03292886084796,"['IL6', 'TNF']",0.003634851206642581,0,0
17,Chagas disease,0.0007068662099163871,66.30666666666667,481.03292886084796,"['IL6', 'TNF']",0.003634851206642581,0,0
18,Toll-like receptor signaling pathway,0.0007347039673000961,65.0,469.0427888549896,"['IL6', 'TNF']",0.003634851206642581,0,0
19,C-type lectin receptor signaling pathway,0.0007347039673000961,65.0,469.0427888549896,"['IL6', 'TNF']",0.003634851206642581,0,0
20,Insulin resistance,0.0007919570379448901,62.534591194968556,446.5597291313328,"['IL6', 'TNF']",0.003722198078340984,0,0
21,TNF signaling pathway,0.0008513092103094032,60.24848484848485,425.88058234303134,"['IL6', 'TNF']",0.003810622179480186,0,0
22,Pathways in cancer,0.0009433238650896315,22.118181818181817,154.0774861163434,"['CEBPA', 'IL6', 'PPARG']",0.004030565605382971,0,0
23,Osteoclast differentiation,0.0010924869820753854,52.97866666666667,361.2773446106595,"['PPARG', 'TNF']",0.004464946796308097,0,0
24,Yersinia infection,0.0012694971757935126,49.02962962962963,326.9851886743162,"['IL6', 'TNF']",0.0049721972718579244,0,0
25,Hepatitis B,0.00176822768380326,41.31666666666667,261.85584213618347,"['IL6', 'TNF']",0.006648536091100257,0,0
26,Influenza A,0.0019899933818838833,38.86666666666667,241.73605147611414,"['IL6', 'TNF']",0.0071945914575801935,0,0
27,Tuberculosis,0.0021764883287988903,37.10486891385768,227.45442560133193,"['IL6', 'TNF']",0.007386941669684455,0,0
28,NOD-like receptor signaling pathway,0.002200365603735795,36.89571694599628,225.76975296298892,"['IL6', 'TNF']",0.007386941669684455,0,0
29,Pathogenic Escherichia coli infection,0.0025994009309190567,33.84102564102564,201.43783445575303,"['IL6', 'TNF']",0.008425644396772115,0,0
30,Epstein-Barr virus infection,0.002730631445843234,32.986666666666665,194.72762949170337,"['IL6', 'TNF']",0.008555978530308801,0,0
31,Human T-cell leukemia virus 1 infection,0.0031998968919553323,30.376344086021504,174.5010607737707,"['IL6', 'TNF']",0.009702913156251653,0,0
32,Human cytomegalovirus infection,0.00337398679315392,29.550074738415546,168.18898456650322,"['IL6', 'TNF']",0.00991108620488964,0,0
33,Coronavirus disease,0.0035826396715068296,28.640579710144927,161.29387572345155,"['IL6', 'TNF']",0.01020509482186794,0,0
34,Salmonella infection,0.0041140855531755435,26.64642375168691,146.377830607865,"['IL6', 'TNF']",0.01137423652936768,0,0
35,Prion disease,0.0049233718822437635,24.257072570725708,128.89630175650373,"['IL6', 'TNF']",0.013222770198026106,0,0
36,MAPK signaling pathway,0.005687425463822789,22.488584474885844,116.25468347150861,"['ARRB1', 'TNF']",0.014544844181558306,0,0
37,Cytokine-cytokine receptor interaction,0.005725098241677206,22.410693970420933,115.70407261089278,"['IL6', 'TNF']",0.014544844181558306,0,0
38,Alzheimer disease,0.008831494822236488,17.82470481380563,84.3007113278211,"['IL6', 'TNF']",0.021846329297111312,0,0
39,Asthma,0.012334969042911155,95.05714285714286,417.8062796500496,['TNF'],0.029730438205990986,0,0
40,Pathways of neurodegeneration,0.014334343106155873,13.755461592670896,58.39326881179783,"['IL6', 'TNF']",0.0336857062994663,0,0
41,Thyroid cancer,0.014706952762456068,79.19047619047619,334.1390605677817,['PPARG'],0.03371837950416757,0,0
42,Allograft rejection,0.015101798500668919,77.04633204633204,323.0507581480842,['TNF'],0.03379926331102091,0,0
43,Herpes simplex virus 1 infection,0.015684912317698068,13.102150537634408,54.44016956534489,"['IL6', 'TNF']",0.03428794785729345,0,0
44,Type I diabetes mellitus,0.017073951550447674,67.85714285714286,276.1922295799092,['TNF'],0.03647616922141094,0,0
45,Type II diabetes mellitus,0.018255584335152574,63.32380952380952,253.50320962011816,['TNF'],0.03813388727787427,0,0
46,Intestinal immune network for IgA production,0.019042648937520508,60.62310030395137,240.13259456270143,['IL6'],0.03891323913319408,0,0
47,Hedgehog signaling pathway,0.022185389719098877,51.784415584415584,197.21169430337935,['ARRB1'],0.044370779438197755,0,0
48,Cytosolic DNA-sensing pathway,0.02492805820599394,45.92165898617512,169.5318022982446,['IL6'],0.048571752962564295,0,0
49,GnRH secretion,0.025319318033677134,45.19047619047619,166.12866893112047,['ARRB1'],0.048571752962564295,0,0
50,Acute myeloid leukemia,0.026492273471440286,43.12987012987013,156.6003384261292,['CEBPA'],0.04906444168342458,0,0
51,Fc epsilon RI signaling pathway,0.026882984076400464,42.48400852878465,153.63329523076956,['TNF'],0.04906444168342458,0,0
52,Adipocytokine signaling pathway,0.027273557473830964,41.857142857142854,150.7626325151401,['TNF'],0.04906444168342458,0,0
53,RIG-I-like receptor signaling pathway,0.02766399371512237,41.24844720496895,147.9839017165653,['TNF'],0.04906444168342458,0,0
54,PPAR signaling pathway,0.02922436787889263,38.980430528375734,137.70820955371116,['PPARG'],0.050872047789183465,0,0
55,Leishmaniasis,0.03039321031347104,37.43609022556391,130.78433041717327,['TNF'],0.051670710169669405,0,0
56,Antigen processing and presentation,0.030782550739377516,36.94805194805195,128.6090483496386,['TNF'],0.051670710169669405,0,0
57,Morphine addiction,0.03583154305979738,31.590476190476192,105.16237910185853,['ARRB1'],0.059090614870543054,0,0
58,TGF-beta signaling pathway,0.03699342162417383,30.566820276497698,100.7792703363177,['TNF'],0.05995485573573,0,0
59,Dilated cardiomyopathy,0.03776732657425956,29.9203007518797,98.02820827717792,['TNF'],0.0601716728471254,0,0
60,Longevity regulating pathway,0.04008577742562173,28.134370579915135,90.5007775576607,['PPARG'],0.061708186824518514,0,0
61,T cell receptor signaling pathway,0.04085750745521912,27.58529819694868,88.20853410483198,['TNF'],0.061708186824518514,0,0
62,NF-kappa B signaling pathway,0.04085750745521912,27.58529819694868,88.20853410483198,['TNF'],0.061708186824518514,0,0
63,"Parathyroid hormone synthesis, secretion and action",0.041628694578224525,27.057142857142857,86.01372572734715,['ARRB1'],0.061708186824518514,0,0
64,Th17 cell differentiation,0.04201408464648069,26.80053908355795,84.9510186277944,['IL6'],0.061708186824518514,0,0
65,HIF-1 signaling pathway,0.042784458007287904,26.3015873015873,82.89156631877408,['IL6'],0.06187290850284712,0,0
66,Toxoplasmosis,0.04393900172534527,25.586872586872587,79.95777249377652,['TNF'],0.06257979033609781,0,0
67,Sphingolipid signaling pathway,0.04662819989389979,24.06053268765133,73.75876051746786,['TNF'],0.06498694184966726,0,0
