Rank,Term,P-value,Z-score,Combined Score,Overlapping Genes,Adjusted P-value,Old P-value,Old Adjusted P-value
1,positive regulation of cold-induced thermogenesis (GO:0120162),1.1058305972194629e-07,59709.0,956388.8434119695,"['FABP4', 'ADIPOQ', 'TSHR']",1.475107885237486e-05,0,0
2,positive regulation of metabolic process (GO:0009893),1.7560808157589119e-07,59661.0,928027.5192752781,"['FABP4', 'ADIPOQ', 'TSHR']",1.475107885237486e-05,0,0
3,positive regulation of multicellular organismal process (GO:0051240),5.0888078559420545e-06,58965.0,718692.9547570329,"['FABP4', 'ADIPOQ', 'TSHR']",0.00028497323993275503,0,0
4,cellular response to peptide hormone stimulus (GO:0071375),8.318623739974671e-05,382.5576923076923,3593.9109409484317,"['ADIPOQ', 'TSHR']",0.003493821970789362,0,0
5,negative regulation of inflammatory response (GO:0050728),0.00033314773096784355,188.44761904761904,1508.8858635388108,"['ADIPOQ', 'TSHR']",0.011193763760519544,0,0
6,positive regulation of cAMP-dependent protein kinase activity (GO:2000481),0.0007498314718703743,2499.125,17982.858997820545,['ADIPOQ'],0.011289564528835557,0,0
7,negative regulation of macrophage differentiation (GO:0045650),0.0007498314718703743,2499.125,17982.858997820545,['ADIPOQ'],0.011289564528835557,0,0
8,negative regulation of intracellular transport (GO:0032387),0.001049661432299498,1665.9166666666667,11427.001554688255,['ADIPOQ'],0.011289564528835557,0,0
9,regulation of glycogen (starch) synthase activity (GO:2000465),0.001049661432299498,1665.9166666666667,11427.001554688255,['ADIPOQ'],0.011289564528835557,0,0
10,negative regulation of low-density lipoprotein receptor activity (GO:1905598),0.001049661432299498,1665.9166666666667,11427.001554688255,['ADIPOQ'],0.011289564528835557,0,0
11,brown fat cell differentiation (GO:0050873),0.0011995541091196305,1427.857142857143,9603.48923469958,['ADIPOQ'],0.011289564528835557,0,0
12,positive regulation of monocyte chemotactic protein-1 production (GO:0071639),0.0011995541091196305,1427.857142857143,9603.48923469958,['ADIPOQ'],0.011289564528835557,0,0
13,positive regulation of myeloid cell apoptotic process (GO:0033034),0.0011995541091196305,1427.857142857143,9603.48923469958,['ADIPOQ'],0.011289564528835557,0,0
14,positive regulation of protein kinase A signaling (GO:0010739),0.0013494318923464072,1249.3125,8255.5464452602,['ADIPOQ'],0.011289564528835557,0,0
15,regulation of receptor binding (GO:1900120),0.0014992947695318503,1110.4444444444443,7220.954198683598,['ADIPOQ'],0.011289564528835557,0,0
16,regulation of cell-cell adhesion involved in gastrulation (GO:0070587),0.0014992947695318503,1110.4444444444443,7220.954198683598,['ADIPOQ'],0.011289564528835557,0,0
17,regulation of granulocyte differentiation (GO:0030852),0.0014992947695318503,1110.4444444444443,7220.954198683598,['ADIPOQ'],0.011289564528835557,0,0
18,negative regulation of protein autophosphorylation (GO:0031953),0.0014992947695318503,1110.4444444444443,7220.954198683598,['ADIPOQ'],0.011289564528835557,0,0
19,negative regulation of heterotypic cell-cell adhesion (GO:0034115),0.0014992947695318503,1110.4444444444443,7220.954198683598,['ADIPOQ'],0.011289564528835557,0,0
20,negative regulation of receptor binding (GO:1900121),0.0014992947695318503,1110.4444444444443,7220.954198683598,['ADIPOQ'],0.011289564528835557,0,0
21,regulation of monocyte chemotactic protein-1 production (GO:0071637),0.0016491427308511233,999.35,6403.334808352065,['ADIPOQ'],0.011289564528835557,0,0
22,negative regulation of platelet-derived growth factor receptor signaling pathway (GO:0010642),0.0016491427308511233,999.35,6403.334808352065,['ADIPOQ'],0.011289564528835557,0,0
23,regulation of vascular associated smooth muscle cell migration (GO:1904752),0.0017989757687595922,908.4545454545455,5741.921288120221,['ADIPOQ'],0.011289564528835557,0,0
24,positive regulation of transporter activity (GO:0032411),0.001948793877001376,832.7083333333334,5196.553511599695,['ADIPOQ'],0.011289564528835557,0,0
25,negative regulation of macrophage derived foam cell differentiation (GO:0010745),0.001948793877001376,832.7083333333334,5196.553511599695,['ADIPOQ'],0.011289564528835557,0,0
26,lipid oxidation (GO:0034440),0.001948793877001376,832.7083333333334,5196.553511599695,['ADIPOQ'],0.011289564528835557,0,0
27,positive regulation of lipid transport (GO:0032370),0.001948793877001376,832.7083333333334,5196.553511599695,['ADIPOQ'],0.011289564528835557,0,0
28,regulation of platelet-derived growth factor receptor signaling pathway (GO:0010640),0.001948793877001376,832.7083333333334,5196.553511599695,['ADIPOQ'],0.011289564528835557,0,0
29,negative regulation of gluconeogenesis (GO:0045721),0.001948793877001376,832.7083333333334,5196.553511599695,['ADIPOQ'],0.011289564528835557,0,0
30,regulation of cAMP-dependent protein kinase activity (GO:2000479),0.0020985970505495682,768.6153846153846,4739.656184381286,['ADIPOQ'],0.011330173372093168,0,0
31,negative regulation of smooth muscle cell migration (GO:0014912),0.0020985970505495682,768.6153846153846,4739.656184381286,['ADIPOQ'],0.011330173372093168,0,0
32,negative regulation of blood pressure (GO:0045776),0.0022483852857590027,713.6785714285714,4351.685756891909,['ADIPOQ'],0.011330173372093168,0,0
33,regulation of macrophage differentiation (GO:0045649),0.0022483852857590027,713.6785714285714,4351.685756891909,['ADIPOQ'],0.011330173372093168,0,0
34,regulation of cellular carbohydrate metabolic process (GO:0010675),0.0023981585785517907,666.0666666666667,4018.4162309154813,['ADIPOQ'],0.011330173372093168,0,0
35,positive regulation of small molecule metabolic process (GO:0062013),0.0023981585785517907,666.0666666666667,4018.4162309154813,['ADIPOQ'],0.011330173372093168,0,0
36,negative regulation of vascular associated smooth muscle cell proliferation (GO:1904706),0.0025479169262706313,624.40625,3729.2533063250903,['ADIPOQ'],0.011330173372093168,0,0
37,negative regulation of phagocytosis (GO:0050765),0.0025479169262706313,624.40625,3729.2533063250903,['ADIPOQ'],0.011330173372093168,0,0
38,regulation of fatty acid metabolic process (GO:0019217),0.0026976603266888493,587.6470588235294,3476.150033460634,['ADIPOQ'],0.011330173372093168,0,0
39,positive regulation of fatty acid metabolic process (GO:0045923),0.0026976603266888493,587.6470588235294,3476.150033460634,['ADIPOQ'],0.011330173372093168,0,0
40,negative regulation of tumor necrosis factor-mediated signaling pathway (GO:0010804),0.0026976603266888493,587.6470588235294,3476.150033460634,['ADIPOQ'],0.011330173372093168,0,0
41,fatty acid transport (GO:0015908),0.0029971022769704784,525.7368421052631,3054.5885497256336,['FABP4'],0.011350128067689496,0,0
42,regulation of protein kinase A signaling (GO:0010738),0.0029971022769704784,525.7368421052631,3054.5885497256336,['ADIPOQ'],0.011350128067689496,0,0
43,negative regulation of cell communication (GO:0010648),0.0031468008242819096,499.425,2877.3716896348615,['ADIPOQ'],0.011350128067689496,0,0
44,negative regulation of small molecule metabolic process (GO:0062014),0.0032964844175520022,475.6190476190476,2718.114679972292,['ADIPOQ'],0.011350128067689496,0,0
