Gene,Tissue
IQSEC2,Cochlea
TIMM8A,Cochlea
ENPP1,Cochlea
ATP1B1,Cochlea
JMJD1C,Cochlea
LIG4,Cochlea
NLRP12,Cochlea
ERCC2,Cochlea
PDE6A,Cochlea
EPB41L4B,Cochlea
EP300,Cochlea
SERAC1,Cochlea
FADD,Cochlea
GUCY2D,Cochlea
IMPAD1,Cochlea
FLNB,Cochlea
SRP72,Cochlea
GIPC1,Cochlea
CISD2,Cochlea
STAMBP,Cochlea
DAB1,Cochlea
TOR1A,Cochlea
SOD2,Cochlea
TWNK,Cochlea
NOS3,Cochlea
TOPORS,Cochlea
SCO1,Cochlea
FGFR3,Cochlea
TECTA,Cochlea
TFF1,Cochlea
DYT13,Cochlea
NRL,Cochlea
GRIP1,Cochlea
LARS,Cochlea
GTF2E2,Cochlea
SLC12A2,Cochlea
ND5,Cochlea
NDUFAF5,Cochlea
MYO7A,Cochlea
GJB2,Cochlea
COX6B1,Cochlea
PCDH15,Cochlea
COL11A1,Cochlea
LARS2,Cochlea
PAX2,Cochlea
MECP2,Cochlea
COL9A2,Cochlea
STXBP1,Cochlea
NOTCH2,Cochlea
TCIRG1,Cochlea
SNX10,Cochlea
SLC6A8,Cochlea
MCTP2,Cochlea
GBA,Cochlea
SERPINB6,Cochlea
KCNE5,Cochlea
CHST14,Cochlea
ARID1B,Cochlea
DHCR7,Cochlea
KCNQ3,Cochlea
DBH,Cochlea
PHYH,Cochlea
TRMU,Cochlea
ARHGEF18,Cochlea
SDHA,Cochlea
SNAP29,Cochlea
MIR10A,Cochlea
IMMT,Cochlea
DFNB65,Cochlea
BCOR,Cochlea
HIVEP1,Cochlea
RDH12,Cochlea
MAP3K20,Cochlea
RFC2,Cochlea
ALX3,Cochlea
PEX14,Cochlea
WFS1,Cochlea
CDHR1,Cochlea
FOXI1,Cochlea
PDZD7,Cochlea
OPA1,Cochlea
FTO,Cochlea
TMPRSS3,Cochlea
NELFA,Cochlea
FRG1,Cochlea
DACT1,Cochlea
NAGA,Cochlea
TCOF1,Cochlea
CCDC50,Cochlea
DIABLO,Cochlea
S1PR2,Cochlea
TMEM132E,Cochlea
NDUFAF6,Cochlea
TBL1Y,Cochlea
ATRX,Cochlea
TTR,Cochlea
FSCN2,Cochlea
CIB1,Cochlea
MIR532,Cochlea
PDGFRB,Cochlea
CLDN14,Cochlea
ZBTB20,Cochlea
PEX19,Cochlea
PTGDS,Cochlea
KMT2A,Cochlea
ERCC8,Cochlea
TWIST2,Cochlea
RGR,Cochlea
RRM2B,Cochlea
SOX9,Cochlea
USH1E,Cochlea
SC5D,Cochlea
COA5,Cochlea
MCM2,Cochlea
NIPBL,Cochlea
MTR,Cochlea
ARID2,Cochlea
CEACAM16,Cochlea
NARS2,Cochlea
TGFB1,Cochlea
KYNU,Cochlea
MPV17,Cochlea
CHD4,Cochlea
LRP2,Cochlea
PDE4D,Cochlea
SERGEF,Cochlea
PHC1,Cochlea
RMND1,Cochlea
PTH1R,Cochlea
NDUFAF1,Cochlea
RFT1,Cochlea
ZAN,Cochlea
POLR1C,Cochlea
LONP1,Cochlea
OPA5,Cochlea
TSR2,Cochlea
RAF1,Cochlea
HOXA11,Cochlea
COL2A1,Cochlea
TPRN,Cochlea
FREM2,Cochlea
GRXCR2,Cochlea
ATP8,Cochlea
MAMLD1,Cochlea
COL1A2,Cochlea
MYH6,Cochlea
SLC26A4,Cochlea
DCHS1,Cochlea
DMBX1,Cochlea
NFKB1,Cochlea
XYLT2,Cochlea
GPSM2,Cochlea
CSTB,Cochlea
COL11A2,Cochlea
APOPT1,Cochlea
NDUFA11,Cochlea
SALL4,Cochlea
HGSNAT,Cochlea
COL9A1,Cochlea
CIB2,Cochlea
TALDO1,Cochlea
GATA3,Cochlea
PQBP1,Cochlea
CTSA,Cochlea
DMP1,Cochlea
PEX5,Cochlea
ACTG1,Cochlea
RAP1B,Cochlea
OFD1,Cochlea
BDNF,Cochlea
MYO1A,Cochlea
ACVR1,Cochlea
GATA2,Cochlea
FMR1,Cochlea
MAP3K7,Cochlea
USH2A,Cochlea
LARS2-AS1,Cochlea
TGFB3,Cochlea
SMARCE1,Cochlea
MAFB,Cochlea
USH1G,Cochlea
IDS,Cochlea
KIZ,Cochlea
SOX11,Cochlea
CHST3,Cochlea
FGFR1,Cochlea
GAS8,Cochlea
SEMA3D,Cochlea
PORCN,Cochlea
KCNQ2,Cochlea
HDAC8,Cochlea
FOXRED1,Cochlea
SPECC1L,Cochlea
MBTPS2,Cochlea
CACNA1C,Cochlea
MLXIPL,Cochlea
TULP1,Cochlea
TBX15,Cochlea
MTNR1B,Cochlea
ABHD5,Cochlea
SLC26A2,Cochlea
RIPOR2,Cochlea
FMO3,Cochlea
ABCA12,Cochlea
