Gene,Pathway
ITGA9,IGF1R_Expanded
EGFR,IGF1R_Expanded
PPP2R1B,IGF1R_Expanded
PPP2R2D,IGF1R_Expanded
NTRK2,IGF1R_Expanded
RAC1,IGF1R_Expanded
CREB3L3,IGF1R_Expanded
NOS3,IGF1R_Expanded
COMP,IGF1R_Expanded
FGFR3,IGF1R_Expanded
PPP2R5E,IGF1R_Expanded
PTK2,IGF1R_Expanded
EIF4B,IGF1R_Expanded
COL9A2,IGF1R_Expanded
INS,IGF1R_Expanded
VWF,IGF1R_Expanded
COL4A2,IGF1R_Expanded
GNB3,IGF1R_Expanded
HRAS,IGF1R_Expanded
FGF21,IGF1R_Expanded
PPP2R5D,IGF1R_Expanded
GNB5,IGF1R_Expanded
KDR,IGF1R_Expanded
IFNA21,IGF1R_Expanded
LAMB1,IGF1R_Expanded
PCK2,IGF1R_Expanded
G6PC1,IGF1R_Expanded
CHRM2,IGF1R_Expanded
IL4R,IGF1R_Expanded
IL6,IGF1R_Expanded
FGF20,IGF1R_Expanded
CHUK,IGF1R_Expanded
CSF3R,IGF1R_Expanded
CCNE2,IGF1R_Expanded
FGF4,IGF1R_Expanded
PIK3R2,IGF1R_Expanded
PDGFRB,IGF1R_Expanded
YWHAH,IGF1R_Expanded
BCL2,IGF1R_Expanded
CASP9,IGF1R_Expanded
VTN,IGF1R_Expanded
PPP2R3C,IGF1R_Expanded
CHAD,IGF1R_Expanded
IKBKB,IGF1R_Expanded
PRKCA,IGF1R_Expanded
CDC37,IGF1R_Expanded
EFNA2,IGF1R_Expanded
ITGA2,IGF1R_Expanded
RAF1,IGF1R_Expanded
COL2A1,IGF1R_Expanded
HSP90B1,IGF1R_Expanded
COL1A2,IGF1R_Expanded
RXRA,IGF1R_Expanded
COL6A6,IGF1R_Expanded
IL6R,IGF1R_Expanded
IFNA13,IGF1R_Expanded
PHLPP1,IGF1R_Expanded
NFKB1,IGF1R_Expanded
FGF19,IGF1R_Expanded
PKN1,IGF1R_Expanded
FGF6,IGF1R_Expanded
RPS6KB2,IGF1R_Expanded
IFNA16,IGF1R_Expanded
ITGB1,IGF1R_Expanded
ANGPT1,IGF1R_Expanded
COL9A1,IGF1R_Expanded
MTOR,IGF1R_Expanded
BDNF,IGF1R_Expanded
GNG12,IGF1R_Expanded
CREB3L2,IGF1R_Expanded
FN1,IGF1R_Expanded
CSF3,IGF1R_Expanded
STAT3,IGF1R_Expanded
FGFR1,IGF1R_Expanded
ATF2,IGF1R_Expanded
ITGA5,IGF1R_Expanded
OSMR,IGF1R_Expanded
EFNA3,IGF1R_Expanded
GNG3,IGF1R_Expanded
MCL1,IGF1R_Expanded
CDK4,IGF1R_Expanded
BCL2L11,IGF1R_Expanded
GSK3B,IGF1R_Expanded
FLT1,IGF1R_Expanded
PRLR,IGF1R_Expanded
PDGFRA,IGF1R_Expanded
ITGA11,IGF1R_Expanded
PRKAA1,IGF1R_Expanded
NTF3,IGF1R_Expanded
IFNA4,IGF1R_Expanded
PPP2R5B,IGF1R_Expanded
COL4A6,IGF1R_Expanded
MAPK1,IGF1R_Expanded
HSP90AA1,IGF1R_Expanded
IL7,IGF1R_Expanded
COL1A1,IGF1R_Expanded
PGF,IGF1R_Expanded
ITGA3,IGF1R_Expanded
MAGI1,IGF1R_Expanded
COL4A1,IGF1R_Expanded
LAMC3,IGF1R_Expanded
COL6A1,IGF1R_Expanded
F2R,IGF1R_Expanded
BAD,IGF1R_Expanded
FGF16,IGF1R_Expanded
PPP2R5C,IGF1R_Expanded
FOXO3,IGF1R_Expanded
IGF1R,IGF1R_Expanded
EGF,IGF1R_Expanded
PIK3R3,IGF1R_Expanded
RPTOR,IGF1R_Expanded
ATF6B,IGF1R_Expanded
FGF2,IGF1R_Expanded
CSH1,IGF1R_Expanded
STAT5A,IGF1R_Expanded
GNGT2,IGF1R_Expanded
ITGB7,IGF1R_Expanded
SOS1,IGF1R_Expanded
COL6A3,IGF1R_Expanded
GNB2,IGF1R_Expanded
EFNA1,IGF1R_Expanded
MAPK3,IGF1R_Expanded
ERBB2,IGF1R_Expanded
EPHA2,IGF1R_Expanded
LAMA1,IGF1R_Expanded
NR4A1,IGF1R_Expanded
G6PC3,IGF1R_Expanded
PCK1,IGF1R_Expanded
FGFR2,IGF1R_Expanded
CDKN1B,IGF1R_Expanded
RPS6KB1,IGF1R_Expanded
CCND3,IGF1R_Expanded
PPP2R2B,IGF1R_Expanded
FGFR4,IGF1R_Expanded
ITGA10,IGF1R_Expanded
ITGAV,IGF1R_Expanded
ITGB3,IGF1R_Expanded
JAK1,IGF1R_Expanded
PPP2CB,IGF1R_Expanded
LAMB2,IGF1R_Expanded
CREB1,IGF1R_Expanded
JAK3,IGF1R_Expanded
LAMC1,IGF1R_Expanded
ITGB4,IGF1R_Expanded
GNG2,IGF1R_Expanded
GNGT1,IGF1R_Expanded
VEGFD,IGF1R_Expanded
CREB3L4,IGF1R_Expanded
GNG8,IGF1R_Expanded
IL2RA,IGF1R_Expanded
IFNA17,IGF1R_Expanded
TEK,IGF1R_Expanded
JAK2,IGF1R_Expanded
EPOR,IGF1R_Expanded
AKT2,IGF1R_Expanded
YWHAQ,IGF1R_Expanded
PRL,IGF1R_Expanded
ANGPT2,IGF1R_Expanded
PIK3AP1,IGF1R_Expanded
C8ORF44-SGK3,IGF1R_Expanded
