gene_symbol,ensembl_gene_id,chr,start_hg19,end_hg19,finan_tier,dgidb_n_interactions,dgidb_drugs,in_mr_screen,notes
A1BG,ENSG00000121410,19,58856544,58864865,Tier 3B,,,TRUE,""
A2M,ENSG00000175899,12,9220260,9268825,Tier 3B,,,TRUE,""
A2ML1,ENSG00000166535,12,8975068,9039597,Tier 3A,,,TRUE,""
AADACL2,ENSG00000197953,3,151451704,151479127,Tier 3B,,,TRUE,""
AADAT,ENSG00000109576,4,170981373,171012850,Tier 2,,,TRUE,""
AAK1,ENSG00000115977,2,69688532,69901481,Tier 1,,,TRUE,""
AATK,ENSG00000181409,17,79091095,79139877,Tier 3A,,,TRUE,""
ABAT,ENSG00000183044,16,8768422,8878432,Tier 1,,,TRUE,""
ABCA1,ENSG00000165029,9,107543283,107690518,Tier 1,,,TRUE,""
ABCA12,ENSG00000144452,2,215796266,216003151,Tier 3B,,,TRUE,""
ABCA13,ENSG00000179869,7,48211055,48687092,Tier 3B,,,TRUE,""
ABCA2,ENSG00000107331,9,139901686,139923367,Tier 3A,,,TRUE,""
ABCA3,ENSG00000167972,16,2325882,2390747,Tier 3B,,,TRUE,""
ABCA4,ENSG00000198691,1,94458393,94586688,Tier 1,,,TRUE,""
ABCA7,ENSG00000064687,19,1040102,1065571,Tier 2,,,TRUE,""
ABCB1,ENSG00000085563,7,87133175,87342611,Tier 1,,,TRUE,""
ABCB11,ENSG00000073734,2,169779448,169887832,Tier 1,,,TRUE,""
ABCB4,ENSG00000005471,7,87031013,87109751,Tier 1,,,TRUE,""
ABCB5,ENSG00000004846,7,20654830,20816658,Tier 1,,,TRUE,""
ABCB6,ENSG00000115657,2,220074490,220083712,Tier 1,,,TRUE,""
ABCB7,ENSG00000131269,X,74273115,74376567,Tier 1,,,TRUE,""
ABCB8,ENSG00000197150,7,150725510,150744869,Tier 1,,,TRUE,""
ABCC1,ENSG00000103222,16,16043434,16236931,Tier 1,,,TRUE,""
ABCC10,ENSG00000124574,6,43395104,43418168,Tier 1,,,TRUE,""
ABCC11,ENSG00000121270,16,48200821,48281479,Tier 1,,,TRUE,""
ABCC12,ENSG00000140798,16,48116884,48189929,Tier 1,,,TRUE,""
ABCC2,ENSG00000023839,10,101542489,101611949,Tier 1,,,TRUE,""
ABCC3,ENSG00000108846,17,48712138,48769613,Tier 1,,,TRUE,""
ABCC4,ENSG00000125257,13,95672083,95953687,Tier 1,,,TRUE,""
ABCC5,ENSG00000114770,3,183637722,183735803,Tier 1,,,TRUE,""
ABCC6,ENSG00000091262,16,16242785,16317379,Tier 1,,,TRUE,""
ABCC8,ENSG00000006071,11,17414432,17498449,Tier 1,,,TRUE,""
ABCC9,ENSG00000069431,12,21950335,22094336,Tier 1,,,TRUE,""
ABCG1,ENSG00000160179,21,43619799,43717354,Tier 1,,,TRUE,""
ABCG2,ENSG00000118777,4,89011416,89152474,Tier 1,,,TRUE,""
ABHD12,ENSG00000100997,20,25275379,25371619,Tier 1,,,TRUE,""
ABHD16A,ENSG00000204427,6,31654726,31671221,Tier 1,,,TRUE,""
ABI3BP,ENSG00000154175,3,100468000,100712359,Tier 3B,,,TRUE,""
ABL1,ENSG00000097007,9,133589333,133763062,Tier 1,,,TRUE,""
ABL2,ENSG00000143322,1,179068462,179198819,Tier 1,,,TRUE,""
ACACA,ENSG00000132142,17,35441923,35766909,Tier 2,,,TRUE,""
ACACB,ENSG00000076555,12,109554400,109706031,Tier 2,,,TRUE,""
ACAN,ENSG00000157766,15,89346674,89418585,Tier 3A,,,TRUE,""
ACE,ENSG00000159640,17,61554422,61599205,Tier 1,,,TRUE,""
ACE2,ENSG00000130234,X,15579156,15620271,Tier 2,,,TRUE,""
ACHE,ENSG00000087085,7,100487615,100494594,Tier 1,,,TRUE,""
ACKR2,ENSG00000144648,3,42846244,42929466,Tier 3B,,,TRUE,""
ACKR3,ENSG00000144476,2,237476430,237491001,Tier 2,,,TRUE,""
ACKR4,ENSG00000129048,3,132316081,132337811,Tier 3B,,,TRUE,""
ACLY,ENSG00000131473,17,40023161,40086795,Tier 2,,,TRUE,""
ACP1,ENSG00000143727,2,264140,278283,Tier 2,,,TRUE,""
ACP2,ENSG00000134575,11,47260853,47270457,Tier 3A,,,TRUE,""
ACP5,ENSG00000102575,19,11685475,11689823,Tier 3A,,,TRUE,""
ACP6,ENSG00000162836,1,147101453,147142618,Tier 3A,,,TRUE,""
ACPP,ENSG00000014257,3,132036211,132087142,Tier 2,,,TRUE,""
ACR,ENSG00000100312,22,51176624,51183762,Tier 2,,,TRUE,""
ACRBP,ENSG00000111644,12,6747241,6756626,Tier 3B,,,TRUE,""
ACTN1,ENSG00000072110,14,69340860,69446157,Tier 3A,,,TRUE,""
ACTN2,ENSG00000077522,1,236849754,236927931,Tier 3B,,,TRUE,""
