gene,outcome,p12,n_overlap,n_allele_mismatch,n_palindromic,PP.H0,PP.H1,PP.H2,PP.H3,PP.H4,top_snp,top_SNP.PP.H4,cs95_size,cs95_snps,outcome_min_p,eqtl_min_p
TSHR,BBJ_Graves,1e-06,4336,0,614,5.79543217330035e-44,2.14912868338293e-34,9.32593153965171e-11,0.33922717015,0.660772829756743,rs179252,0.548576849615961,3,rs179252;rs179255;rs179248,1.82620606196522e-15,2.859e-40
TSHR,BBJ_Graves,5e-06,4336,0,614,1.59080068705175e-44,5.89918971330345e-35,2.55989507892506e-11,0.0931151981775203,0.906884801796887,rs179252,0.548576849615961,3,rs179252;rs179255;rs179248,1.82620606196522e-15,2.859e-40
TSHR,BBJ_Graves,1e-05,4336,0,614,8.34240582101603e-45,3.09362668774984e-35,1.34244872921154e-11,0.0488310558088122,0.95116894417776,rs179252,0.548576849615961,3,rs179252;rs179255;rs179248,1.82620606196522e-15,2.859e-40
TSHR,UKB_hyperthyroid,1e-06,5667,0,739,1.15588842343695e-70,6.03960783846027e-34,1.86004011126407e-37,0.971601589629957,0.0283984103700488,rs1023586,0.48889422687344,3,rs1023586;rs2160215;rs4903961,1.4e-43,2.859e-40
TSHR,UKB_hyperthyroid,5e-06,5667,0,739,1.03798044491393e-70,5.42352938584701e-34,1.6703041773763e-37,0.872492041476179,0.127507958523815,rs1023586,0.48889422687344,3,rs1023586;rs2160215;rs4903961,1.4e-43,2.859e-40
TSHR,UKB_hyperthyroid,1e-05,5667,0,739,9.20597000727968e-71,4.81019166636106e-34,1.48141231709188e-37,0.773823399542553,0.226176600457446,rs1023586,0.48889422687344,3,rs1023586;rs2160215;rs4903961,1.4e-43,2.859e-40
TSHR,FinnGen_GO,1e-06,6579,16,806,8.75575736865966e-37,8.19865921614207e-35,0.00140896470454972,0.12317758740184,0.875413447893606,rs179252,0.524875395230849,4,rs179252;rs179255;rs179248;rs179247,1.23055e-07,2.859e-40
TSHR,FinnGen_GO,5e-06,6579,16,806,1.94500905090645e-37,1.82125494223637e-35,0.0003129882416073,0.0273627411402417,0.972324270618144,rs179252,0.524875395230849,4,rs179252;rs179255;rs179248;rs179247,1.23055e-07,2.859e-40
TSHR,FinnGen_GO,1e-05,6579,16,806,9.86150746041817e-38,9.23405430520603e-36,0.000158690052274827,0.0138733480837135,0.985967961864018,rs179252,0.524875395230849,4,rs179252;rs179255;rs179248;rs179247,1.23055e-07,2.859e-40
IGF1R,BBJ_Graves,1e-06,5685,0,773,6.49051918776667e-77,2.22432121044561e-77,0.738983646105315,0.253173577297439,0.00784277659725089,rs2654980,0.606547055139564,3,rs2654980;rs702497;rs2684787,0.000572371290195782,1.5474e-83
IGF1R,BBJ_Graves,5e-06,5685,0,773,6.29309774877339e-77,2.15666426630205e-77,0.716506058321338,0.245472823243844,0.0380211184348061,rs2654980,0.606547055139564,3,rs2654980;rs702497;rs2684787,0.000572371290195782,1.5474e-83
IGF1R,BBJ_Graves,1e-05,5685,0,773,6.06259124887802e-77,2.07766896838671e-77,0.690261542464315,0.236481530948026,0.0732569265876538,rs2654980,0.606547055139564,3,rs2654980;rs702497;rs2684787,0.000572371290195782,1.5474e-83
IGF1R,UKB_hyperthyroid,1e-06,7394,3,953,5.48798014914612e-77,2.69486720059548e-77,0.62853766556889,0.30800825551246,0.0634540789186578,rs2654980,0.766188937725763,3,rs2654980;rs2684787;rs702497,9e-05,1.5474e-83
IGF1R,UKB_hyperthyroid,5e-06,7394,3,953,4.3770208447106e-77,2.14933173775575e-77,0.501299638321181,0.245656601897649,0.253043759781171,rs2654980,0.766188937725763,3,rs2654980;rs2684787;rs702497,9e-05,1.5474e-83
IGF1R,UKB_hyperthyroid,1e-05,7394,3,953,3.49311092333681e-77,1.71528864892246e-77,0.400065547917282,0.196047903339427,0.403886548743302,rs2654980,0.766188937725763,3,rs2654980;rs2684787;rs702497,9e-05,1.5474e-83
IGF1R,FinnGen_GO,1e-06,7740,23,950,5.59557970828991e-77,3.10765425829419e-77,0.640861029335248,0.355886722821189,0.0032522478435673,rs2654980,0.61882230299624,3,rs2654980;rs2684787;rs702497,0.00043452,1.5474e-83
IGF1R,FinnGen_GO,5e-06,7740,23,950,5.52372166085006e-77,3.06774597733658e-77,0.632631136339515,0.35131645015153,0.0160524135089621,rs2654980,0.61882230299624,3,rs2654980;rs2684787;rs702497,0.00043452,1.5474e-83
IGF1R,FinnGen_GO,1e-05,7740,23,950,5.43645346185801e-77,3.01927925818511e-77,0.622636320654659,0.345766070215064,0.0315976091302701,rs2654980,0.61882230299624,3,rs2654980;rs2684787;rs702497,0.00043452,1.5474e-83
CTLA4,BBJ_Graves,1e-06,3014,0,387,2.76308404267274e-76,2.11866707150484e-64,1.27249073966344e-12,0.97547031194029,0.0245296880584478,rs231811,0.215820214506867,11,rs231811;rs231804;rs3087243;rs13030124;rs1863800;rs11571304;rs12990970;rs1968351;rs231806;rs34461055;rs34050244,5.49283988713605e-18,2.2995e-70
CTLA4,BBJ_Graves,5e-06,3014,0,387,2.51619784932374e-76,1.92936061532056e-64,1.15879155790295e-12,0.888310403547873,0.111689596450972,rs231811,0.215820214506867,11,rs231811;rs231804;rs3087243;rs13030124;rs1863800;rs11571304;rs12990970;rs1968351;rs231806;rs34461055;rs34050244,5.49283988713605e-18,2.2995e-70
